slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
kushiro,釧路ラーメン,Kushiro Ramen,light soy broth with very thin wavy noodles,北海道,釧路市,42.9849,144.3820,醤油,dish,極細の縮れ麺と、あっさりした醤油スープ。港町の朝にも食べられる軽さが身上。,Very thin wavy noodles in a light soy broth — gentle enough for a port town's morning.,ご当地ラーメン,https://ja.wikipedia.org/wiki/ご当地ラーメン,Wikipedia,2026-08-18
muroran-curry,室蘭カレーラーメン,Muroran Curry Ramen,curry broth ramen from the steel town,北海道,室蘭市,42.3152,140.9740,その他,dish,カレーをスープに仕立てた一杯。とろみのあるスープが麺に絡む。,"Ramen in a proper curry broth, thick enough to cling to the noodles.",ご当地ラーメン,https://ja.wikipedia.org/wiki/ご当地ラーメン,Wikipedia,2026-08-18
tsugaru,津軽ラーメン,Tsugaru Ramen,niboshi broth of the Tsugaru region,青森県,弘前市,40.6031,140.4638,醤油,dish,煮干しを軸にした醤油スープ。あっさりから濃厚まで、煮干しの効かせ方で幅がある。,"A soy broth built on dried sardines, ranging from delicate to intensely niboshi-forward.",ご当地ラーメン,https://ja.wikipedia.org/wiki/ご当地ラーメン,Wikipedia,2026-08-18
hachinohe,八戸らーめん,Hachinohe Ramen,light soy with dried fish and local chicken,青森県,八戸市,40.5124,141.4884,醤油,dish,煮干しと地鶏ガラのあっさりした醤油スープに細縮れ麺。,"A light soy broth of dried fish and local chicken bones, with thin wavy noodles.",ご当地ラーメン,https://ja.wikipedia.org/wiki/ご当地ラーメン,Wikipedia,2026-08-18
miso-curry-milk,味噌カレー牛乳ラーメン,Miso Curry Milk Ramen,"miso, curry and milk in one bowl",青森県,青森市,40.8222,140.7474,味噌,dish,味噌にカレーと牛乳を合わせた青森市の名物。バターを乗せる店が多い。,"Aomori City's famous mash-up of miso, curry and milk — often crowned with butter.",ご当地ラーメン,https://ja.wikipedia.org/wiki/ご当地ラーメン,Wikipedia,2026-08-18
jumonji,十文字中華そば,Jumonji Chuka Soba,kansui-free noodles in a delicate broth,秋田県,横手市,39.3103,140.5533,醤油,dish,かんすいを使わない細縮れ麺と、あっさりした和風だしの醤油スープ。,"Thin wavy noodles made without kansui, in a delicate Japanese-stock soy broth.",ご当地ラーメン,https://ja.wikipedia.org/wiki/ご当地ラーメン,Wikipedia,2026-08-18
sakata,酒田ラーメン,Sakata Ramen,harbor-town soy with house-made noodles,山形県,酒田市,38.9145,139.8364,醤油,dish,自家製麺の文化が根強い港町の醤油ラーメン。魚介の出汁を効かせる。,A harbor town's soy ramen with a strong house-made-noodle tradition and seafood stock.,ご当地ラーメン,https://ja.wikipedia.org/wiki/ご当地ラーメン,Wikipedia,2026-08-18
yamagata-hiyashi,冷やしラーメン,Hiyashi Ramen,chilled ramen served with ice,山形県,山形市,38.2554,140.3396,醤油,dish,スープまで冷たい、氷の浮かぶラーメン。暑い盆地の夏が生んだ。,"Ramen served fully chilled, ice floating in the broth — born of the basin's hot summers.",ご当地ラーメン,https://ja.wikipedia.org/wiki/ご当地ラーメン,Wikipedia,2026-08-18
akayu-karamiso,赤湯辛味噌ラーメン,Akayu Karamiso Ramen,miso ramen with a ball of chili miso,山形県,南陽市,38.0551,140.1408,味噌,dish,味噌スープの中央に辛味噌を乗せ、溶かしながら味を変えて食べる。,"Miso ramen with a knob of chili miso in the center, dissolved gradually to shift the flavor.",ご当地ラーメン,https://ja.wikipedia.org/wiki/ご当地ラーメン,Wikipedia,2026-08-18
shinjo-torimotsu,とりもつラーメン,Torimotsu Ramen,soy ramen topped with simmered chicken giblets,山形県,新庄市,38.7645,140.3018,醤油,dish,醤油ラーメンに鶏モツの煮込みを乗せる新庄の型。,Shinjo's own: soy ramen topped with soft-simmered chicken giblets.,ご当地ラーメン,https://ja.wikipedia.org/wiki/ご当地ラーメン,Wikipedia,2026-08-18
