slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
sencha,煎茶,Sencha,Sencha — Japan's everyday unshaded green tea,,,,,緑茶,ingredient,茶畑を覆わずに育てた新芽を蒸し、揉んで乾かす、日本茶の最も基本的な製法で作られる緑茶。全国の生産量の大半を占めるとされ、爽やかな香りとほどよい渋みのバランスが特徴という。,"Green tea made from young leaves grown without shading, steamed and rolled dry in what's considered the most basic Japanese tea process. It's said to account for the bulk of the country's tea production, prized for a balance of fresh aroma and gentle astringency.",お茶の種類,https://ujicha.or.jp/knowledge/kinds/,京都府茶業会議所,2026-09-13
fukamushi-sencha,深蒸し煎茶,Fukamushi Sencha,Fukamushi sencha — sencha steamed for extra long,,,,,緑茶,ingredient,煎茶よりも長く蒸すことで茶葉が細かく崩れ、渋みを抑えたまろやかで濃い緑色の茶になるとされる製法。茶葉が小さいぶん湯に溶け出しやすく、とろりとした口当たりになるという。,"A method of steaming the leaf far longer than ordinary sencha, said to break the leaf down finely and mellow its astringency into a deep green, richer-bodied tea. With smaller leaf fragments, more dissolves into the water, giving a notably smooth mouthfeel.",お茶の種類,https://ujicha.or.jp/knowledge/kinds/,京都府茶業会議所,2026-09-13
gyokuro,玉露,Gyokuro,Gyokuro — tea shaded before harvest for a mellow umami,,,,,緑茶,ingredient,摘み取り前の約20日間、茶畑を覆いで遮光して育てた新芽で作る高級茶。日光を遮ることで渋み成分が抑えられ、旨み成分のアミノ酸が葉に多く残るとされ、海苔のような香りと濃い旨みが特徴という。,"A premium tea made from buds shaded from sunlight for around 20 days before picking. Blocking the light is said to suppress astringent compounds while letting amino acids build up in the leaf, giving a seaweed-like aroma and concentrated umami.",お茶の種類,https://ujicha.or.jp/knowledge/kinds/,京都府茶業会議所,2026-09-13
kabusecha,かぶせ茶,Kabusecha,Kabusecha — briefly shaded tea between sencha and gyokuro,,,,,緑茶,ingredient,摘み取り前の約1週間、茶畑にわらや寒冷紗を直接かぶせて遮光する、玉露と煎茶の中間にあたる茶。玉露ほど長く覆わないため、玉露の旨みと煎茶の爽やかな渋みを併せ持つ味わいになるとされる。,"Tea shaded for about a week before picking by draping straw or netting directly over the bushes — a style that sits between gyokuro and sencha. Because the shading period is shorter than gyokuro's, it's said to carry gyokuro's umami alongside sencha's brighter astringency.",お茶の種類,https://ujicha.or.jp/knowledge/kinds/,京都府茶業会議所,2026-09-13
matcha,抹茶,Matcha,Matcha — stone-ground powdered tea from shaded leaf,,,,,抹茶・粉茶,ingredient,覆いをかけて育てた新芽を蒸してそのまま乾かした碾茶を、茶臼で微粉末にした茶。茶葉ごと飲むため栄養や旨みを丸ごと摂れるとされ、茶の湯の点前で使われる格式高い茶としても知られる。,"Tea made by stone-grinding tencha — shaded leaves that are steamed and dried without rolling — into a fine powder. Because the whole leaf is consumed rather than steeped and discarded, it's said to carry its full nutrients and umami, and it's also the tea used in the formal tea ceremony.",お茶の種類,https://ujicha.or.jp/knowledge/kinds/,京都府茶業会議所,2026-09-13
tencha,碾茶,Tencha,"Tencha — unrolled shaded leaf, the raw material for matcha",,,,,抹茶・粉茶,ingredient,覆いをかけて育てた新芽を、揉まずに蒸してそのまま乾かした茶で、抹茶の原料になる。揉む工程がないため葉の形がそのまま残り、渋みが少なく、磯の香りに似た強い旨みを持つとされる。,"Shaded new leaves that are steamed and dried without rolling — the raw material for matcha. Skipping the rolling step leaves the leaf shape intact, and it's said to carry little astringency but a strong, sea-like umami.",お茶の種類,https://ujicha.or.jp/knowledge/kinds/,京都府茶業会議所,2026-09-13
tamaryokucha,玉緑茶（グリ茶）,Tamaryokucha,Tamaryokucha — curled 'guricha' green tea,,,,,緑茶,ingredient,仕上げの工程で茶葉をまっすぐ伸ばす作業を省き、勾玉のように丸まった形に仕上げる緑茶。「グリ茶」とも呼ばれ、蒸気で蒸す蒸し製と、鉄釜で炒る釜炒り製の2種類があるとされる。,"A green tea that skips the final leaf-straightening step, left curled up in a shape likened to a comma-shaped bead — also called guricha. It's said to come in two forms: steamed, and pan-fired in an iron kettle.",うれしの茶の特徴,https://www.city.ureshino.lg.jp/kanko/ureshinocha/_19851/_20110.html,嬉野市,2026-09-13
bancha,番茶,Bancha,"Bancha — everyday tea from later-picked, coarser leaves",,,,,発酵茶・番茶,ingredient,一番茶を摘んだあとの遅い時期の葉や、大きく育った硬めの葉を使って作る、日常的に飲まれてきた緑茶。若い葉を使う煎茶に比べて渋みや苦みが少なく、価格も手頃な茶として親しまれてきたとされる。,"Green tea made from later-picked leaves or larger, tougher leaves left over after the prized first flush — an everyday tea. Compared to sencha's young leaves, it's said to carry less astringency and bitterness, and has long been valued as an affordable, everyday drink.",味わいや香りもさまざまなお茶の種類,https://www.maff.go.jp/j/pr/aff/2204/spe1_03.html,農林水産省,2026-09-13
hojicha,ほうじ茶,Hojicha,Hojicha — roasted green tea,,,,,緑茶,ingredient,煎茶や番茶、茎茶などを強い火で焙じて作る茶。焙じることでカテキンなどの苦み成分が減り、香ばしい香りとすっきりした後味になるとされ、カフェインも比較的少ないという。,"Tea made by roasting sencha, bancha, or stem tea over high heat. Roasting is said to reduce bitter compounds like catechins, giving a toasty aroma and a clean finish, along with relatively low caffeine.",味わいや香りもさまざまなお茶の種類,https://www.maff.go.jp/j/pr/aff/2204/spe1_03.html,農林水産省,2026-09-13
genmaicha,玄米茶,Genmaicha,Genmaicha — green tea blended with roasted rice,,,,,緑茶,ingredient,水に浸して蒸した米を炒り、番茶や煎茶とほぼ同量ずつ混ぜ合わせて作る茶。炒り米の香ばしさとお茶の爽やかさが合わさり、カフェインが控えめですっきりとした味わいになるとされる。,"Tea made by mixing roasted, steamed rice at roughly equal parts with bancha or sencha. The toasty aroma of the roasted rice meets the tea's freshness, said to give a light, relatively low-caffeine cup.",味わいや香りもさまざまなお茶の種類,https://www.maff.go.jp/j/pr/aff/2204/spe1_03.html,農林水産省,2026-09-13
kyo-bancha,京番茶,Kyo-bancha,"Kyo-bancha — Kyoto's sun-dried, smoke-roasted bancha",京都府,,35.0116,135.7681,発酵茶・番茶,ingredient,玉露や碾茶用に摘み取った後に残る大きな葉や茎を、蒸してから天日で干し、強い火で焙じて作る京都独自の番茶。焚き火のような煙たさとほのかな甘みを持ち、大きな薬缶で沸かして飲まれてきたとされる。,"A Kyoto-specific bancha made from the large leaves and stems left over after picking for gyokuro and tencha — steamed, sun-dried, then roasted over high heat. Said to carry a smoky, bonfire-like aroma and a faint sweetness, traditionally boiled in a large kettle.",お茶の種類,https://ujicha.or.jp/knowledge/kinds/,京都府茶業会議所,2026-09-13
