slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
kamaboko,かまぼこ,Kamaboko,"Kamaboko — molded, steamed fish-paste cake",,,,,,ingredient,白身魚のすり身に塩を加えて練り、板の上に盛って蒸し上げた練り物。プリッとした弾力と魚の淡い甘みが持ち味で、蒸すか焼き抜くかなど地域ごとに仕上げ方が分かれる。祝いの席に出す高級品だった時代もあるという。,Kamaboko is white fish paste mounded on a wooden board and steamed into a springy cake with a faint sweetness. Regions differ mainly in whether they steam it or fire-bake it without steaming.,かまぼこの歴史,https://www.nikkama.jp/history/,日本かまぼこ協会（全国蒲鉾水産加工業協同組合連合会）,2026-09-08
chikuwa,ちくわ,Chikuwa,Chikuwa — fish paste grilled around a stick,,,,,,ingredient,魚のすり身を棒に巻いて焼き上げた筒形の練り物。断面が竹を切った跡に似ることが名の由来とされ、板付きのかまぼこより先にあった形と伝わる。焼き加減や太さで地域ごとに弾力の出方が変わるとされる。,"Chikuwa is fish paste wound around a stick and grilled into a hollow tube. Its name is said to come from its cross-section resembling a cut bamboo stalk, and it's said to be the older of the two forms, predating board-mounted kamaboko.",ちくわ,https://ja.wikipedia.org/wiki/ちくわ,Wikipedia,2026-09-08
odawara-kamaboko,小田原かまぼこ,Odawara Kamaboko,Odawara Kamaboko — steamed fish cake from a Tokaido post town,神奈川県,小田原市,35.2539,139.1518,,ingredient,相模湾で揚がる新鮮な白身魚と、東海道の宿場町として栄えた立地で発展した蒲鉾。歯切れのよい弾力と上品な白さが特徴とされ、老舗の直売店が並ぶ。相模湾で揚がったその日の魚を選ぶことも工夫のひとつという。,"Odawara kamaboko developed from fresh white fish landed in Sagami Bay and this town's role as a Tokaido post stop. It's known for a crisp bite and a refined white color, with long-established makers still lining the street.",小田原市,https://ja.wikipedia.org/wiki/小田原市,Wikipedia,2026-09-08
sasa-kamaboko,笹かまぼこ,Sasa Kamaboko,"Sasa-kamaboko — leaf-shaped, fire-baked fish cake from Sendai",宮城県,仙台市,38.2682,140.8694,,ingredient,すり身を笹の葉の形に整え、串を使わず焼き上げた仙台の蒲鉾。表面は香ばしく焼け、中はふっくらとした弾力を持ち、生産量は全国有数とされる。1972年に名称が商標登録され、県内業者が使えるようになったと伝わる。,"Sasa-kamaboko is Sendai fish paste shaped like a bamboo-grass leaf and fire-baked without a skewer. The surface browns fragrantly while the inside stays plump and springy, and Sendai ranks among Japan's top producers.",笹かまぼこの歴史,https://www.abekama.co.jp/history,阿部蒲鉾店,2026-09-08
kobumaki-kamaboko,昆布巻きかまぼこ,Kobumaki Kamaboko,Kobumaki Kamaboko — Toyama's kelp-wrapped fish cake,富山県,,,,,ingredient,蒲鉾を昆布で巻いた富山の練り物。北前船の中継地として昆布に恵まれた土地の食文化が、魚が乏しかった時代の蒲鉾文化と結びついて生まれたとされる。昆布の巻き方は店ごとに工夫が異なり、見た目にも違いが出るとされる。,Kobumaki kamaboko is Toyama fish cake wrapped in kelp. It's said to have grown out of a local diet shaped by the region's easy access to kelp as a relay point on the Kitamae-bune trade route.,昆布巻き,https://ja.wikipedia.org/wiki/昆布巻き,Wikipedia,2026-09-08
zaiku-kamaboko,細工かまぼこ,Zaiku Kamaboko,Zaiku Kamaboko — Toyama's sculpted celebration fish cake,富山県,,,,,ingredient,鯛など縁起物の形にすり身を彩色し仕立てた富山の祝儀用蒲鉾。婚礼や出産祝いの席で贈られ、大きいものは体長60センチ近くにもなる職人技の一品という。一つの作品に数日をかける、工芸品に近い手仕事とされる。,"Zaiku kamaboko is Toyama fish paste sculpted and colored into auspicious shapes like sea bream, given at weddings and births. The largest craftsman-made pieces run close to 60cm long.",蒲鉾,https://ja.wikipedia.org/wiki/蒲鉾,Wikipedia,2026-09-08
toyohashi-chikuwa,豊橋ちくわ,Toyohashi Chikuwa,Toyohashi Chikuwa — a 190-year chikuwa from Mikawa Bay,愛知県,豊橋市,34.7692,137.3914,,ingredient,太平洋と三河湾に挟まれた豊橋で、江戸時代後期から作られてきたちくわ。東海道の宿場町として物流に恵まれ、190年を超えて同じ製法が続くとされる。190年を超え、焼き加減の見極めは今も職人の経験に頼るという。,"Toyohashi chikuwa has been made since the late Edo period in a town wedged between the Pacific and Mikawa Bay. Sitting on the Tokaido trade route is said to be what let it spread nationwide, with the same method continuing for over 190 years.",ヤマサちくわと豊橋,https://company.yamasachikuwa.com/history/2025061916482636.html,ヤマサちくわ株式会社,2026-09-08
noyaki,野焼き,Noyaki,"Noyaki — Izumo's skewerless, fire-baked fish cake",島根県,出雲市,35.3667,132.7566,,ingredient,串を使わず直火で焼き上げる出雲地方の練り物。焼き抜きの一種で、表面は香ばしく中はふっくらとした食感を持つとされ、日持ちのよさに長けるという。焼く強さと時間は職人の経験に頼る部分が大きいとされる。,"Noyaki is an Izumo-region fish cake fire-baked without a skewer. A form of yakinuki, it's said to come out fragrant on the surface and plump inside, and to keep especially well.",ちくわ,https://ja.wikipedia.org/wiki/ちくわ,Wikipedia,2026-09-08
ago-yaki,あご野焼き,Ago-yaki,Ago-yaki — Izumo's fire-baked flying-fish cake,島根県,出雲市,35.3667,132.7566,,ingredient,トビウオ(あご)のすり身を串を使わず焼き上げた出雲地方の野焼き。パリッとした表面と上品な甘みが、島根の定番土産として好まれているという。焼き上げる際に立つ香ばしいにおいも魅力のひとつという。,"Ago-yaki is Izumo noyaki made from flying-fish paste, fire-baked without a skewer. Its crackling surface and refined sweetness make it a favorite travel souvenir from Shimane.",あご野焼き,https://ja.wikipedia.org/wiki/あご野焼き,Wikipedia,2026-09-08
hanpen,はんぺん,Hanpen,"Hanpen — airy, half-moon white fish cake",,,,,,ingredient,サメなど白身魚のすり身に山芋を加えて泡立て、半月形に茹で上げたふわふわの練り物。名前は駿河の料理人にちなむという説など諸説が伝わる。白さと軽さの出方は、店ごとの製法の見極め次第で変わるとされる。,"Hanpen is white fish paste -- often shark -- whipped with grated yam into a foam and boiled into a soft, airy half-moon cake. Its name carries more than one account, including a cook from Suruga.",はんぺん,https://ja.wikipedia.org/wiki/はんぺん,Wikipedia,2026-09-08
