slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
matsusaka-ushi,松阪牛,Matsusaka Ushi,"the byword for marbling, from virgin heifers only",三重県,松阪市,34.5780,136.5277,,ingredient,未経産の雌牛だけを長期肥育する。霜降りの代名詞として「肉の芸術品」と呼ばれる。,"Only virgin heifers, fattened long — the byword for marbling, called “a work of art in meat.”",松阪牛,https://ja.wikipedia.org/wiki/松阪牛,Wikipedia,2026-08-18
kobe-beef,神戸ビーフ,Kobe Beef,a title only the best Tajima cattle may bear,兵庫県,,34.6901,135.1955,,ingredient,但馬牛のうち、霜降りなどの厳格な基準を満たした肉だけが名乗れる称号。,"A title, not a herd: only Tajima cattle meeting strict marbling standards may bear the name.",神戸ビーフ,https://ja.wikipedia.org/wiki/神戸ビーフ,Wikipedia,2026-08-18
omi-gyu,近江牛,Omi Gyu,among Japan's oldest beef brands,滋賀県,,35.1284,136.0981,,ingredient,日本最古級の食用牛ブランド。彦根藩が味噌漬けにして将軍家へ献上した歴史を持つ。,Among Japan's oldest beef brands — the Hikone domain once presented it miso-cured to the shogun.,近江牛,https://ja.wikipedia.org/wiki/近江牛,Wikipedia,2026-08-18
yonezawa-gyu,米沢牛,Yonezawa Gyu,made famous by an English teacher in early Meiji,山形県,米沢市,37.9222,140.1167,,ingredient,明治初期、招かれた英国人教師が味を伝えて広まったとされる。寒暖差の大きい置賜盆地で育つ。,Said to have been made famous by an English teacher in early Meiji. Raised in the Okitama basin's sharp seasons.,米沢牛,https://ja.wikipedia.org/wiki/米沢牛,Wikipedia,2026-08-18
hida-gyu,飛騨牛,Hida Gyu,built on the line of a single famed sire,岐阜県,,36.1461,137.2521,,ingredient,一頭の名種雄牛「安福号」の系統が礎を築いた。飛騨の山あいで育つ。,"Built on the line of a single famed sire, Yasufuku — raised in the Hida mountains.",飛騨牛,https://ja.wikipedia.org/wiki/飛騨牛,Wikipedia,2026-08-18
tajima-ushi,但馬牛,Tajima Ushi,the root stock behind Kobe Beef and others,兵庫県,,35.5443,134.8203,,ingredient,神戸ビーフをはじめ多くの銘柄の素となる系統。谷ごとに血統が守られてきた。,"The root stock behind Kobe Beef and many other brands, its bloodlines long kept valley by valley.",但馬牛,https://ja.wikipedia.org/wiki/但馬牛,Wikipedia,2026-08-18
miyazaki-gyu,宮崎牛,Miyazaki Gyu,repeat national champion wagyu,宮崎県,,31.9077,131.4202,,ingredient,全国和牛能力共進会で最高賞を重ねてきた、県を挙げて育てる銘柄。,A prefecture-wide brand that has repeatedly taken the top prize at Japan's national wagyu exhibition.,宮崎牛,https://ja.wikipedia.org/wiki/宮崎牛,Wikipedia,2026-08-18
maesawa-gyu,前沢牛,Maesawa Gyu,Tohoku's flagship marbled beef,岩手県,奥州市,39.1447,141.1390,,ingredient,北上川沿いの前沢で育つ、東北を代表する霜降りの銘柄。,Raised in Maesawa along the Kitakami river — Tohoku's flagship marbled beef.,前沢牛,https://ja.wikipedia.org/wiki/前沢牛,Wikipedia,2026-08-18
sendai-gyu,仙台牛,Sendai Gyu,only full grade-5 carcasses qualify,宮城県,,38.2682,140.8694,,ingredient,肉質等級が最高の「5」でなければ名乗れない、基準の最も厳しい銘柄のひとつ。,One of the strictest brands: only carcasses graded a full 5 for quality may carry the name.,仙台牛,https://ja.wikipedia.org/wiki/仙台牛,Wikipedia,2026-08-18
saga-gyu,佐賀牛,Saga Gyu,Kyushu's leading marbled brand,佐賀県,,33.2494,130.2988,,ingredient,きめ細かな霜降りを基準に選ばれる、九州を代表する銘柄のひとつ。,"One of Kyushu's leading brands, selected on fine-grained marbling standards.",佐賀牛,https://ja.wikipedia.org/wiki/佐賀牛,Wikipedia,2026-08-18
