slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
sirloin,サーロイン,Sirloin,sirloin — the standard-bearer of Japanese steak cuts,,,,,,ingredient,腰の上部にあたる部位で、きめ細かな霜降りが入りやすい。ステーキの定番として扱われ、脂の甘みと赤身の旨みを一度に味わえる。1頭からの歩留まりは限られ、厚切りで塊のまま焼く食べ方が好まれる。,"From the upper loin, this cut takes fine marbling easily. A standard steak choice carrying both fat sweetness and lean flavor, yielded in limited amount per animal and usually grilled thick, in one piece.",牛肉の部位,https://www.piif.jmtc.or.jp/ushibui/,公益財団法人日本食肉流通センター,2026-09-06
beef-tenderloin,ヒレ,Hire,"beef tenderloin — the leanest, most delicate cut",,,,,,ingredient,背骨の内側にある運動量の少ない筋肉で、牛肉のなかで最も脂肪が少なく柔らかい。加熱しすぎると硬くなりやすく、火入れの見極めが味を左右する。中心部だけを使う「シャトーブリアン」は特に希少とされる。,"A rarely-worked muscle inside the spine, the leanest and most tender cut of beef. Overcooking toughens it quickly; the center portion alone, served as chateaubriand, is said to be especially scarce.",牛の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster02.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
rib-roast,リブロース,Rib Roast,ribeye roll — the marbled roast just behind the loin,,,,,,ingredient,肩ロースとサーロインの間に位置し、きめ細かな霜降りが特徴。ステーキやすき焼きに使われることが多く、焼くと脂の香りが際立つ。骨付きのまま切り分けた「リブアイロール」として扱われることもある。,"Sitting between the chuck roll and the sirloin, this cut is known for fine, even marbling. Common in steaks and sukiyaki, its fat turns fragrant on the grill, and it is sometimes cut and sold bone-in.",牛肉の部位,https://www.piif.jmtc.or.jp/ushibui/,公益財団法人日本食肉流通センター,2026-09-06
chuck-roll,肩ロース,Kata Rosu,"chuck roll — a well-exercised, flavorful shoulder roast",,,,,,ingredient,肩からリブロースにかけての部位で、赤身と脂がほどよく層になる。よく動く筋肉のためコクが強く、すき焼きや焼肉、煮込みまで幅広く使われる。特に霜降りの入る部分は「ザブトン」として別に扱われる。,"Running from the shoulder toward the rib roast, with lean and fat in balanced layers. Being a well-worked muscle it carries strong flavor, used across sukiyaki, yakiniku and simmered dishes.",牛肉の部位,https://www.piif.jmtc.or.jp/ushibui/,公益財団法人日本食肉流通センター,2026-09-06
rump,ランプ,Rump,"rump — a lean, delicate cut near the hip",,,,,,ingredient,尻に近いもも肉の一部で、赤身が多くきめ細かい肉質を持つ。適度な脂があっさりとした上品な旨みを支え、ステーキやローストに向く。隣接するイチボと合わせて「らんいち」として取引されることもある。,"Part of the round near the hip, mostly lean with a fine texture. Modest fat supports a light, refined flavor, suited to steaks and roasting, and is sometimes traded together with the adjoining top sirloin cap.",牛の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster02.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
top-sirloin-cap,イチボ,Ichibo,top sirloin cap (H-bone) — sirloin-like flavor from the leg,,,,,,ingredient,ランプに続く臀部の部位で、もも肉でありながらサーロインに近い味わいを持つ。適度な霜降りがあり、ステーキとして提供されることが多い。1頭から取れる量が少なく、希少部位に数えられる。,"Continuing from the rump at the hip, this leg cut carries a flavor closer to sirloin despite its location. Moderately marbled and often served as steak, it is counted among the rarer cuts per animal.",牛の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster02.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
chuck-flap,ザブトン,Zabuton,chuck flap — a marbled cut named for its cushion-like shape,,,,,,ingredient,肩ロースの中でも特に霜降りが入る部位で、座布団のような形からこの名がついた。柔らかく上品な味わいがあり、焼肉店では「特上ロース」として出ることもある。1頭から取れる量はごくわずかとされる。,"A richly marbled portion of the chuck roll, named for its cushion-like (zabuton) shape. Tender with a refined flavor, sometimes served at yakiniku restaurants as a premium roll cut, in only small amounts per animal.",牛の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster02.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
top-blade,ミスジ,Misuji,top blade — a rare cut from inside the shoulder blade,,,,,,ingredient,肩甲骨の内側から取れる部位で、1頭から3キログラムほどしか取れない希少部位とされる。霜降りが入りやすく柔らかいため、ステーキで好まれる。中心を通る筋を境に食感が変わることも知られている。,"Taken from inside the shoulder blade, said to yield only around 3kg per animal. It marbles readily and is tender, favored for steak, with texture changing across the sinew running through its center.",牛、豚、鶏の部位を徹底解説！お肉丸わかり図鑑,https://www.maff.go.jp/j/pr/aff/2009/spe1_02.html,農林水産省 webマガジンaff,2026-09-06
tri-tip,トモサンカク,Tomosankaku,tri-tip — prized second only to the tenderloin for tenderness,,,,,,ingredient,ランプとイチボの間に位置する部位で、もも肉の中ではヒレに次ぐ柔らかさとされる。赤身と脂身のバランスがよく、焼肉やステーキに使われる。三角形に近い形をしていることが名前の由来とされる。,"Located between the rump and the top sirloin cap, said to be the leg's most tender cut after the tenderloin. Well balanced between lean and fat, its name is said to come from its roughly triangular shape.",牛の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster02.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
bottom-flap,カイノミ,Kainomi,"bottom flap — a lean cut alongside the flank, near the tenderloin",,,,,,ingredient,ばら肉のなかでもヒレに近い位置にある部位で、赤身の歯応えを持ちながら柔らかい。さっぱりとした上品な甘みがあり、焼肉で人気がある。1頭から取れる量が少なく、精肉店でもあまり見かけない。,"Sitting within the flank close to the tenderloin, it has the chew of lean meat yet stays tender. A light, refined sweetness makes it popular for yakiniku, though it is yielded in only small amounts per animal.",牛の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster02.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
