from_slug,to_slug,relation_type
shimabara-guzoni,aichi-zoni,対比
hikitoshi,iriyaki,対比
urakami-soboro,omura-nigomi,対比
omura-nigomi,urakami-soboro,対比
rokubee,jigoku-daki,対比
sara-udon,nagasaki-champon,兄弟
iriyaki,tsushima-jidori,使用食材
igirisu,igisu-dofu,源流
hikado,pasutii,兄弟
jigoku-daki,goto,使用食材
isahaya-keihan,nuppe,兄弟
nuppe,hanahajiki,兄弟
hanahajiki,isahaya-keihan,兄弟
morobuta-zushi,omura-zushi,兄弟
kankoro-mochi,ojika-peanut-tofu,対比
nagasaki-tempura,shaku-tempura,対比
kujira-jaga,kure-no-nikujaga,派生
pasutii,hikado,兄弟
almado,kamaboko,対比
ojika-peanut-tofu,goma-toufu,対比
yudehoshi-daikon-nimono,kamaboko,使用食材
sasebo-lemon-steak,nagasaki-wagyu,使用食材
kuritsubo,nuppe,対比
tsubojiru,tsubon-jiru,対比
nagasaki-milk-seiki,kanzarashi,対比
kanzarashi,nagasaki-milk-seiki,対比
