slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
kagoshima-kurobuta,かごしま黒豚,Kagoshima Kurobuta,"the byword for black Berkshire, finished on sweet potato",鹿児島県,,31.5966,130.5571,,ingredient,明治期に英国から導入されたバークシャー種を鹿児島で改良した黒豚。肥育後期にさつまいもを加えた飼料を60日以上与えることで、脂の甘みときめ細かな肉質につながるとされる。,Black Berkshire hogs refined in Kagoshima since English stock arrived in the Meiji era. A late-stage diet mixed with sweet potato for 60-plus days is said to bring out the fat's sweetness and fine texture.,かごしま黒豚とは,https://www.k-kurobuta.com/about/,鹿児島県黒豚生産者協議会,2026-09-06
okinawa-agu,あぐー,Agu,"pork from Okinawa's small native pig, bred back from near loss",沖縄県,,26.2124,127.6809,,ingredient,琉球王朝時代から沖縄で飼われてきた在来種アグーは、戦後の混血や大型種導入によって数を減らしたとされる。純粋アグーの血を父方に持ち、母方はDNA検査で確認された豚だけが「あぐー」を名乗れる。,"Agu, Okinawa's small native pig kept since the Ryukyu kingdom era, is said to have nearly disappeared after postwar crossbreeding with larger imported breeds. Only pigs with a DNA-confirmed purebred Agu sire may carry the name.",あぐ〜について,https://agu-pr.jp/aboutagu/,あぐー応援団（JAおきなわ銘柄豚推進協議会）,2026-09-06
tokyo-x,TOKYO X,Tokyo X,a slow-grown three-way cross bred by the Tokyo government,東京都,八王子市,35.6559,139.3389,,ingredient,東京都の畜産試験場が北京黒豚・バークシャー・デュロックを掛け合わせ、7年かけて育成した三元交雑種。通常より長く飼育され、赤身と脂のきめ細かさにつながるとされる。,"A three-way cross of Beijing Black, Berkshire and Duroc, developed over seven years by Tokyo's metropolitan livestock station. Pigs are raised longer than usual before shipping, said to give fine-grained lean meat and fat.",TOKYO Xって？,https://tokyox.jp/,TOKYO X生産組合,2026-09-06
yonezawa-buta-ichiban-sodachi,米澤豚一番育ち,Yonezawa Buta Ichiban Sodachi,a Landrace-Yorkshire-Duroc cross raised on Okitama snowmelt water,山形県,米沢市,37.9222,140.1167,,ingredient,ランドレースと大ヨークシャーの一代交雑種にデュロックを掛けた三元豚。置賜盆地の寒暖差と、山からのミネラル豊富な雪解け水の中で丁寧に育てられているとされ、脂の甘みとやわらかさが特徴とされる。,"A three-way cross — Landrace crossed with Large Yorkshire, then Duroc — raised in the Okitama basin's wide seasonal temperature swings on mineral-rich mountain snowmelt water.",山形県産の銘柄豚,https://www.yamagata.nmai.org/know/pork/index.html,おいしい山形（山形県）,2026-09-06
iwanaka-buta,岩中豚,Iwachu Buta,the first pork ever certified as a named brand in Japan,岩手県,,39.7036,141.1527,,ingredient,東京食肉市場銘柄豚協会が銘柄豚の指定第一号として認定した豚肉。岩手県の牧場でSPF基準の衛生管理のもと飼育され、市場では長く高値で取引されてきたとされる約40年続く銘柄。,Designated brand-pork No. 1 by the Tokyo Meat Market's branded-pork association — the first pork in Japan to receive such certification. Raised on an Iwate farm under SPF hygiene standards.,東京食肉市場銘柄豚協会,http://www.meigaraton.jp/,東京食肉市場銘柄豚協会,2026-09-06
joshu-mugi-buta,上州麦豚,Joshu Mugi-buta,barley-fed pork under Gunma's unified quality mark,群馬県,,36.3906,139.0604,,ingredient,動物性たんぱくを含まず大麦を多く配合した専用飼料で育てる、群馬県の統一銘柄豚。県内の複数の地域銘柄をまとめた枠組みで、大麦の香ばしさとくせのない味わいにつながるとされる。,"Raised on a formula feed high in barley and free of animal protein, under Gunma's unified brand-pork framework that gathers several local names together. Said to give a mild, clean flavor.",上州銘柄豚,https://gunmanooniku.com/buta/mugi.html,群馬県食肉品質向上対策協議会,2026-09-06
hokkaido-whey-buta,北海道ホエイ豚,Hokkaido Whey Buta,pork finished on cheesemaking whey,北海道,中札内村,42.6041,143.1428,,ingredient,チーズ製造の過程で出るホエー（乳清）を飼料に加えて育てる豚。2001年に十勝・中札内村のチーズ工房と養豚農家が始めたとされ、与える量や期間の基準を満たした豚だけが名乗れる。,"Pigs fed whey left over from cheesemaking. Said to have started in 2001 when a cheese workshop and hog farmers in Nakasatsunai, Tokachi, teamed up — only pigs meeting set standards may use the name.",北海道ホエイ豚協議会,https://whey.htri.co.jp/,北海道ホエイ豚協議会,2026-09-06
shinshu-olein-buta,信州オレイン豚,Shinshu Olein Buta,pork bred for a high oleic-acid fat that stays smooth,長野県,,36.6513,138.181,,ingredient,専用飼料でオレイン酸の含有率を高めた豚肉で、1頭ごとに測定値を記した証明書が発行されるとされる。オレイン酸が多いと脂の融点が下がり、口当たりがなめらかになるとされる。,"Pork raised on a feed formula to boost oleic-acid content, with each pig issued a certificate recording its measured value. A higher oleic-acid share is said to lower the fat's melting point for a smoother mouthfeel.",信州オレイン豚とは,https://www.nagachoku.co.jp/brand/oleicpig/,長野県農協直販株式会社,2026-09-06
ise-umashi-buta,伊勢うまし豚,Ise Umashi Buta,pork finished on citrus peel and flaxseed oil,三重県,,34.7185,136.5056,,ingredient,三重県内の生産者が2002年に一つにまとめた「みえ豚」の飼料をさらに改良し、2016年に生まれた統一ブランド。特産の柑橘「新姫」の果皮や亜麻仁油を加えた飼料で育てられているとされる。,"Born in 2016 from a further refinement of the feed behind Mie's earlier unified brand, Mie Buta. Raised on a formula said to include peel from the local citrus Niihime and flaxseed oil.",みえのお肉に注目！,https://www.zennoh.or.jp/me/product/meat/,JA全農みえ,2026-09-06
kyoto-poku,京都ぽーく,Kyoto Poku,"Kyoto's own three-way cross, graded at the city market",京都府,,35.0116,135.7681,,ingredient,ランドレースと大ヨークシャーの交雑種にデュロックを掛けた三元豚。大麦やパン粉を加えた飼料で60日以上肥育し、京都市中央卸売市場での格付けを満たしたものだけが名乗れる。,"A Landrace × Large Yorkshire sow crossed with a Duroc boar, fed barley and bread crumbs for 60-plus days. Only pigs graded at Kyoto's central wholesale market may carry the name.",ブランド畜産物 京都ぽーく,https://www.pref.kyoto.jp/chikusan/pork.html,京都府,2026-09-06
