slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
zuwaigani,ズワイガニ,Zuwaigani,the winter crab whose regional names double as brand tags,,,,,,ingredient,冬の日本海側を代表するカニ。身は繊細な甘みでほぐれやすく、茹でても焼いても濃厚なカニミソが楽しめる。同じ種でも水揚げ港ごとに黄・青・緑のタグで呼び名が変わり、産地の違いがそのままブランドの違いになる。,"The signature winter crab of the Sea of Japan coast. Its flesh is delicately sweet and flakes easily, with rich roe whether boiled or grilled. The same species is tagged and named differently at each port, so the landing site becomes the brand.",ズワイガニ,https://ja.wikipedia.org/wiki/ズワイガニ,Wikipedia,2026-09-06
tarabagani,タラバガニ,Tarabagani,the king crab that is technically a hermit crab relative,,,,,,ingredient,見た目はカニだが分類上はヤドカリに近い十脚目。脚が太く身の詰まりがよいため食べ応えがあり、繊維質でほろりとほどける食感が持ち味。鍋や焼きガニで冬に人気が高く、北海道が主産地とされる。,"Crab-shaped but biologically closer to hermit crabs. Its thick legs pack in substantial, fibrous meat that pulls apart in strands. Popular in winter hot pot or grilled, mostly landed in Hokkaido.",タラバガニ,https://ja.wikipedia.org/wiki/タラバガニ,Wikipedia,2026-09-06
kegani,毛ガニ,Kegani,the short-legged crab whose shell bristles hint at rich innards,,,,,,ingredient,甲羅一面を短い毛が覆う小ぶりなカニ。脚の身よりも甲羅いっぱいに詰まった濃厚なミソが真骨頂で、冬から春が旬とされる。シンプルに茹でてそのまま食べるのが定番の楽しみ方。,"A compact crab whose shell is covered in short bristles. Its real appeal is not the leg meat but the dense, rich innards packed under the shell, in season winter through spring, usually just boiled plain.",ケガニ,https://ja.wikipedia.org/wiki/ケガニ,Wikipedia,2026-09-06
hanasakigani,花咲ガニ,Hanasakigani,a crab that turns flower-red only when boiled,,,,,,ingredient,生きているときは黒褐色だが、茹でると花が咲いたように鮮やかな赤色に変わることが名の由来とされる大型のカニ。太いトゲに覆われた殻の中は身がしっかり詰まり、濃厚なミソと合わせて食べ応えがある。,"Dark brown while alive, it is said to take its name from turning flower-bright red once boiled. Beneath its thick, spiny shell sits substantial meat and rich roe.",ハナサキガニ,https://ja.wikipedia.org/wiki/ハナサキガニ,Wikipedia,2026-09-06
watarigani,ワタリガニ,Watarigani,the swimming crab with paddle-shaped hind legs,,,,,,ingredient,後ろ脚がヒレ状で泳ぎが得意なことからこの名がついたカニ。甲羅いっぱいに詰まった濃厚なミソと、殻ごと煮込むことで出る出汁の旨みが持ち味で、味噌汁やパスタにも使われる。産卵期の秋から冬が旬とされる。,"Named for its paddle-shaped hind legs, an able swimmer. Prized for the rich roe under its shell and the broth it releases when simmered whole, used in soup or pasta alike, in season autumn through winter.",ガザミ,https://ja.wikipedia.org/wiki/ガザミ,Wikipedia,2026-09-06
ise-ebi,伊勢海老,Ise Ebi,the long-whiskered lobster of celebration tables,,,,,,ingredient,太く長い触角と赤い殻を持つ大型のエビ。身は締まって甘みが強く、刺身では歯切れのよい食感が際立つ。姿の華やかさから正月や婚礼など祝い膳の主役になることが多く、鬼殻焼きや味噌汁にも使われる。,"A large spiny lobster with thick, long antennae and a red shell. Its firm flesh carries strong sweetness and a crisp bite raw. Its showy form makes it a centerpiece for New Year's and wedding meals alike.",イセエビ,https://ja.wikipedia.org/wiki/イセエビ,Wikipedia,2026-09-06
kuruma-ebi,車海老,Kuruma Ebi,the striped prawn whose curled body suggests a cartwheel,,,,,,ingredient,縞模様の殻を持ち、丸まった姿が車輪に見えることが名の由来とされる大型のエビ。加熱すると身が締まって濃厚な甘みが際立ち、生きたまま出す踊り食いや天ぷらの高級ネタとして知られる。,"A striped prawn said to be named for its wheel-like curl when curled up. Cooking firms the flesh and heightens a rich sweetness, known as a premium item served live or as tempura.",クルマエビ,https://ja.wikipedia.org/wiki/クルマエビ,Wikipedia,2026-09-06
ama-ebi,甘海老,Amaebi,a cold-water shrimp sweet enough to eat raw,,,,,,ingredient,標準和名はホッコクアカエビ。水深200〜700mの冷たい深海に生息し、生食すると強い甘みととろけるような食感が感じられることからこの通称で呼ばれる。刺身や寿司ネタとして通年出回るが、殻ごとの唐揚げも人気がある。,"Formally the northern shrimp, it lives in cold water 200-700m deep. Raw, it carries a pronounced sweetness and a melting texture, which gives it this everyday name. Sold year-round for sashimi and sushi.",ホッコクアカエビ,https://ja.wikipedia.org/wiki/ホッコクアカエビ,Wikipedia,2026-09-06
botan-ebi,ボタン海老,Botan Ebi,a large pink prawn named for its peony-like spots,,,,,,ingredient,殻に牡丹の花びらを思わせる赤い斑点があることが名の由来とされる大型のエビ。ねっとりとした粘りのある食感と強い甘みが持ち味で、刺身や寿司で生のまま味わわれることが多い。,"A large shrimp said to be named for the peony-like red markings on its shell. Prized for a sticky, dense texture and strong sweetness, most often eaten raw as sashimi or sushi.",ボタンエビ,https://ja.wikipedia.org/wiki/ボタンエビ,Wikipedia,2026-09-06
sakura-ebi,桜海老,Sakura Ebi,a shrimp whose commercial catch is licensed in only one bay,,,,,,ingredient,体長4cmほどの小型のエビ。透き通った赤い体が桜色に見えることが名の由来で、殻ごとかき揚げや釜揚げにして香ばしさと歯ざわりを楽しむ。国内で商業採捕が許可されているのは駿河湾のみとされる希少な食材。,"A small, translucent red shrimp about 4cm long, named for its cherry-blossom hue. Eaten shell and all, fried into fritters or briefly boiled for a toasty crunch. Commercial fishing for it is licensed in only one bay in Japan.",サクラエビ,https://ja.wikipedia.org/wiki/サクラエビ,Wikipedia,2026-09-06
