item_slug,pref,city,lat,lng,relation_type,note_ja,note_en,source_url,source_title,source_publisher,source_accessed_at
koshihikari,新潟県,南魚沼市,37.0473,138.8853,名産地,南魚沼産コシヒカリは最上級ブランドとされる。,Minamiuonuma's Koshihikari is often ranked as the top grade.,,,,
koshihikari,福井県,,36.0652,136.2216,名産地,一説には1956年に福井県農業試験場で育成された。,Said to have been bred at Fukui's agricultural experiment station in 1956.,,,,
akitakomachi,秋田県,,39.7186,140.1024,名産地,秋田県を代表する品種として広く栽培される。,"Akita's signature variety, grown across the prefecture.",,,,
hitomebore,宮城県,大崎市,38.5697,140.9591,名産地,宮城県古川農業試験場で育成されたとされる。,Said to have been bred at Miyagi's Furukawa agricultural station.,,,,
hinohikari,熊本県,,32.7898,130.7417,名産地,収穫量の多い産地の一つとされる。育成は宮崎県総合農業試験場という。,One of the leading production areas; said to have been bred at Miyazaki's agricultural station.,,,,
nanatsuboshi,北海道,,43.0642,141.3469,名産地,道内作付面積の上位を占める代表品種とされる。,One of Hokkaido's top-planted varieties.,,,,
yumepirika,北海道,,43.0642,141.3469,名産地,道が奨励品種として力を入れて普及させたとされる。,Promoted by the prefecture as a flagship recommended variety.,,,,
tsuyahime,山形県,,38.2404,140.3633,名産地,山形県が威信をかけて開発したブランド米とされる。,"Said to be Yamagata's flagship brand rice, developed with considerable investment.",,,,
sagabiyori,佐賀県,,33.2494,130.2989,名産地,佐賀県産米の最上位ブランドとされる。,Considered Saga's top-tier rice brand.,,,,
haenuki,山形県,,38.2404,140.3633,名産地,県内作付面積で長く上位を占めてきた主力品種という。,Said to have long ranked among Yamagata's most widely planted varieties.,,,,
kinumusume,岡山県,,34.6551,133.9195,名産地,岡山・島根・鳥取など中国地方で作付けが多いとされる。,"Said to be widely planted across the Chugoku region, including Okayama, Shimane, and Tottori.",,,,
kinumusume,島根県,松江市,35.4723,133.0505,名産地,県の奨励品種として作付けが広がっているという。,Said to be spreading as a recommended prefectural variety.,,,,
sasanishiki,宮城県,,38.2682,140.8694,名産地,宮城県で育成され、かつては東日本の主力品種だったとされる。,Bred in Miyagi and said to have once been a leading variety across eastern Japan.,,,,
nikomaru,熊本県,,32.7898,130.7417,名産地,九州各県で高温耐性品種として作付けが広がるとされる。,Said to be spreading across Kyushu prefectures as a heat-tolerant variety.,,,,
