item_slug,pref,city,lat,lng,relation_type,note_ja,note_en,source_url,source_title,source_publisher,source_accessed_at
takana-zuke,熊本県,阿蘇市,32.9564,131.0864,本場,寒冷な気候と火山灰の大地で育つ阿蘇高菜を、収穫後すぐに塩と唐辛子で漬けてきた土地,"Home to Aso takana, grown in cold air and volcanic-ash soil and salted with chili right after harvest.",https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/aso_takana_zuke_kumamoto.html,,,
takana-zuke,福岡県,みやま市瀬高町,33.1546,130.4772,本場,温暖な気候と肥沃な土壌に恵まれ、中国由来の青菜と在来種を掛け合わせた三池高菜の栽培が明治期に定着した土地,"A warm, fertile district where Mike takana — a cross of a green brought from China and a native strain — took hold as a crop in the Meiji era.",https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/setakano_takana_zuke_fukuoka.html,,,
kasuzuke,愛知県,清須市,35.2136,136.8393,名産地,,,,,,
kasuzuke,新潟県,,37.9026,139.0232,名産地,,,,,,
takuan,東京都,練馬区,35.7357,139.6519,本場,辛みが強く少し苦い練馬大根が干し大根に向いていたため、江戸時代に契約農家がたくあん用の大根を仕込んでいた,"Nerima daikon, notably pungent and slightly bitter, suited itself to drying, and Edo-period contract farmers there prepared daikon specifically for takuan.",https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/34_8_tokyo.html,,,
takuan,三重県,中南勢地域（伊勢市周辺）,34.4863,136.7096,本場,日照量の多い中南勢地域で育つ御薗大根を漬け込むことから「伊勢たくあん」の名で呼ばれている,"Takuan made from Mizono daikon, grown in the sunny Chunansei district, is known locally as ""Ise takuan.""",https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/yasaino_tsuke_mono_mie.html,,,
nukazuke,福井県,三方郡美浜町（若狭地域）,35.6081,135.9033,本場,サバなどの魚を塩漬けにしたあとさらに糠漬けにする「へしこ」が、厳しい冬を越すための貴重なたんぱく源として伝わってきた,"Heshiko — mackerel and other fish salted, then further pickled in rice bran — is said to have served as a vital protein source through hard winters.",https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/heshiko_fukui.html,,,
nukazuke,福岡県,北九州市,33.8834,130.8752,本場,小笠原藩の保存食だった糠床が旧家に代々受け継がれ、青魚を炊く「ぬかみそ炊き」の文化として今に伝わっている,"A nuka-doko bed once kept as a preserve by the Kokura domain has been passed down through old households and lives on as nukamiso-daki, fish simmered in aged bran.",https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/nukamiso_daki_fukuoka.html,,,
umeboshi,和歌山県,みなべ町,33.7167,135.3167,本場,年貢を逃れるためやせ地に自生する「やぶ梅」の栽培が奨励されたことが、梅の産地として広がる出発点になったとされる,Cultivation of wild yabu-ume plum trees on tax-exempt wasteland is said to be the starting point behind the region's growth as a plum-growing area.,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/umeboshi_wakayama.html,,,
umeboshi,和歌山県,田辺市,33.73,135.3844,本場,みなべ町と並ぶ江戸時代の紀州藩田辺領で、日当たりの良い山あいの気候風土が梅の栽培に適していたとされる,"Alongside Minabe, this was the Edo-period Tanabe domain territory, whose sun-facing mountain climate is said to have suited plum cultivation well.",https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/umeboshi_wakayama.html,,,
