slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
tebasaki,手羽先,Tebasaki,"chicken wing tip — gelatin-rich, popular deep-fried",,,,,,ingredient,手羽のうち先端側の部位で、ゼラチン質と脂質を多く含む。骨は鶏ガラとして出汁にも使われ、唐揚げや水炊きなど幅広い料理で親しまれる。名古屋の甘辛だれの唐揚げが全国的によく知られている。,"The outer tip of the wing, rich in gelatin and fat. Its bones are also used for chicken stock, and the meat appears in dishes from deep-fried karaage to hot pot, best known nationally in Nagoya's sweet-spicy fried style.",鶏の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster06.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
tebanaka,手羽中,Tebanaka,"chicken mid-wing — halved lengthwise it becomes a ""chicken rib""",,,,,,ingredient,手羽先と手羽元の中間にあたる部位。縦半分に割ったものは「鶏スペアリブ」と呼ばれ、串焼きや唐揚げでよく提供される。手羽先よりも小ぶりで扱いやすく、家庭でも使いやすい部位とされる。,"The middle section between the wing tip and the drumette. Split lengthwise it is called a ""chicken spare rib"", commonly served skewered or deep-fried, and smaller and easier to handle than the wing tip.",鶏の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster06.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
tebamoto,手羽元,Tebamoto,chicken drumette — a wing-shaped cut closer to the breast,,,,,,ingredient,手羽のうち胴体に近い部位で、形がチューリップに似ることから「チューリップ肉」とも呼ばれる。手羽先よりやや淡白で、長時間煮込むと肉離れがよく、水炊きや煮物によく使われる。,"The wing section nearest the body, also called ""tulip meat"" for its shape once trimmed. Milder than the wing tip, and the meat falls easily off the bone after long simmering in hot pot or braises.",鶏の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster06.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
tori-mune,むね,Mune,"chicken breast — lean, high in protein, low in fat",,,,,,ingredient,胸骨に沿った部位で、脂肪が少なく高タンパクな肉質を持つ。高温で一気に火を通すとパサつきやすく、低温でじっくり加熱するのがよいとされる。皮つきのまま調理すると脂の旨みも補える。,"Along the breastbone, lean and high in protein. Cooking it hot and fast is said to dry it out, so slow, gentle heat is recommended, and cooking it skin-on adds back some of the fat's flavor.",鶏の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster06.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
furisode,ふりそで,Furisode,chicken shoulder meat — between the wing and the breast,,,,,,ingredient,手羽のなかでも肩に近い部位で、着物の振袖に形が似ることが名前の由来とされる。もも肉より脂質は控えめで、むね肉よりジューシーな上品な味わいを持つ。1羽から取れる量が少ない部位とされる。,"The part of the wing nearest the shoulder, its name said to come from a resemblance to a furisode kimono sleeve. Leaner than thigh meat but juicier than breast, and yielded in only small amounts per bird.",鶏の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster06.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
sasami,ささみ,Sasami,"chicken tenderloin — the leanest cut, named for its bamboo-leaf shape",,,,,,ingredient,むね肉に沿った細長い部位で、笹の葉に似ていることが名前の由来とされる。鶏肉のなかで最も脂肪が少なく、高タンパクな部位として知られる。筋を取り除いてから調理するのが一般的とされる。,"A slender cut lying against the breast, its name said to come from a resemblance to a bamboo leaf (sasa). Known as the leanest, most protein-dense part of the bird, typically cooked after the central tendon is removed.",鶏の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster06.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
tori-momo,もも,Momo,"chicken thigh — flavorful, all-purpose dark meat",,,,,,ingredient,脚の付け根にあたる部位で、肉厚でうまみとコクのある肉質を持つ。焼く、煮る、揚げるなど幅広い調理法に向き、家庭の食卓でもおなじみとされる。日本人に最も好まれる部位のひとつともされる。,"From the base of the leg, thick-cut with a rich, flavorful bite. Suited to grilling, simmering, or frying, and said to be a familiar staple on the everyday table — among the parts most preferred in Japan.",鶏の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster06.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
tori-hatsu,ハツ（心臓）,Hatsu,"chicken heart — small, mild, and quick to cook",,,,,,ingredient,鶏の心臓の部位で、周りの脂肪や血管を取り除き血抜きをするとクセのないあっさりとした味わいになる。串焼きや炒め物によく合うとされる。小ぶりなため、串では複数個をまとめて刺すことが多い。,"The heart, its surrounding fat and vessels trimmed and blood drained to give a clean, mild flavor. Said to suit skewer-grilling and stir-frying well, and small enough that several are usually threaded per skewer.",鶏の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster06.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
hatsumoto,ハツモト,Hatsumoto,"chicken ventricle — the base of the heart, taken in only small amounts",,,,,,ingredient,心臓のうち大動脈がつながる部分で、ハツより一羽から取れる量が少ない部位とされる。柔らかな肉質で歯切れがよく、串焼きなどで提供される。ハツと混同されやすいが、別の部位として扱われる。,"The portion of the heart where the aorta attaches, said to be taken in smaller amounts per bird than the heart itself. Tender with a clean bite, often served skewered, and treated as a distinct cut from the heart proper.",鶏の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster06.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
hiza-nankotsu,ひざ軟骨,Hiza Nankotsu,chicken knee cartilage — crunchier than the breastbone kind,,,,,,ingredient,膝の関節部分にある軟骨で、胸の軟骨（ヤゲン軟骨）とは異なる位置から取れる。コリコリとした強い歯ざわりが持ち味で、唐揚げや串焼きで食べられる。ヤゲンよりも硬めの歯応えとされる。,"Cartilage from the knee joint, distinct from the breastbone (yagen) cartilage. Prized for its especially firm crunch, eaten deep-fried or skewered, and said to bite firmer than yagen cartilage.",鶏肉の部位,https://www.nlbc.go.jp/hyogo/tishiki/bui/index.html,独立行政法人家畜改良センター兵庫牧場,2026-09-06
