slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
tochigi-shimotsukare,しもつかれ／シモツカレ,Shimotsukare,"Shimotsukare — daikon, soybean, and salted salmon head simmered in sake lees",栃木県,,36.5658,139.8836,,dish,正月に残った塩鮭の頭と節分の炒り大豆を、大根や人参とともに鬼おろしで粗くすりおろし、酒粕でじっくり煮込む冬の料理。初午にお稲荷様へ供え、七軒分を食べると病気をしないと伝わる。,"Leftover salted salmon head and roasted Setsubun soybeans are simmered with coarsely grated daikon and carrot in sake lees. Offered to the fox shrine on the first Horse Day, folklore holds that eating it from seven households wards off illness.",しもつかれ／シモツカレ 栃木県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/31_1_tochigi.html,農林水産省,2026-09-08
imogushi,芋ぐし／いも串,Imogushi,Imogushi — skewered taro grilled with a miso glaze,栃木県,,36.5658,139.8836,,dish,蒸したり茹でたりしたさといもを串に刺し、焦げ目がつくまで味噌だれをからめて焼く料理。稲作以前から栽培されてきたさといもを使い、正月や稲荷社の祭りなど行事に合わせてつくられてきた。,"Steamed or boiled taro is skewered and grilled with a miso glaze until lightly charred — made from a root vegetable grown since before rice farming, and tied to New Year's and shrine festival gatherings.",芋ぐし／いも串 栃木県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/31_4_tochigi.html,農林水産省,2026-09-08
saganbo-no-nitsuke,さがんぼの煮付け,Saganbo no Nitsuke,Saganbo no Nitsuke — spiny dogfish shark simmered in soy sauce and sugar,栃木県,大田原市,36.8697,140.0122,,dish,北茨城の漁港から内陸へ運ばれたアブラツノザメの切り身を、醤油と砂糖、みりんで煮付けた料理。冷蔵庫のなかった時代、腐りにくいサメは海なし県・栃木の貴重なたんぱく源だった。,"Spiny dogfish shark, carried inland from north Ibaraki's ports, is simmered in soy sauce, sugar, and mirin. Before refrigeration, shark's natural resistance to spoiling made it a key protein source for landlocked Tochigi.",さがんぼの煮付け 栃木県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/31_5_tochigi.html,農林水産省,2026-09-08
moro-no-nitsuke,モロの煮付,Moro no Nitsuke,Moro no Nitsuke — salmon shark simmered soft in soy sauce,栃木県,,36.5658,139.8836,,dish,茨城や福島沖でとれるネズミザメを「モロ」と呼び、醤油と砂糖でやわらかく煮付けた料理。腐りにくいサメの性質を活かし、海の遠い栃木で貴重なたんぱく源として食卓に上ってきた。,"Salmon shark, caught off Ibaraki and Fukushima and known locally as moro, is simmered soft in soy sauce and sugar — its resistance to spoiling made it a reliable protein source in landlocked Tochigi.",モロの煮付 栃木県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/31_10_tochigi.html,農林水産省,2026-09-08
kanpyo-no-gomazu-ae,干瓢のごま酢あえ,Kanpyo no Gomazu-ae,Kanpyo no Gomazu-ae — rehydrated dried gourd dressed in sesame vinegar,栃木県,下野市,36.3939,139.8541,,dish,戻したかんぴょうを人参や油揚げとともにごま酢で和えたさっぱりとした料理。栽培に適した関東ローム層が広がる県南地域で、江戸期から300年続くかんぴょう食文化の一皿として親しまれる。,"Rehydrated kanpyo gourd strips are dressed with sesame vinegar alongside carrot and fried tofu — a light dish from southern Tochigi, whose Kanto loam soil has suited kanpyo growing for some 300 years since the Edo period.",干瓢のごま酢あえ 栃木県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/31_11_tochigi.html,農林水産省,2026-09-08
aiso-no-kanroni,あいその甘露煮,Aiso no Kanroni,Aiso no Kanroni — spring dace slow-simmered sweet from the Naka River,栃木県,,36.7909,140.1666,,dish,那珂川や鬼怒川で春の産卵期に群れるウグイを、あいそと呼び、弱火で長時間かけて骨まで柔らかく甘露煮にする。冷蔵庫が普及する前、川魚が貴重なたんぱく源だった内陸県の料理。,"Dace that gather to spawn each spring in the Naka and Kinu rivers, known locally as aiso, are slow-simmered in a sweet glaze until soft to the bone — food from a landlocked prefecture where river fish once meant protein.",あいその甘露煮 栃木県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/31_15_tochigi.html,農林水産省,2026-09-08
nishime,煮しめ,Nishime,"Nishime — taro, root vegetables, and konjac simmered slowly in soy sauce",栃木県,,36.5658,139.8836,,dish,さといもを主役に、大根や人参、ごぼう、しいたけ、こんにゃくを醤油でじっくり煮含めた料理。親芋のまわりに子芋が育つさといもの姿から子孫繁栄の縁起物とされ、正月や冠婚葬祭に欠かせない。,"Taro takes the lead alongside daikon, carrot, burdock, shiitake, and konjac, simmered slowly in soy sauce. Because taro grows new corms clustered around the parent, it is read as a wish for descendants, essential at New Year's and life events.",煮しめ 栃木県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/31_19_tochigi.html,農林水産省,2026-09-08
nishin-to-takenoko-no-nitsuke,ニシンとタケノコの煮付け,Nishin to Takenoko no Nitsuke,Nishin to Takenoko no Nitsuke — dried herring and bamboo shoot simmered sweet,栃木県,,36.5658,139.8836,,dish,身欠きにしんとたけのこを甘じょっぱく煮付けた料理。田植えの労をねぎらう「田植えにしん」として振る舞われてきた、乾物のにしんを貴重なたんぱく源としてきた内陸県ならではの一皿。,"Dried herring and bamboo shoot are simmered sweet and salty — served as 'rice-planting herring' to thank those who helped with planting, a dish from a landlocked prefecture that relied on dried fish for protein.",ニシンとタケノコの煮付け 栃木県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/31_20_tochigi.html,農林水産省,2026-09-08
ayu-meshi,鮎めし,Ayu Meshi,Ayu Meshi — rice cooked with grilled sweetfish from the Naka River,栃木県,,36.7909,140.1666,,dish,那珂川など鮎の獲れる川筋で、素焼きにした鮎を米と一緒に炊き込む混ぜごはん。祭りや農作業の休みなど特別な日につくられ、余った鮎は串に刺して囲炉裏端に吊るし保存したという。,"Along the Naka River and other ayu-fishing streams, unseasoned grilled ayu is cooked into the rice — made for festivals and farm rest days, with any leftover fish skewered and hung by the hearth to keep.",鮎めし 栃木県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/31_22_tochigi.html,農林水産省,2026-09-08
ebi-daikon,えび大根,Ebi Daikon,Ebi Daikon — river shrimp and daikon simmered tender for winter,栃木県,小山市,36.3147,139.8007,,dish,笹を束ねて岸辺に沈め、寒さを避けて集まる川エビをすくい獲る漁でとれたエビと大根を、とろけるほど柔らかく煮た冬の料理。赤いエビと白い大根の対比から、祝いの水神祭にも供された。,"River shrimp, lured into bundled bamboo leaves sunk along the riverbank to escape the cold, are simmered with daikon until tender — the red shrimp against white daikon making it a fitting offering at the river-god festival.",えび大根 栃木県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/31_23_tochigi.html,農林水産省,2026-09-08
shira-ae,白あえ,Shira-ae,Shira-ae — tofu ground smooth and dressed with vegetables,栃木県,,36.5658,139.8836,,dish,水切りした豆腐をすり鉢で滑らかにし、下煮した人参やこんにゃくと和える料理。祝い事では彩りに赤い食材を加え、葬式では入れずに白く仕上げるなど、席によって仕立てを変える。,"Drained tofu is ground smooth and dressed with pre-simmered carrot and konjac — red ingredients added for celebrations, left out for a purely white dish at funerals, the recipe shifting with the occasion.",白あえ 栃木県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/31_25_tochigi.html,農林水産省,2026-09-08
chitake-to-nasu-no-abura-itame,ちたけとなすの油炒め,Chitake to Nasu no Abura Itame,Chitake to Nasu no Abura Itame — a summer mushroom stir-fried with eggplant,栃木県,宇都宮市,36.5658,139.8836,,dish,裂くと乳白色の汁が出るきのこ・ちたけを、なすとともに油で炒めた料理。里山の管理とともに8月ごろだけとれる希少なきのこで、うどんやそばのだしにも使われる栃木ならではの味覚。,"Chitake mushrooms, which weep a milky sap when torn, are stir-fried with eggplant — a summer-only find tied to managed satoyama woodland, and also prized as a broth base for udon and soba.",ちたけとなすの油炒め 栃木県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/31_26_tochigi.html,農林水産省,2026-09-08
nasu-to-ingen-no-abura-miso,なすといんげんの油味噌,Nasu to Ingen no Abura Miso,Nasu to Ingen no Abura Miso — eggplant and green beans stir-fried in sweet miso,栃木県,,36.5658,139.8836,,dish,刻んだなすといんげんを油で炒め、味噌と砂糖でからめた夏の惣菜。稲の豊作を祈る宇都宮の天祭など、夏の行事に合わせてつくられてきたが、平日の食卓にも日常的に上る料理でもある。,"Chopped eggplant and green beans are stir-fried and coated in sweet miso — tied to summer events like Utsunomiya's Tensai harvest-prayer festival, though it turns up on ordinary tables just as often.",なすといんげんの油味噌 栃木県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/31_27_tochigi.html,農林水産省,2026-09-08
kiriboshi-daikon-no-nimono,切干し大根の煮物,Kiriboshi Daikon no Nimono,Kiriboshi Daikon no Nimono — sun-dried daikon strips simmered slowly,栃木県,,36.5658,139.8836,,dish,細切りにした大根を2週間ほど天日で干した切干し大根を戻し、じっくり煮含めた料理。空っ風が吹き晴天の続く栃木の冬につくられてきた保存食で、生の大根とは違う風味と栄養が凝縮される。,"Julienned daikon, sun-dried for about two weeks in Tochigi's dry winter winds, is rehydrated and slow-simmered — a preserve whose flavor and nutrients concentrate in ways fresh daikon cannot match.",切干し大根の煮物 栃木県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/31_30_tochigi.html,農林水産省,2026-09-08
