slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
imo-no-kuki-no-itameni,いもの茎の炒め煮,Imo no Kuki no Itameni,"Sweet Potato Stem Stir-simmer — the leaf-stalk of the vine, cooked crisp-tender in dashi",高知県,,33.5597,133.5311,,dish,さつまいもの茎（葉柄）を炒めてから出汁で甘辛く煮る高知の常備菜。高温多湿な気候で茂る茎を活かした農家の知恵とされ、彩りに唐辛子を添え、揚げ物を加えてアレンジすることも多いという。,"The leaf-stalk of the sweet potato vine is stir-fried, then simmered sweet and salty in dashi — a Kochi staple side dish. Said to have grown from farm households making use of stems that thrive in the hot, humid climate, it's often finished with red chili and sometimes bulked out with fried fish cake.",いもの茎の炒め煮 高知県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/imonokukinoitameni_kochi.html,農林水産省,2026-09-08
guruni,ぐる煮,Guruni,"Guruni — a big-batch winter simmer of daikon, taro, and whatever root vegetable was on hand",高知県,,33.5597,133.5311,,dish,大根や人参、里芋などの根菜を出汁じゃこと醤油で煮込む冬の総菜。土佐弁で「仲間」を意味する「ぐる」が名の由来とされ、何度も温め直しながら食べる備蓄菜として親しまれてきたという。,"Daikon, carrot, taro, and other root vegetables are simmered together in a dashi made from dried baby sardines and soy sauce — a winter side dish. The name is said to come from ""guru,"" Tosa dialect for a group of companions, and the dish was long made in bulk and reheated meal after meal.",ぐる煮 高知県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/guruni_kochi.html,農林水産省,2026-09-08
ryukyu-no-sunomono,りゅうきゅうの酢の物,Ryukyu no Sunomono,"Ryukyu no Sunomono — the crisp leaf-stalk of taro-leaf vine, dressed in yuzu vinegar with hairtail",高知県,,33.5597,133.5311,,dish,ハスイモの葉柄「りゅうきゅう」を塩もみし、柚子酢に浸したタチウオなどの魚としょうが、ごまで和える高知の夏の定番。名は沖縄伝来の説があるが定かではないとされ、地域で使う魚が違うという。,"The crisp leaf-stalk of the taro-leaf vine, known locally as ryukyu, is salted and tossed with hairtail or another fish that's been steeped in yuzu vinegar, ginger, and sesame — a summer standard in Kochi. One theory traces the name to Okinawa, though it's said to be unconfirmed, and the fish used varies by area.",りゅうきゅうの酢の物 高知県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/ryukyunosunomono_kochi.html,農林水産省,2026-09-08
itadori-no-aburaitame,いたどりの油いため,Itadori no Aburaitame,"Itadori no Aburaitame — a tart, crunchy mountain shoot, salted or frozen for year-round eating",高知県,,33.5597,133.5311,,dish,山あいに自生するタデ科の若芽「いたどり」の皮をむき、湯通しして酸味を抜いてから油で炒め、醤油と砂糖で味付ける。春にしか採れないため塩漬けや冷凍で保存し、通年食卓にのぼるという。,"The young shoots of itadori, a mountain-growing knotweed, are peeled, blanched to draw out their tartness, then stir-fried in oil and seasoned with soy sauce and sugar. Since the shoots appear only in spring, they're salted or frozen for storage and eaten from the pantry year-round.",いたどりの油いため 高知県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/itadorinoaburaitame_kochi.html,農林水産省,2026-09-08
himeichi-mikan-karashini,ひめいちとみかんの辛子煮,Himeichi to Mikan no Karashini,Himeichi to Mikan no Karashini — a small sea-bream stand-in simmered with citrus peel and hot mustard,高知県,,33.5597,133.5311,,dish,土佐湾でとれる小魚ヒメイチを、種を抜いた辛子とみかんの皮とともに弱火でじっくり煮る。安価にタイの代役を果たしたとされ、骨まで柔らかくなるため年の暮れに大量につくり保存食にしたという。,"Himeichi, a small fish caught in Tosa Bay, is simmered slowly over low heat with seeded hot mustard and citrus peel. Prized as an affordable stand-in for sea bream, the long simmer softens even the bones, and it was traditionally made in bulk at year's end to keep through the season.",ひめいちとみかんの辛子煮 高知県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/himeichitomikannokarashini_kochi.html,農林水産省,2026-09-08
kure-no-nimono,暮れの煮物,Kure no Nimono,Kure no Nimono — whale meat simmered with daikon and kelp for New Year's Eve,高知県,室戸市,33.2894,134.1467,,dish,くじら肉を大根や人参、こんにゃく、糸昆布と煮込む高知の年越し料理。大きなものを食べて「大物になるように」との願いが込められたとされ、捕鯨の町として知られる室戸市がその文化を担ってきた。,"Whale meat is simmered with daikon, carrot, konjac, and shredded kelp — a New Year's Eve dish in Kochi. Eating something so large is said to carry a wish for one's children to grow into something big themselves, and the whaling town of Muroto has long carried the tradition.",暮れの煮物 高知県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kurenonimono_kochi.html,農林水産省,2026-09-08
taimo-no-korobashi,田芋のころばし,Taimo no Korobashi,"Taimo no Korobashi — taro rolled in sesame after a long, slow soy-sugar simmer",高知県,佐川町,33.4526,133.3011,,dish,里芋を高知では田芋と呼び、醤油と砂糖でじっくり煮詰めてから炒りごまをまぶす佐川町の郷土料理。ごまの上で芋を転がすことが名の由来とされ、子孫繁栄の縁起物として皿鉢料理にも加わるという。,"Taro, called taimo in Kochi, is slowly simmered down in soy sauce and sugar, then rolled in roasted sesame — a dish from Sakawa Town. The name is said to come from rolling the taro over the sesame, and as a symbol of a family's growing lineage, it also appears on festive sawachi platters.",田芋のころばし 高知県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/taimonokorobashi_kochi.html,農林水産省,2026-09-08
hachiku-to-endo-no-nimono,淡竹とエンドウの煮物,Hachiku to Endo no Nimono,Hachiku to Endo no Nimono — slender purple-skinned bamboo shoot simmered with fresh peas,高知県,,33.5597,133.5311,,dish,身が薄く淡白な淡竹（はちく）を出汁で煮て、実をつけ始めたエンドウを加えて仕上げる高知の初夏の煮物。孟宗竹に続いて出回る淡竹と、同じ頃に収穫期を迎えるエンドウの組み合わせという。,"Hachiku, a slender, purple-tinged bamboo shoot with a mild flavor, is simmered in dashi and finished with fresh green peas just coming into season — an early-summer simmered dish in Kochi. It pairs hachiku, which follows the earlier moso bamboo to market, with peas harvested around the same time.",淡竹とエンドウの煮物 高知県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/hachikutoendononimono_kochi.html,農林水産省,2026-09-08
sawachi-ryori,皿鉢料理,Sawachi Ryori,"Sawachi Ryori — a single vast platter piled with sushi, sashimi, and simmered dishes for a party",高知県,,33.5597,133.5311,,dish,36〜39cmほどの大皿に刺身やかつおのたたき、すし、煮物、揚げ物などを盛り合わせる高知の宴会様式。「おきゃく」と呼ぶ客をもてなす場で振る舞われ、皿の枚数で宴の規模がわかるとされる。,"Sashimi, seared bonito, sushi, simmered dishes, and fried food are piled onto a single platter roughly 36 to 39 centimeters across — a style of feasting in Kochi. Served at gatherings called okyaku, the number of platters set out is said to signal the scale of the party.",皿鉢料理 高知県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/sawachiryori_kochi.html,農林水産省,2026-09-08
chate-no-aemono,チャーテの和え物,Chate no Aemono,"Chate no Aemono — chayote, sliced raw and tossed while still crisp",高知県,,33.5597,133.5311,,dish,熱帯アメリカ原産のウリ科植物チャーテ（ハヤトウリ）を生のまま和え物にする高知の秋の家庭料理。1株で100個以上実るため自家消費や近所への差し入れに使われ、栽培しやすい山間部で特に親しまれている。,"Chayote, a squash-family vine native to tropical America and known locally as chate, is tossed raw into a light dressing — an autumn home dish in Kochi. A single vine can bear over a hundred fruit, so it's mostly grown for the household or shared with neighbors, and it's especially popular in the mountains where it grows easily.",チャーテの和え物 高知県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/chatenoaemono_kochi.html,農林水産省,2026-09-08
