slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
sapporo,札幌ラーメン,Sapporo Ramen,miso broth sealed with lard and topped with stir-fried vegetables,北海道,札幌市,43.0618,141.3545,味噌,味噌ダレを炒めた野菜と合わせ、表面をラードで覆って熱を逃さない。中太の縮れ麺がスープを持ち上げる。,Miso broth combined with stir-fried vegetables and capped with lard to hold the heat. Medium-thick wavy noodles carry the soup.,全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
asahikawa,旭川ラーメン,Asahikawa Ramen,soy-based broth with a lard layer that resists the cold,北海道,旭川市,43.7708,142.3650,醤油,魚介と豚骨を合わせた醤油スープに、ラードで蓋をして冷めにくくする。厳寒の地ならではの工夫とされる。,"Soy-sauce broth built on seafood and pork bones, topped with lard so it stays hot. A response to the region's severe winters.",全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
hakodate,函館ラーメン,Hakodate Ramen,"clear salt broth, among the oldest ramen styles in Japan",北海道,函館市,41.7687,140.7288,塩,澄んだ塩スープと細めのストレート麺。港町として早くから外来の食文化に触れた土地で育った。,"A clear salt broth with thin, straight noodles. It grew in a port city exposed early to food culture from abroad.",全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
yonezawa,米沢ラーメン,Yonezawa Ramen,light soy broth with hand-crimped thin noodles,山形県,米沢市,37.9222,140.1167,醤油,あっさりした醤油スープに、手もみで縮れをつけた細麺を合わせる。,A light soy-sauce broth served with thin noodles hand-crimped to hold it.,全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
shirakawa,白河ラーメン,Shirakawa Ramen,soy broth with hand-pulled noodles and char siu,福島県,白河市,37.1263,140.2111,醤油,手打ちの平打ち縮れ麺が特徴。醤油スープに大ぶりのチャーシューを乗せる店が多い。,"Known for hand-pulled, flat wavy noodles. Shops typically serve the soy broth with generous slices of char siu.",全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
kitakata,喜多方ラーメン,Kitakata Ramen,"soy broth with thick, flat, wavy noodles",福島県,喜多方市,37.6512,139.8737,醤油,太めの平打ち縮れ麺と、すっきりした醤油スープ。豊富な伏流水と醸造文化を背景に持つ。,"A clean soy-sauce broth with thick, flat, wavy noodles. It draws on the area's abundant groundwater and brewing tradition.",全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
sano,佐野ラーメン,Sano Ramen,soy broth with noodles rolled using a bamboo pole,栃木県,佐野市,36.3147,139.5783,醤油,青竹踏みで生地を延ばす製法の平打ち麺。透明感のある醤油スープと合わせる。,"Flat noodles made by pressing the dough with a bamboo pole, paired with a clear soy-sauce broth.",全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
tokyo,東京ラーメン,Tokyo Ramen,the classic soy broth built on chicken and dried fish,東京都,千代田区,35.6938,139.7534,醤油,鶏ガラと煮干しを軸にした醤油スープ。中華そばと呼ばれてきた、最も基本的な型。,"A soy-sauce broth built on chicken bones and dried sardines. Long called chuka soba, it is the baseline style.",全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
yokohama,横浜ラーメン,Yokohama Ramen,thick pork-and-soy broth with spinach and nori,神奈川県,横浜市,35.4437,139.6380,豚骨,豚骨と醤油を合わせた濃いスープに太麺。ほうれん草と海苔を乗せる型が広く知られる。,A thick broth of pork bones and soy sauce with thick noodles. The familiar bowl is topped with spinach and sheets of nori.,全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
takayama,高山ラーメン,Takayama Ramen,soy broth where tare and soup are simmered together,岐阜県,高山市,36.1461,137.2521,醤油,タレとスープを一緒に煮込む作り方が特徴。細い縮れ麺を合わせる。,"Distinguished by simmering the tare together with the soup rather than combining them in the bowl. Served with thin, wavy noodles.",全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
kyoto,京都ラーメン,Kyoto Ramen,richer than its refined-cuisine image suggests,京都府,京都市,35.0116,135.7681,醤油,薄味の京料理の印象とは逆に、こってりした醤油スープの店が多い。鶏ガラを強く炊く型と背脂を効かせる型がある。,"Contrary to the city's delicate-cuisine image, the ramen tends to be rich. Some shops boil chicken bones hard, others lean on back fat.",全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
wakayama,和歌山ラーメン,Wakayama Ramen,"pork-and-soy broth, locally called chuka soba",和歌山県,和歌山市,34.2261,135.1675,豚骨,豚骨と醤油を合わせたスープ。地元では中華そばと呼ばれ、卓上の早寿司と一緒に食べる習慣がある。,A broth of pork bones and soy sauce. Locals call it chuka soba and often eat it with pressed mackerel sushi kept on the table.,全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
onomichi,尾道ラーメン,Onomichi Ramen,soy broth with small-fish stock and floating pork fat,広島県,尾道市,34.4088,133.2050,醤油,瀬戸内の小魚でとった出汁の醤油スープに、背脂を浮かせる。平打ちのストレート麺を合わせる。,"A soy-sauce broth stocked with small fish from the Seto Inland Sea, dotted with pork back fat. Served with flat, straight noodles.",全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
hiroshima,広島ラーメン,Hiroshima Ramen,pork broth softened with soy sauce and vegetables,広島県,広島市,34.3853,132.4553,豚骨,豚骨をベースに醤油と野菜を合わせ、角の取れた味に仕上げる。,A pork-bone base rounded out with soy sauce and vegetables for a softer finish.,全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
tokushima,徳島ラーメン,Tokushima Ramen,dark pork-and-soy broth served with pork belly and raw egg,徳島県,徳島市,34.0703,134.5548,豚骨,豚骨と濃口醤油の色の濃いスープ。甘辛く煮た豚バラを乗せ、生卵を落として食べる型が知られる。,"A dark broth of pork bones and heavy soy sauce, topped with sweet-savoury pork belly. A raw egg is commonly cracked over it.",全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
hakata,博多ラーメン,Hakata Ramen,cloudy pork broth with very thin noodles and refills,福岡県,福岡市,33.5904,130.4017,豚骨,豚骨を強火で炊いた白濁スープと極細ストレート麺。麺だけを追加する替え玉の習慣がある。,"A cloudy broth from hard-boiled pork bones with very thin, straight noodles. Diners can order kaedama, an extra portion of noodles alone.",全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
kurume,久留米ラーメン,Kurume Ramen,the origin point of Kyushu pork-bone ramen,福岡県,久留米市,33.3193,130.5083,豚骨,九州の豚骨ラーメンの源流とされる。継ぎ足しで炊き続ける濃厚なスープが特徴。,Regarded as the origin of Kyushu's pork-bone ramen. The broth is kept going by continually topping up the pot.,全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
kumamoto,熊本ラーメン,Kumamoto Ramen,pork broth finished with fried garlic oil,熊本県,熊本市,32.8031,130.7079,豚骨,豚骨スープに焦がしニンニクの油を合わせる。博多より太めの麺を使う。,A pork-bone broth finished with oil made from browned garlic. The noodles are thicker than those used in Hakata.,全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
kagoshima,鹿児島ラーメン,Kagoshima Ramen,pork broth softened with chicken and vegetables,鹿児島県,鹿児島市,31.5966,130.5571,豚骨,豚骨に鶏や野菜を合わせ、九州の他地域より穏やかな味に仕上げる。麺は太めのストレート。,Pork bones combined with chicken and vegetables for a gentler result than elsewhere in Kyushu. The noodles are thick and straight.,全国ご当地ラーメン｜ラーペディア,https://www.raumen.co.jp/rapedia/study_japan/,新横浜ラーメン博物館,2026-08-17
