slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
toshitori-zen,歳とり膳,Toshitori-zen,Toshitori-zen — the New Year's Eve feast set out for the year's incoming kami,宮崎県,,31.9111,131.4239,,dish,大晦日の夜、歳神様への感謝と新年への願いをこめて家族で囲む宮崎の膳。沿岸部ではタイ、山間部では塩イワシなど「歳とり魚」を主役に、煮しめや白和え、なますが並び、正月三が日はその残りを静かに食べ継ぐ。,"On New Year's Eve, a family gathers around a set meal offered in thanks to the departing year's kami and in hope for the new one — a 'year-taking fish' at its center, sea bream on the coast or salted sardine in the mountains, alongside simmered vegetables, tofu salad, and pickled namasu, the leftovers quietly eaten through the first days of January.",歳とり膳／年取り膳／年越し料理 宮崎県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/toshi_torizen_miyazaki.html,農林水産省,2026-09-08
miyazaki-nishime,煮しめ,Miyazaki Nishime,Miyazaki nishime — root vegetables and konjac simmered slowly until the broth is gone,宮崎県,,31.9111,131.4239,,dish,しいたけや里芋、たけのこ、こんにゃくなどを醤油とみりんでじっくり煮つめ、汁を残さず仕上げる宮崎の惣菜。正月のおせちや高千穂の神楽奉納に欠かせない一品で、地域ごとに出汁の素材や具材が異なる。,"Shiitake, taro, bamboo shoot, and konjac are simmered slowly in soy sauce and mirin until the broth cooks away entirely — a Miyazaki side dish essential to New Year's osechi and to the all-night kagura dance offerings in Takachiho, its broth base and fillings shifting from one district to the next.",煮しめ 宮崎県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/nishime_miyazaki.html,農林水産省,2026-09-08
nadoufu,菜豆腐,Nadofu,Nadofu — tofu curdled together with seasonal wild greens or flowers,宮崎県,椎葉村,32.4667,131.2667,,dish,大豆を煮てにがりで固める工程に、季節の菜の花や三つ葉、平家かぶの葉を混ぜ込む椎葉村の豆腐。豆腐の色や滋養を補うと同時に、貴重な大豆をやせた土地でも育つ青菜で節約する知恵だったと伝わる。,"As soybeans are simmered and set with nigari, seasonal greens — rapeseed blossom, mitsuba, or the leaves of the local Heike turnip — are folded straight into the curd — a Shiiba village tofu that both colors and nourishes the block while stretching scarce soybeans with greens that grow even on poor mountain soil.",菜豆腐 宮崎県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/nadoufu_miyazaki.html,農林水産省,2026-09-08
kappo-dori,かっぽ鶏,Kappo-dori,Kappo-dori — chicken and vegetables slow-cooked inside a length of green bamboo,宮崎県,高千穂町,32.7061,131.3081,,dish,青竹の節をくり抜いた筒に下味をつけた地鶏や野菜を詰め、竹ごと火にかけて蒸し焼きにする高千穂町の料理。竹から出る香りとエキスがまろやかな味わいを生み、竹筒に地元焼酎を入れた「かっぽ酒」と共に楽しまれる。,"Chicken and vegetables, lightly seasoned, are packed into a length of green bamboo with its joints hollowed out, then steam-cooked over a fire, bamboo and all — a Takachiho dish whose aroma and natural extract mellow the flavor, traditionally enjoyed alongside kappo-zake, local shochu warmed in its own bamboo tube.",かっぽ鶏 宮崎県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kappo_dori_miyazaki.html,農林水産省,2026-09-08
somage,そまげ,Somage,"Somage — a buckwheat porridge, its dumplings stirred straight into a vegetable soup",宮崎県,椎葉村,32.4667,131.2667,,dish,煮干し出汁で大根や人参を煮た汁に、そば粉を混ぜ込んでだんご状にする椎葉村の郷土料理。「そま」はそば、「げ」はおかゆを指す方言とされ、固くなったら囲炉裏で焼いて食べたと伝わる、米を節約するための一杯。,"Buckwheat flour is stirred into a broth of daikon and carrot simmered with dried sardine until it forms soft dumplings — a Shiiba village dish whose name is said to combine the local words for buckwheat and porridge; once it hardened, it was grilled over the irori hearth, a way of stretching scarce rice.",そまげ 宮崎県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/somage_miyazaki.html,農林水産省,2026-09-08
nuta-imo,ぬた芋,Nuta-imo,Nuta-imo — boiled taro dressed in a sweet sesame-miso sauce,宮崎県,,31.9111,131.4239,,dish,皮ごとゆでた里芋をすりごま、味噌、砂糖、みりんで和える宮崎の惣菜。里芋の角がとれてとろみが増すのが持ち味で、小さな「おちこ」芋を無駄なく使う先人の知恵から生まれたと伝わる。,"Taro, boiled in its skin, is dressed in a sauce of ground sesame, miso, sugar, and mirin — a Miyazaki side dish that thickens as the taro's edges soften into the sauce, said to have grown from a way of using up small taro too little to serve any other way.",ぬた芋 宮崎県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/nutaimo_miyazaki.html,農林水産省,2026-09-08
hyuga-kabocha-nimono,日向黒皮かぼちゃの煮物,Hyuga Kurokawa Kabocha no Nimono,Hyuga kurokawa kabocha no nimono — black-skinned pumpkin simmered soft in a light soy broth,宮崎県,宮崎市,31.9111,131.4239,,dish,宮崎市発祥の伝統野菜「日向黒皮かぼちゃ」を大きめに切り、砂糖と薄口醤油でコトコト煮る料理。西洋かぼちゃよりさっぱりとして甘みは控えめだが煮崩れしにくく、皮まで美味しく食べられるのが持ち味。,"Hyuga kurokawa kabocha, a black-skinned heirloom pumpkin first grown in Miyazaki City, is cut into large chunks and simmered slowly in sugar and light soy sauce — lighter and less sweet than a Western pumpkin, but it holds its shape well and its skin is good to eat too.",日向黒皮かぼちゃの煮物 宮崎県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/hyuuga_kuro_kabocha_no_nimono_miyazaki.html,農林水産省,2026-09-08
jidori-no-miso-korobakashi,地鶏の味噌ころばかし,Jidori no Miso Korobakashi,Jidori no miso korobakashi — jidori chicken rolled in a dry miso glaze in the pan,宮崎県,小林市,32,130.9667,,dish,地鶏を水を使わずに焦がさないよう鍋で煮転がし、味噌をからめる小林市周辺の家庭料理。「ころばかし」は鍋の中で煮転がすことを指す県西地方の方言で、家庭ごとに具材や味付けが異なる。,"Jidori chicken is rolled around a dry pan with no added water, coaxed with a miso glaze without letting it catch — a home-cooked dish from around Kobayashi City, its name a western-Miyazaki dialect word for tumbling food in a pot as it cooks, the mix of vegetables and seasoning varying from house to house.",地鶏の味噌ころばかし 宮崎県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/jidori_no_miso_koro_bakashi_miyazaki.html,農林水産省,2026-09-08
seri-no-yogoshi,せりのよごし,Seri no Yogoshi,"Seri no yogoshi — blanched water dropwort dressed with tofu, sesame, and miso",宮崎県,,31.9111,131.4239,,dish,ゆでて刻んだせりを、豆腐と胡麻、味噌、砂糖をすった衣で和える宮崎の白和え。すり鉢を汚しながらつくることから「よごし」と呼ばれ、精進料理として法事や仏事にも手づくりされてきた。,"Blanched, chopped water dropwort is tossed in a dressing of ground tofu, sesame, miso, and sugar — a Miyazaki-style shira-ae named yogoshi, for how the mortar gets 'dirtied' in the making, long prepared by hand as a meat-free dish for memorial services.",せりのよごし 宮崎県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/serino_yogoshi_miyazaki.html,農林水産省,2026-09-08
tsuwabuki-no-aburaitame,つわぶきの油炒め,Tsuwabuki no Aburaitame,"Tsuwabuki no aburaitame — bitter greens simmered soft with fried tofu, soy, and sugar",宮崎県,宮崎市,31.9111,131.4239,,dish,アク抜きしたつわぶきを塩ゆでし、油揚げと共に炒めて醤油と砂糖で味付けする日南地方の惣菜。ふきに似るが常緑で一年中葉をつけ、宮崎県南部の海岸線に自生する春の食材として親しまれている。,"Tsuwabuki, its bitterness drawn out and blanched in salted water, is stir-fried with fried tofu and seasoned with soy sauce and sugar — a side dish from the Nichinan area; the plant resembles fuki but stays evergreen year-round, gathered wild along the southern Miyazaki coastline each spring.",つわぶきの油炒め 宮崎県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/tsuwa_buki_no_abura_itame_miyazaki.html,農林水産省,2026-09-08
