slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
tenshinhan,天津飯,Tenshinhan,Tenshinhan — a crab omelette set over rice with a sweet-savory starch-thickened sauce,,,,,,dish,卵でとじたかに玉を白飯にのせ、酸味と甘みのある醤油あんをかけた丼。中国には対応する料理がなく、日本で生まれたとされる。発祥は東京・浅草説と大阪説が並び立ち、決着していない。,"A crab omelette set over rice and finished with a sweet-tangy, starch-thickened soy sauce. No dish in China matches it, and it's said to have been born in Japan — though whether in Tokyo's Asakusa or in Osaka remains an open question.",天津飯の起源―定説を疑う―,https://www.jstage.jst.go.jp/article/kjoho/3/1/3_52/_pdf,日本国際情報学会『Kokusai-Joho』3巻1号,2026-09-10
hiyashi-chuka,冷やし中華,Hiyashi Chuka,"Hiyashi chuka — chilled ramen noodles topped with shredded egg, ham, and vegetables in a tangy sauce",,,,,,dish,茹でた中華麺を冷水で締め、錦糸卵やハム、きゅうりを彩りよく並べて酢の効いたたれをかける夏の麺。中国の冷たい和え麺「涼拌麺」がヒントとされるが、酢醤油だれで食べる形は日本で独自に育ったという。,"Chinese-style noodles are chilled in water and topped in neat rows of shredded egg, ham, and cucumber, then finished with a tangy sauce — a summer dish said to take its cue from China's liangban mian but to have grown into its own soy-vinegar form in Japan.",龍亭について（冷やし中華の由来）,https://ryu-tei.jp/about/,中国料理 龍亭,2026-09-10
tanmen,タンメン,Tanmen,Tanmen — stir-fried vegetables and pork in a clear salted broth over ramen noodles,神奈川県,横浜市,35.4437,139.638,,dish,強火で炒めたもやしやキャベツ、豚肉を鶏がらの塩味スープに落とし、中華麺と合わせる麺料理。中国語の「湯麺」はスープ麺全般を指す言葉だが、日本のタンメンはこの名で独自の一皿として定着したとされる。,"Bean sprouts, cabbage, and pork stir-fried over high heat go into a clear, salted chicken broth with ramen noodles. Chinese 'tangmian' just means noodles in soup generally, but Japan's tanmen is said to have settled into its own specific dish under that name.",タンメン,https://ja.wikipedia.org/wiki/タンメン,Wikipedia,2026-09-10
nira-reba-itame,ニラレバ炒め,Nira Reba Itame,Nira-reba itame — stir-fried liver and garlic chives in a soy-oyster sauce glaze,,,,,,dish,豚や牛のレバーをにんにくやしょうがで下味をつけ、にらともやしと強火で炒め合わせる定食の定番。中国の家庭料理がもとにあるとされ、日本では醤油とオイスターソースで濃いめに仕立てる。,"Pork or beef liver, marinated in garlic and ginger, is stir-fried fast with chives and bean sprouts — a set-meal staple said to trace to a Chinese home dish, given a stronger soy-and-oyster-sauce finish in Japan.",レバニラ？ニラレバ？正しいのはどっち！？,https://www.cookdoor.jp/chinese-food/dictionary/21235_china_035/,Cookdoor,2026-09-10
chahan,炒飯,Chahan,"Chahan — Japanese-style fried rice with egg, scallion, and pork, tossed loose over high heat",,,,,,dish,卵と刻んだねぎ、豚肉やハムを白飯と一緒に強火でぱらりと炒め合わせる、中華食堂の定番。広東の炒飯を手本にしながらも、日本では具や味付けが独自に整理され、半人前の「半チャーハン」という食べ方まで定着したという。,"Egg, chopped scallion, and pork or ham are stir-fried loose with rice over high heat — a diner staple said to take Cantonese fried rice as its model while settling, in Japan, into its own pared-down ingredients and even its own half-size 'han-chahan' order.",炒飯,https://ja.wikipedia.org/wiki/炒飯,Wikipedia,2026-09-10
subuta,酢豚,Subuta,"Subuta — Japanese sweet-and-sour pork, cubed and glazed in a ketchup-tinted starch sauce",,,,,,dish,揚げた豚肉に、片栗粉でとろみをつけたケチャップ入りの甘酢あんを絡める中華食堂の定番。広東の古老肉が手本とされるが、パイナップルを入れるかどうかで意見が分かれる、日本ならではの論争を抱えている。,"Fried pork cubes are glazed in a cornstarch-thickened, ketchup-tinted sweet-and-sour sauce — a diner staple said to take Cantonese gulaorou as its model, while carrying a distinctly Japanese debate over whether pineapple belongs in it.",酢豚,https://ja.wikipedia.org/wiki/酢豚,Wikipedia,2026-09-10
ebi-chili,エビチリ,Ebi Chiri,"Ebi chiri — shrimp in a mild, ketchup-tinted chili sauce",東京都,港区,35.6669,139.7565,,dish,殻をむいたえびを、豆板醤の辛さにケチャップの甘みを重ねたとろみあんで仕上げる料理。四川の「乾焼蝦仁」を、四川出身の料理人が日本人向けに辛さを和らげて考案したと伝わる。,Shelled shrimp are finished in a thickened sauce that layers ketchup's sweetness over doubanjiang's heat — said to have been created by a Sichuan-born chef who softened Sichuan's ganshao xiaren to suit Japanese palates.,四川飯店発祥！？エビチリの美味さの秘密,https://note.com/sisen_hanten/n/n3abfed5259c2,note（四川飯店）,2026-09-10
ebi-mayo,エビマヨ,Ebi Mayo,Ebi mayo — fried shrimp tossed in a sweet mayonnaise sauce,神奈川県,横浜市,35.4437,139.6461,,dish,衣をつけて揚げたえびに、マヨネーズをベースにした甘いソースを絡める料理。広東料理の料理人が、アメリカで食べたマヨネーズがけのえび料理に納得がいかず、独自に作り直したのが始まりとされる。,"Battered, fried shrimp are tossed in a sweet mayonnaise-based sauce — said to have begun when a Cantonese chef, unsatisfied with a mayonnaise-dressed shrimp dish he'd eaten in the United States, remade it his own way.",エビマヨ,https://ja.wikipedia.org/wiki/エビマヨ,Wikipedia,2026-09-10
mabo-dofu,麻婆豆腐,Mabo Dofu,"Mabo dofu — Japanese-style mapo tofu, milder and often made with pork instead of beef",東京都,港区,35.6669,139.7565,,dish,豆腐と挽き肉を、豆板醤や甜麺醤で辛みと甘みをつけたとろみあんで煮込む料理。本場四川の花椒の痺れる辛さを控え、牛肉を豚肉に置き換えるなど、四川出身の料理人が日本人向けに作り替えたと伝わる。,"Tofu and ground meat are simmered in a thickened sauce built on doubanjiang and sweet bean paste — said to have been reworked for Japan by a Sichuan-born chef, who eased off Sichuan's numbing peppercorn heat and, later, swapped beef for pork.",麻婆豆腐、回鍋肉、青椒肉絲…「四川料理の魂」,https://www.pandaview.net/article/detail/9580d0ea-ebac-454e-a800-ecddbd6f6603,PandaView,2026-09-10
mabo-nasu,麻婆茄子,Mabo Nasu,Mabo nasu — eggplant and ground pork simmered in the same sauce as mabo dofu,,,,,,dish,揚げ焼きにした茄子と挽き肉を、麻婆豆腐と同じ豆板醤や甜麺醤の合わせだれで煮る料理。本場四川の「魚香茄子」とは調味の系統が異なり、日本の合わせ調味料の普及とともに広まったとされる。,"Pan-fried eggplant and ground pork are simmered in the same doubanjiang-and-sweet-bean-paste sauce as mabo dofu — a different family of seasoning from Sichuan's yuxiang qiezi, said to have spread with the rise of packaged Japanese seasoning mixes.",麻婆茄子,https://ja.wikipedia.org/wiki/麻婆茄子,Wikipedia,2026-09-10
