slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
pork-loin,ロース,Rosu,pork loin — the classic cut for tonkatsu,,,,,,ingredient,背中にあたる部位で、きめが細かく適度な脂肪が入る。豚肉のなかでは最上級部位のひとつとされ、とんかつやしゃぶしゃぶによく使われる。脂身の縁に浅く切れ目を入れると加熱時に縮みにくい。,"From along the back, fine-grained with moderate fat. Often ranked among pork's top cuts, and a standard choice for tonkatsu and shabu-shabu, with the fat edge often scored to keep it from curling.",豚の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster04.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
pork-tenderloin,ヒレ,Hire,pork tenderloin — the leanest and most tender pork cut,,,,,,ingredient,豚肉のなかで最もきめが細かく脂肪が少ない部位。柔らかい肉質だが加熱しすぎるとパサつきやすいため、火の通し方に注意が必要とされる。1頭から取れる量が少なく、ロースより高値で扱われる。,"The finest-grained, leanest cut of pork. Tender, but said to dry out quickly if overcooked, so timing the heat matters; yielded in smaller amounts than the loin, it is generally priced higher.",豚の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster04.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
pork-shoulder-loin,肩ロース,Kata Rosu,pork shoulder loin (collar) — well-marbled with a rich bite,,,,,,ingredient,肩からロースにかけての部位で、脂肪が網状に入り込みコクのある味わいを持つ。調理の際は赤身と脂肪の境の筋を切ると食べやすいとされる。カレーや焼き豚など煮込み・焼き両方に向く。,"Running from the shoulder into the loin, with fat woven through in a net-like pattern for a rich flavor. Trimming the tendon at the lean-fat boundary is said to make it easier to eat, suiting both curry and roast pork.",豚の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster04.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
pork-belly,バラ,Bara,"pork belly — layered lean and fat, the base for spare ribs",,,,,,ingredient,肋骨の部分につく部位で、赤身と脂肪が層になっている。骨付きのまま販売されるものは「スペアリブ」と呼ばれ、煮込みや焼き物に使われる。角煮やベーコンの原料としても広く使われる。,"The rib section, with lean and fat in alternating layers. Sold bone-in it is called ""spare ribs"", used in braises and grilling alike, and is also the standard base for kakuni and bacon.",豚の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster04.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
pork-leg,もも,Momo,pork leg (ham) — lean meat suited to grilling and searing,,,,,,ingredient,後ろ脚の付け根にあたる部位で、脂肪が少なくヒレに次いでビタミンB1を多く含むとされる。焼き豚やハムの原料としても使われ、この部位を加工したものが「ボンレスハム」と呼ばれる。,"From the base of the hind leg, low in fat and said to be rich in vitamin B1, second only to the tenderloin. Also the base for roast pork and ham — processed whole, it becomes what is sold as boneless ham.",豚の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster04.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
pork-shoulder,かた,Kata,pork shoulder (picnic) — firmer meat suited to simmering,,,,,,ingredient,前脚の付け根にあたる部位で、他の部位よりきめがやや粗く肉色が濃い。薄切りや角切りにして煮込み料理に使うと旨みが引き立つとされる。ロースに比べて価格が手頃な部位でもある。,"From the base of the foreleg, somewhat coarser and darker than other cuts. Sliced or cubed for simmered dishes, its flavor is said to come through best that way, and it is generally more affordable than the loin.",豚の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster04.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
pork-outside-round,そともも,Sotomomo,pork outside round (silverside) — an all-purpose lean cut,,,,,,ingredient,もも肉の外側にあたる部位で、ほとんどの豚肉料理に使える万能な部位とされる。肉色の濃い部分はきめが粗いため、薄切りや角切りに向く。脂肪が少なく、生姜焼きにもよく使われる。,"The outer part of the leg, described as an all-purpose cut usable in nearly any pork dish. Its darker portions are coarser-grained and better sliced thin or cubed, and it is low-fat enough for ginger-fried pork.",豚の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster04.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
spare-rib,スペアリブ,Spare Rib,spare ribs — the bone-in cut of pork belly,,,,,,ingredient,バラ肉のうち骨がついたまま整形されたものを指す。骨の周りは特に濃厚な味わいとされ、煮込みやオーブン焼きでじっくり火を通して食べる。骨から身が外れやすくなるまで煮るのが定番とされる。,"Pork belly left bone-in and trimmed into a rack. The meat around the bone is said to carry the deepest flavor, slow-cooked by braising or roasting until it pulls easily from the bone.",豚の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster04.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
tontoro,トントロ,Tontoro,pork jowl/neck — nicknamed for its toro-like marbling,,,,,,ingredient,頬から首にかけての部位で、1頭から少量しか取れないとされる。マグロのトロのように脂がのった食感から「トントロ」と呼ばれ、焼肉や焼き鳥屋で人気がある。加熱しても硬くなりにくい。,"From the cheek to the neck, said to be yielded in only small amounts per pig. Named ""tontoro"" for a fattiness reminiscent of fatty tuna, popular at yakiniku and yakitori shops, and slow to toughen when cooked.",豚の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster04.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
kashira,カシラ（頭肉）,Kashira,"pork cheek meat — firm, gelatin-rich head meat",,,,,,ingredient,こめかみから頬にかけての部位で、別名「チークミート」とも呼ばれる。主に加工品の原料として利用されるが、焼き鳥店では串にして提供される。運動量の多い部位で歯応えがしっかりしている。,"From the temple to the cheek, also known as ""cheek meat"". Mainly used in processed products, though also served skewered at yakitori-style shops, and firm-textured from being a well-worked muscle.",豚の部位図鑑,https://www.maff.go.jp/j/pr/aff/2009/pdf/aff2009_02_poster04.pdf,農林水産省 webマガジンaff（監修：公益財団法人日本食肉消費総合センター）,2026-09-06
