slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
koikuchi-shoyu,濃口醤油,Koikuchi shoyu,the all-purpose soy sauce used in most Japanese kitchens,,,,,,ingredient,国内のしょうゆ出荷量の約8割を占めるとされる、最も一般的な醤油。大豆と小麦をほぼ同量用いて造られ、赤みを帯びた色と強い香りを持つ。煮物からかけ用まで幅広く使われ、地域を問わず食卓の基本となっている。,"The most common soy sauce style, said to account for roughly 80% of national shipments. Made from roughly equal parts soybean and wheat, it carries a reddish color and a pronounced aroma, and serves as the everyday base seasoning nationwide.",種類,https://www.soysauce.or.jp/knowledge/kinds,しょうゆ情報センター（日本醤油協会）,2026-09-06
usukuchi-shoyu,淡口醤油,Usukuchi shoyu,"the pale, aroma-forward soy sauce born in Tatsuno",兵庫県,たつの市,34.8569,134.5453,,ingredient,兵庫県たつの市（旧龍野）で寛文年間に考案されたと伝わる、色の淡い醤油。揖保川の軟水と播州平野の大豆・小麦、赤穂の塩に恵まれ、素材の色や出汁の風味を活かす関西の食文化とともに発達したとされる。,"A pale-colored soy sauce said to have been devised in the Kanbun era (1660s) in what is now Tatsuno, Hyogo. Soft water from the Ibo River and easy access to local soybeans, wheat, and Ako salt let it develop alongside a Kansai food culture that prizes ingredient color and dashi flavor.",兵庫県／醤油,https://web.pref.hyogo.lg.jp/sr09/jibasan/05.html,兵庫県,2026-09-06
tamari-shoyu,溜醤油,Tamari shoyu,"the thick, nearly all-soybean soy sauce of the Tokai region",愛知県,半田市,34.8865,136.9327,,ingredient,大豆を主原料に小麦をほとんど使わずに仕込む、とろみと濃厚な旨味が特徴の醤油。愛知・三重・岐阜の東海3県、なかでも知多半島の半田周辺が主産地とされ、豆味噌文化と地続きの醸造技術から生まれたとされる。,"A thick, deeply savory soy sauce brewed mainly from soybeans with little or no wheat. The Tokai region — Aichi, Mie, and Gifu, especially around Handa on the Chita Peninsula — is its main production area, growing out of the same brewing tradition as the region's soybean miso.",組合企業一覧,https://www.aichimisotamari.or.jp/pages/55/,愛知県味噌溜醤油工業協同組合,2026-09-06
saishikomi-shoyu,再仕込醤油,Saishikomi shoyu,twice-brewed 'kanro' soy sauce from Yanai,山口県,柳井市,33.9633,132.1015,,ingredient,できあがった生揚げ醤油に、もう一度麹を加えて仕込み直す濃厚な醤油。山口県柳井市の醸造家が江戸中期に生み出し藩主に献上したところ「甘露、甘露」と称えられ「甘露醤油」とも呼ばれるとされる。,"A rich soy sauce made by re-brewing already-finished raw soy sauce with a fresh batch of koji. Said to have been created in the mid-Edo period by a brewer in Yanai, Yamaguchi, who presented it to his lord — who reportedly praised it as 'kanro, kanro' (nectar, nectar), giving it the alternate name kanro shoyu.",甘露しょうゆ,https://www.city-yanai.jp/site/kanko/kanroshoyu.html,柳井市,2026-09-06
shiro-shoyu,白醤油,Shiro shoyu,"the amber-pale, wheat-forward soy sauce of Mikawa",愛知県,碧南市,34.8919,136.9986,,ingredient,小麦を主原料に大豆をわずかしか使わず仕込む、琥珀色に近い薄い色と強い甘みが特徴の醤油。愛知県碧南市が発祥の地とされ、白だしなど色を淡く仕上げたい料理の下味に使われる。,"Brewed mainly from wheat with only a small amount of soybean, this soy sauce is nearly amber in color and notably sweet. Hekinan, Aichi is said to be its birthplace, and it is prized for seasoning dishes — such as shiro-dashi — where a pale color matters.",白しょうゆ発祥のまちで地元産有機白しょうゆ・みりんを使用した学校給食を提供,https://www.city.hekinan.lg.jp/soshiki/kyouiku/shomu/gakkou_kyushoku/20158.html,碧南市,2026-09-06
kyushu-amakuchi-shoyu,九州甘口醤油,Kyushu amakuchi shoyu,the sugar-rounded sweet soy sauce of Kyushu,,,,,,ingredient,砂糖や甘味料を加えて仕込む、九州各地で好まれる甘口の醤油。江戸期の南蛮貿易で砂糖が早くから流通したことや、新鮮な魚を甘みで引き立てる食習慣が背景にあるとされ、刺身醤油として定着している。,"A sweetened soy sauce popular across Kyushu, made with added sugar or other sweeteners. Its roots are often traced to sugar arriving early via Edo-era trade with Portuguese and Dutch merchants, and to a local habit of using sweetness to complement very fresh raw fish — it remains the everyday sashimi soy sauce of the region.",山口・九州地方における甘いしょうゆの歴史としょうゆと砂糖の関係,https://www.alic.go.jp/joho-s/joho07_002775.html,農畜産業振興機構,2026-09-06
shodoshima-shoyu,小豆島醤油,Shodoshima shoyu,400 years of wooden-barrel brewing on Shodoshima,香川県,小豆島町,34.4697,134.1937,,ingredient,約400年前に紀州湯浅の醸造技術が伝わったとされる、瀬戸内海・小豆島の醤油。温暖な気候と海運の便に恵まれ最盛期には島内に400軒の蔵があったとされ、現存する木桶仕込みの多くを今も小豆島産が占める。,"Soy sauce from Shodoshima in the Seto Inland Sea, whose brewing technique is said to have arrived from Yuasa in Kishu some 400 years ago. Mild climate and easy sea transport once supported some 400 breweries on the small island, and it still accounts for much of Japan's remaining wooden-barrel-aged soy sauce.",小豆島町の特産品「本場の本物」小豆島桶(こが)仕込醤油,https://www.town.shodoshima.lg.jp/gyousei/kakuka/shokokanko/4/891.html,小豆島町,2026-09-06
choshi-shoyu,銚子醤油,Choshi shoyu,soy sauce brewed where the Kuroshio meets the Tone River,千葉県,銚子市,35.7346,140.8267,,ingredient,紀州の商人が江戸初期に興したとされる、関東を代表する醤油の産地。黒潮と親潮が交わる沖合の影響で夏冬の寒暖差が小さく高湿多湿な気候が、麹菌や酵母の働きに適していたとされ、江戸の食を支えた。,"One of Kanto's leading soy sauce production areas, said to have been founded by merchants from Kishu in the early Edo period. The mild, humid climate — shaped by the meeting of the Kuroshio and Oyashio currents offshore — is said to suit the koji mold and yeast used in brewing, and the town's output helped feed Edo.",銚子の醤油醸造,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/1818/,文化庁 日本遺産ポータルサイト,2026-09-06
kome-miso,米味噌,Kome miso,"rice-koji miso, the nationwide standard",,,,,,ingredient,米麹を使って仕込む味噌で、国内生産量の約8割を占めるとされる最も一般的な分類。信州味噌や江戸甘味噌など、産地ごとに塩分や熟成期間、色合いが異なる多様な地域味噌を含む大きな括りとなっている。,"Miso made with rice koji, said to account for roughly 80% of national miso production and by far the most common category. It is a broad umbrella covering many regional misos — from Shinshu to Edo amai — that differ widely in salt content, aging time, and color.",味噌,https://ja.wikipedia.org/wiki/味噌,Wikipedia,2026-09-06
mugi-miso,麦味噌,Mugi miso,barley-koji miso from Kyushu and the Inland Sea region,,,,,,ingredient,麦麹を使って仕込む味噌で、九州や中国・四国地方など米作りが難しい土地で自家用に広まったとされる。米味噌より熟成が短く色が淡い傾向があり、麦の香ばしさと甘みを感じる素朴な味わいとされる。,"Miso made with barley koji, said to have spread as a home-brewed staple in Kyushu and the Chugoku-Shikoku region, where rice cultivation was historically harder. It tends to age faster and stay paler than rice miso, with a rustic sweetness and the toasty aroma of barley.",麦味噌,https://ja.wikipedia.org/wiki/麦味噌,Wikipedia,2026-09-06
