slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
kaburazushi,かぶらずし,Kaburazushi,fermented turnip and yellowtail sushi from Kanazawa's New Year table,石川県,金沢市,36.5613,136.6562,,dish,塩漬けにしたかぶらでブリを挟み、米麹の甘酒で発酵させる金沢の正月食。刺身とも粕漬けとも違う、酸味の奥に麹の甘さが層になった味わいで、地元では欠かせない一皿とされる。,"A Kanazawa New Year dish: salt-cured turnip sandwiching fatty yellowtail, fermented in a sweet rice-koji malt. Neither sashimi nor a pickle, its tang gives way to malted sweetness underneath.",かぶらずし,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kaburazushi_ishikawa.html,農林水産省「うちの郷土料理」,2026-09-07
daikonzushi,大根ずし,Daikon-zushi,fermented daikon and herring sushi carried in by the herring ships,石川県,加賀市,36.2989,136.3183,,dish,大根と身欠きニシンを米麹で漬け込む、加賀地方の発酵ずし。北前船が運んだニシンが庶民の手に届いたことで根づいたとされ、かぶらずしと並んで石川の正月に欠かせない、酸味の穏やかな発酵の味として親しまれている。,"A fermented sushi from the Kaga region layering daikon radish with dried herring in rice koji. Said to have taken root once herring carried by the Kitamae trading ships reached ordinary tables, it now sits alongside kaburazushi as a New Year staple.",大根ずし,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/daikonzushi_ishikawa.html,農林水産省「うちの郷土料理」,2026-09-07
iwakuni-zushi,岩国寿司,Iwakuni-zushi,a lord's tower of pressed sushi from Iwakuni's castle town,山口県,岩国市,34.1667,132.2167,,dish,木枠で三段から五段に重ねて押し固める、山口県岩国市の押し寿司。れんこんや椎茸、錦糸卵の層が断面に並ぶ華やかさから「殿様寿司」とも呼ばれ、祝いの席で切り分けて振る舞われる。,"A pressed sushi from Iwakuni, layered three to five tiers deep in a wooden frame. Lotus root, shiitake, and shredded egg stack into a striped cross-section — a dish also known as 'the lord's sushi,' cut and shared at celebrations.",岩国寿司,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/43_5_yamaguchi.html,農林水産省「うちの郷土料理」,2026-09-07
okayama-barazushi,岡山ばらずし,Okayama Bara-zushi,a scattered sushi born from dodging an anti-luxury edict,岡山県,岡山市,34.6551,133.9195,,dish,サワラやイカ、レンコンなど瀬戸内の幸を酢飯に混ぜ込み、彩りよく盛り付ける岡山の祝いずし。倹約令をすしの具の多さで乗り越えた逸話が伝わり、まつりずしとも呼ばれる。,"A festival sushi from Okayama mixing Setouchi seafood like Spanish mackerel and squid, plus lotus root, into vinegared rice. Local telling ties its many toppings to a dodge around an old anti-luxury edict.",ばらずし（まつりずし）,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/41_1_okayama.html,農林水産省「うちの郷土料理」,2026-09-07
mamakari-zushi,ままかりずし,Mamakari-zushi,"vinegar-cured sappa herring on rice, named for a fish worth borrowing dinner for",岡山県,瀬戸内市,34.6027,134.1252,,dish,ママカリ（サッパ）を甘酢でしめ、握った酢飯にのせる岡山の郷土ずし。「ご飯を借りに行くほど美味しい」という名の由来が、そのまま魚の身上を語る、瀬戸内の小魚を無駄なく食べ切る知恵の一皿。,A small Okayama sushi with vinegar-cured sappa herring laid over hand-pressed rice. Its name — 'you'd go borrow rice for it' — is less a legend than a description of the fish itself.,ままかりずし,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/41_27_okayama.html,農林水産省「うちの郷土料理」,2026-09-07
funa-zushi,ふなずし,Funa-zushi,"fermented crucian carp, the archetype of Japan's oldest sushi",滋賀県,近江八幡市,35.1281,136.0975,,dish,琵琶湖の子持ちニゴロブナを塩漬けし、さらに飯に漬けて半年以上発酵させる、なれずしの代表格。強い酸味と発酵香を持ち、飯ごと食べるか身だけを食べるかは人によって分かれるという。,"Roe-bearing crucian carp from Lake Biwa, salted and then packed in rice to ferment for half a year or more — the archetype of narezushi. Sharply sour and pungent, some eat the rice too, others scrape it off.",ふなずし,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/funa_zushi_shiga.html,農林水産省「うちの郷土料理」,2026-09-07
sanma-zushi,さんまずし,Sanma-zushi,vinegar-cured saury sushi tracing to a Kumano shrine offering,三重県,熊野市,33.8894,136.1058,,dish,三重県熊野市に伝わる、サンマを背開きにして柑橘酢でしめる棒状の押し寿司。産田神社の子どもの成長を願う神事に由来するとされ、紀伊半島の海沿いの家々で広く作られてきた。,"A rod-pressed sushi from Kumano, Mie, made by butterflying saury along the back and curing it in citrus vinegar. Said to trace to a shrine ritual for children's growth, and made widely along the Kii Peninsula coast.",さんまずし,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/sanma_zushi_mie.html,農林水産省「うちの郷土料理」,2026-09-07
kakinoha-zushi,柿の葉寿司,Kakinoha-zushi,mackerel sushi wrapped in persimmon leaves for their tannin,奈良県,吉野郡下市町,34.3286,135.7414,,dish,塩でしめたサバの薄切りを酢飯にのせ、渋柿の葉できっちり包んで一晩なじませる奈良吉野の押し寿司。柿の葉のタンニンと香りが防腐と風味づけを兼ねるとされ、祭礼のもてなしに欠かせない。,"Thin-sliced salt-cured mackerel over vinegared rice, wrapped tight in a bitter persimmon leaf and left overnight — a pressed sushi from Yoshino, Nara, where the leaf's tannin is said to do double duty as preservative and flavoring.",柿の葉寿司,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kakinoha_zushi_nara.html,農林水産省「うちの郷土料理」,2026-09-07
kokera-zushi,こけらずし,Kokera-zushi,pressed sushi layered like cedar-shingle roofing,三重県,尾鷲市,33.9256,136.1897,,dish,しめサバや干し椎茸など奇数種の具を、木の香りの移る押し型で三、四段に層状に重ねる三重県東紀州の押し寿司。こけら葺きの屋根のように具をずらして盛ることが名の由来とされる。,"A pressed sushi from the Higashi-Kishu coast of Mie, stacking an odd number of toppings — cured mackerel, dried shiitake, and more — three or four tiers deep in a wooden mold. Named, it's said, for the way the layers shingle like a cedar-bark roof.",こけらずし,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kokera_zushi_mie.html,農林水産省「うちの郷土料理」,2026-09-07
tekone-zushi,てこねずし,Tekone-zushi,fisherman's mixed sushi of soy-marinated bonito,三重県,志摩市,34.3333,136.8167,,dish,醤油だれに漬けたカツオの刺身を酢飯に混ぜ込む、三重県志摩・熊野灘の漁師料理。船上で獲れた魚をその場でさばいて手で混ぜたことが名の由来とされる、型に押さない素朴なちらしずし。,"Soy-marinated bonito sashimi mixed straight into vinegared rice — a fisherman's dish from Shima and Kumano Bay, Mie. Said to be named for sailors who cleaned their catch and mixed it in by hand on deck; no mold, no pressing.",てこねずし,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/tekone_zushi_mie.html,農林水産省「うちの郷土料理」,2026-09-07
hatahata-zushi,ハタハタ寿し,Hatahata-zushi,fermented sandfish sushi for a New Year that can't start without it,秋田県,男鹿市,39.8858,139.7264,,dish,秋田近海でしか揚がらないハタハタを、飯と米麹に漬けて三週間ほど発酵させる秋田の郷土ずし。雷鳴とともに岸へ寄る産卵期の一時期だけ大量に獲れる魚を、丸ごと仕込んで長く食いつなぐ。,"Sandfish landed only in the waters off Akita, packed in rice and rice koji to ferment about three weeks. The fish arrives in huge schools only during its short spawning run inshore, and the whole catch gets preserved this way.",ハタハタ寿し,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/29_2_akita.html,農林水産省「うちの郷土料理」,2026-09-07
akazushi,赤ずし（赤漬け）,Akazushi (Akazuke),red shiso mochi-rice sushi that carries a household through midsummer,秋田県,大仙市,39.45,140.4833,,dish,炊いたもち米を赤じそと酢で漬け込み、短く発酵させる秋田の郷土ずし。魚を使わない植物性のなれずしで、お盆に仏前へ供える行事食としても伝わる、酸味の穏やかな夏の一皿。,"Cooked glutinous rice cured briefly in red shiso and vinegar — an Akita sushi with no fish in it at all, a plant-based cousin of narezushi also offered at Obon altars.",赤漬け／赤ずし,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/29_29_akita.html,農林水産省「うちの郷土料理」,2026-09-07
nishin-zushi,にしんすし,Nishin-zushi,herring and daikon sushi that followed the Kitamae trade ships to Fukui,福井県,坂井市,36.2167,136.15,,dish,大根と身欠きニシンを米麹で漬け込む福井の発酵ずし。北前船が運んだ昆布とニシンが日本海の港町に根づいたことを物語る、石川の大根ずしと系譜を同じくする一皿として伝わる。,"A fermented Fukui sushi layering daikon radish with dried herring in rice koji — a dish telling the story of kelp and herring the Kitamae ships carried down the Sea of Japan coast, sharing its lineage with Ishikawa's daikonzushi.",にしんすし,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/nishin_sushi_fukui.html,農林水産省「うちの郷土料理」,2026-09-07
sakezushi,酒ずし,Sakezushi,sushi fermented overnight in Kagoshima's ash-cleared sake,鹿児島県,鹿児島市,31.5966,130.5571,,dish,灰持酒と呼ばれる地酒を振った酢飯に、鯛やエビなど約十種の具を重ねて半日発酵させる鹿児島の押し寿司。花見の宴の残り物から生まれたという言い伝えを持つ、酒の香り立つ一皿。,"A Kagoshima pressed sushi built on rice splashed with a local ash-cleared sake, layered with about ten toppings like sea bream and shrimp and left to ferment half a day. Local telling traces it to leftovers from a flower-viewing feast.",酒ずし,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/sakezushi_kagoshima.html,農林水産省「うちの郷土料理」,2026-09-07
suko-zushi,須古ずし,Suko-zushi,pressed sushi from a reclaimed-land rice that earned its own reputation,佐賀県,白石町,33.1667,130.2333,,dish,うるち米ともち米を合わせて炊き、ムツゴロウの蒲焼きなど有明海と里山の幸を重ねる佐賀県白石町の押し寿司。木箱「もろぶた」で四角く押し固め、来客をもてなす一皿として伝わる。,"Non-glutinous and glutinous rice cooked together and topped with Ariake Sea and hill-country ingredients like grilled mudskipper, pressed square in a wooden box called a morobuta — a hospitality dish from Shiroishi, Saga.",須古ずし,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/45_6_saga.html,農林水産省「うちの郷土料理」,2026-09-07
omura-zushi,大村寿司,Omura-zushi,pressed sushi shaped for troops with too few plates to go around,長崎県,大村市,32.9167,129.95,,dish,白身魚のそぼろやかんぴょう、錦糸卵を重ね、木枠で押し固める長崎県大村市の押し寿司。城を奪還した兵に振る舞われたという言い伝えを持ち、酢飯には控えめな甘みが効いている。,"White fish crumble, dried gourd shavings, and shredded egg layered and pressed in a wooden frame — a sushi from Omura, Nagasaki, said to trace to troops fed after retaking their castle. Its rice carries a gentle sweetness.",大村寿司,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/46_5_nagasaki.html,農林水産省「うちの郷土料理」,2026-09-07
boze-zushi,ボウゼの姿寿司,Boze no Sugata-zushi,whole butterfish sushi shaped for Tokushima's autumn festival,徳島県,徳島市,34.0658,134.5593,,dish,イボダイの地方名ボウゼを一尾丸ごと開いて酢飯を包み、姿のまま仕立てる徳島の秋祭りずし。新鮮なボウゼほど身が締まって姿寿司に向くとされ、皿の上でも魚の形がそのまま残る。,"A whole butterfish, locally called boze, butterflied and wrapped around vinegared rice to keep its shape intact — an autumn festival sushi from Tokushima, best made with the freshest, firmest fish.",ボウゼの姿寿司,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/44_2_tokushima.html,農林水産省「うちの郷土料理」,2026-09-07
inaka-zushi,田舎ずし,Inaka-zushi,mountain-vegetable sushi from a coast that seafood didn't easily reach,高知県,吾川郡いの町,33.5667,133.4667,,dish,みょうがやりゅうきゅう、こんにゃくなど山の幸だけを酢飯にのせる高知県の郷土ずし。海産物が手に入りにくかった山間部で工夫された、魚を使わない珍しいちらしずしとされる。,"A Kochi sushi topped only with mountain ingredients — myoga ginger, taro-stem ryukyu, konjac — devised, it's said, in inland areas where seafood was hard to come by. No fish appears anywhere in it.",田舎ずし,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/inakazushi_kochi.html,農林水産省「うちの郷土料理」,2026-09-07
matsuyama-zushi,松山鮓,Matsuyama-zushi,a lavish scattered sushi built for Setouchi guests,愛媛県,松山市,33.8392,132.7657,,dish,エソのすり身を混ぜた合わせ酢で仕立てた酢飯に、アナゴやしめサバ、エビなど瀬戸内の幸を混ぜ込む松山の祝いずし。来客をもてなす際に振る舞われてきた、具だくさんのちらしずし。,"Vinegared rice dressed with a mix that includes lizardfish paste, folded together with conger eel, cured mackerel, and shrimp from the Seto Inland Sea — a lavish scattered sushi from Matsuyama, served to guests as hospitality.",松山鮓,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/matsu_yama_zushi_ehime.html,農林水産省「うちの郷土料理」,2026-09-07
nigiri-zushi,握り寿司,Nigiri-zushi,"hand-pressed sushi, the form that came to mean 'sushi' itself",,,,,,dish,すし飯に魚介などのネタをのせ、軽く握って形を整える寿司の型。今日「寿司」といえばこれを指すほど代表的な存在で、江戸時代後期に屋台料理として広まったとされている。,"Vinegared rice topped with a slice of fish or other seafood and lightly pressed into shape. So central to sushi today that the word 'sushi' often means this alone, it's said to have spread as late-Edo street food.",握りずし,https://kotobank.jp/word/%E6%8F%A1%E3%82%8A%E3%81%9A%E3%81%97-3162192,コトバンク,2026-09-07
maki-zushi,巻き寿司,Maki-zushi,rice and toppings rolled tight inside a sheet of nori,,,,,,dish,酢飯と具材を海苔で巻き、包丁で切り分ける寿司の型。太く巻く太巻きと細く巻く細巻きなど、巻き方や太さによっていくつもの型に分かれる、握りずしと並ぶ代表的な形式とされる。,"Vinegared rice and fillings rolled inside a sheet of nori, then sliced with a knife. Thick futomaki and thin hosomaki are among its many variations — a form as central to sushi as nigiri.",巻きずし,https://kotobank.jp/word/%E5%B7%BB%E3%81%8D%E3%81%9A%E3%81%97-1418724,コトバンク,2026-09-07
temaki-zushi,手巻き寿司,Temaki-zushi,"a cone of nori you roll and eat yourself, at the table",,,,,,dish,海苔に酢飯と具材をのせ、その場で手で巻いて円錐状に仕立てる寿司の型。巻きずしと違って刃物を使わず、各自が好みの具で巻いて食べる、卓上で完結する食卓の形式とされる。,"Rice and fillings piled onto nori and hand-rolled into a cone on the spot, no knife involved — each diner rolls their own, choosing their own fillings, at the table.",Temaki,https://en.wikipedia.org/wiki/Temaki,Wikipedia,2026-09-07
inari-zushi,いなり寿司,Inari-zushi,vinegared rice tucked into a pouch of sweet-simmered fried tofu,,,,,,dish,甘辛く煮た油揚げの中に酢飯を詰める寿司の型。天保年間に名古屋で考案され江戸へ伝わったとされ、稲荷神の使いとされるキツネが名の由来という言い伝えを持つ、握らずに仕立てるすし。,"Vinegared rice packed into a pouch of fried tofu simmered sweet and savory. Said to have been devised in Nagoya in the 1830s-40s and carried to Edo, its name traces to foxes, messengers of the god Inari.",いなりずし,https://kotobank.jp/word/%E3%81%84%E3%81%AA%E3%82%8A%E3%81%9A%E3%81%97-897531,コトバンク,2026-09-07
chirashi-zushi,ちらし寿司,Chirashi-zushi,sushi rice scattered or topped with a spread of ingredients,,,,,,dish,酢飯の上に具材を飾る、または具材を酢飯に混ぜ込む寿司の型。刺身を飾る関東風と、具を混ぜ込んで錦糸卵などを飾る関西風とで、仕立て方も見た目も大きく異なるとされる。,"Sushi rice with ingredients either scattered on top or mixed straight through. Kanto style arranges raw fish over the rice; Kansai style mixes diced ingredients in, then finishes with shredded egg and other garnish.",ちらしずし,https://kotobank.jp/word/%E3%81%A1%E3%82%89%E3%81%97%E3%81%9A%E3%81%97-1368843,コトバンク,2026-09-07
oshi-zushi,押し寿司,Oshi-zushi,sushi shaped by pressing rice and topping together in a mold,,,,,,dish,木型に酢飯と具材を詰め、重石や押し蓋で押し固めて切り分ける寿司の型。握りずしより古い系譜とされ、大阪の箱寿司をはじめ各地に地域ごとの型が今も数多く伝わっている。,"Sushi shaped by packing vinegared rice and toppings into a wooden mold and pressing under weight before slicing. Said to predate nigiri, it survives regionally in forms like Osaka's hako-zushi.",押しずし,https://kotobank.jp/word/%E6%8A%BC%E3%81%97%E3%81%9A%E3%81%97-1283005,コトバンク,2026-09-07
narezushi,なれずし,Narezushi,"fish and rice fermented together, the oldest form sushi took",,,,,,dish,魚を塩漬けにし、飯とともに長く漬け込んで乳酸発酵させる、すしの最も古い形式とされる型。飯は食べずに魚だけを取り出す場合もあり、強い酸味と発酵香が特徴になっている。,"Fish salted and packed with rice for a long lactic fermentation — thought to be the oldest form sushi took. Some eat the rice too, others discard it and eat only the fish, sharply sour and pungent either way.",なれずし,https://kotobank.jp/word/%E3%81%AA%E3%82%8C%E3%81%9A%E3%81%97-894119,コトバンク,2026-09-07
bo-zushi,棒寿司,Bo-zushi,fish and rice rolled bar-shaped with a bamboo mat,,,,,,dish,酢締めにした魚を酢飯にのせ、巻きすで棒状に締めて切り分ける寿司の型。押しずしの一種とされ、京都の鯖寿司をはじめ、サンマやサバを使う地域の型が各地に伝わっている。,Vinegar-cured fish laid over rice and rolled bar-shaped with a bamboo mat before slicing — a form of pressed sushi seen in Kyoto's saba-zushi and regional saury and mackerel versions elsewhere.,棒ずし,https://kotobank.jp/word/%E6%A3%92%E3%81%9A%E3%81%97-1414316,コトバンク,2026-09-07
gunkan-maki,軍艦巻き,Gunkan-maki,a nori hull built to hold toppings too soft for nigiri,東京都,中央区,35.6717,139.765,,dish,握った酢飯の側面を海苔で囲み、崩れやすいネタを盛る寿司の型。昭和15年、銀座のすし店が考案したとされ、その姿が軍艦の形に似ることからその名がついたと今に伝わっている。,"Nigiri rice ringed on its sides by a band of nori, forming a wall to hold toppings too loose to sit on rice alone. Said to have been devised at a Ginza sushi shop in 1940, named for its resemblance to a warship's hull.",沿革,https://www.kyubey.jp/history/,銀座 久兵衛,2026-09-07
salmon-nigiri,サーモン握り,Salmon Nigiri,"raw salmon nigiri, made possible by farmed fish and a decade of marketing",,,,,,dish,生のサケを握りずしのネタにする、比較的新しい型。天然のサケは寄生虫の懸念から生食を避けられてきたが、寄生虫のいない養殖サケの輸入によって握りのネタとして定着したとされる。,"Raw salmon laid over pressed rice — a relatively recent addition to nigiri. Wild salmon was long avoided raw over parasite risk; imported farmed salmon, raised parasite-free, is what made this topping possible.",サーモン寿司、誕生40周年,https://www.seafoodfromnorway.jp/stories-from-norway/you-get-the-best-possible-seafood/the-origin-of-salmon-sushi/,ノルウェー水産物審議会,2026-09-07
aburi-zushi,炙り寿司,Aburi-zushi,"nigiri with its surface flash-seared, not cured for keeping",,,,,,dish,ネタの表面だけをバーナーや焼きごてで炙る握りずしの型。江戸前の「仕事」のような保存のための下ごしらえではなく、香りと脂の変化を楽しむための炙りとされる、比較的新しい食べ方。,"Nigiri with just its surface flash-seared by torch or hot iron. Unlike Edomae's shigoto curing for keeping, the searing here is done purely for the change in aroma and fat it brings — a relatively recent way of eating sushi.",回転寿司,https://kotobank.jp/word/%E5%9B%9E%E8%BB%A2%E5%AF%BF%E5%8F%B8-458090,コトバンク,2026-09-07
ebiten-nigiri,えび天握り,Ebiten Nigiri,"tempura shrimp laid over rice, a conveyor-belt-era nigiri",,,,,,dish,天ぷらにしたエビを酢飯にのせる握りずしの型。生ものではなく揚げ物をネタにする点で江戸前の握りとは一線を画し、回転寿司の定番メニューとして今も広く親しまれている。,"Tempura shrimp laid over pressed rice — a nigiri built from fried, not raw, seafood, setting it apart from Edomae tradition. It's become a kaiten-zushi menu staple.",回転寿司,https://kotobank.jp/word/%E5%9B%9E%E8%BB%A2%E5%AF%BF%E5%8F%B8-458090,コトバンク,2026-09-07
