slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
katsuo,カツオ,Katsuo,bonito — the fast-swimming icon of early-summer Japan,,,,,,ingredient,黒潮に乗って北上する回遊魚で、初夏の初鰹はあっさりと脂が少なく、秋に南下する戻り鰹は脂がのって濃厚になる。藁の香ばしさをまとわせた「たたき」や刺身で食べられ、黒潮に近い港ほど鮮度と旨みが際立つとされる。,"A migratory fish riding the Kuroshio current north each spring, lean in early summer and richer once it turns south in autumn. Seared with straw as tataki or served raw, with flavor prized most near the ports the current runs closest to.",カツオ,https://ja.wikipedia.org/wiki/カツオ,Wikipedia,2026-09-06
sake-salmon,サケ,Sake,chum salmon — the fish that returns to its home river,,,,,,ingredient,生まれた川に戻る性質を持つ回遊魚。北の海で育つほど脂がのり、塩鮭・新巻鮭・いくらと身も卵も余さず使われる。産卵前の遡上時期に川筋の港で揚がるものほど、脂と身の締まりの両方が評価される。,"A migratory fish that returns to spawn in its home river, fattening the longer it feeds in northern seas. Salted, dried as aramaki, or taken for ikura roe — river-mouth ports landing it just before the spawning run prize both its fat and firm flesh.",サケ,https://ja.wikipedia.org/wiki/サケ,Wikipedia,2026-09-06
saba,サバ,Saba,mackerel — an everyday fish prized when the fat runs high,,,,,,ingredient,秋から冬にかけて脂がのる青魚で、塩焼き・味噌煮・しめさばと調理法が幅広い。速い潮に揉まれて回遊せず居着いた個体は身が締まり脂も強く、そうした産地ではブランド名を掲げて一本釣りで水揚げされる。,"A blue-backed fish fattest from autumn into winter, grilled with salt, simmered in miso, or vinegar-cured. Fish held still by fast currents rather than migrating firm up and fatten further, giving rise to named, pole-and-line branded catches.",サバ,https://ja.wikipedia.org/wiki/サバ,Wikipedia,2026-09-06
aji,アジ,Aji,horse mackerel — the fish behind Japan's everyday fry and sashimi,,,,,,ingredient,一年中出回る青魚で、刺身・たたき・フライと家庭料理の定番。回遊せず一つの海域に居着いた個体は速い潮流にもまれて身が締まり脂もよくのるため、そうした漁場では高級ブランドとして一本釣りされる。,"A blue-backed fish sold year-round, served raw, minced as tataki, or fried. Fish that settle in one fast-flowing strait rather than migrate firm up and fatten, and are pole-and-line caught there under premium regional brand names.",アジ,https://ja.wikipedia.org/wiki/マアジ,Wikipedia,2026-09-06
iwashi,イワシ,Iwashi,"sardine — a small, oil-rich fish central to everyday cooking and dashi",,,,,,ingredient,群れで回遊する小型の青魚で、刺身・梅煮・つみれと安価に食べられる。脂の質は漁場の潮境に左右され、寒流と暖流がぶつかる海域に面した港ほど水揚げ量が多く、乾燥させれば出汁の要となる煮干しになる。,"A small, schooling blue-backed fish eaten raw, simmered with plum, or as tsumire dumplings. Its fat quality tracks the tidal boundary it feeds along, and ports facing where cold and warm currents meet land the most — dried, it becomes niboshi dashi stock.",マイワシ,https://ja.wikipedia.org/wiki/マイワシ,Wikipedia,2026-09-06
sanma,サンマ,Sanma,Pacific saury — the fish that announces autumn with smoke and salt,,,,,,ingredient,秋に旬を迎える細長い回遊魚で、内臓ごと丸ごと塩焼きにするのが定番。群れが接岸する海域に面した港ほど水揚げが多く、脂の乗りと苦みのある内臓の風味が、その年その港の漁模様を映すとされる。,"A slender migratory fish at its peak in autumn, traditionally grilled whole with salt, innards included. Ports facing waters where the shoals come close to shore land the most, and the fat and bitter innards are said to reflect that year's catch.",サンマ,https://ja.wikipedia.org/wiki/サンマ,Wikipedia,2026-09-06
buri,ブリ,Buri,yellowtail — a winter fish whose name changes as it grows,,,,,,ingredient,成長に伴い呼び名が変わる出世魚で、冬に脂がのった「寒ブリ」は刺身・照り焼き・ぶり大根で好まれる。越冬前に湾内で脂を蓄えてから定置網で揚がる産地ほど、脂の質と歩留まりの高さが評価される。,"A 'shusseuo' whose name changes with size. Winter's fat-laden 'kanburi' is prized raw, teriyaki-glazed, or simmered with daikon — bays where it fattens before wintering, then is taken in set nets, are valued for both fat quality and yield.",ブリ,https://ja.wikipedia.org/wiki/ブリ,Wikipedia,2026-09-06
kanpachi,カンパチ,Kanpachi,"greater amberjack — a firmer, leaner relative of yellowtail",,,,,,ingredient,ブリに似るが身が締まり脂は控えめな高級魚で、夏が旬とされる。天然物は黒潮に近い海域で獲れ、養殖物は穏やかな湾内で育てられるため、産地によって身の締まりと脂のりの傾向が異なるとされる。,"Related to yellowtail but firmer and leaner, at its best in summer. Wild fish come from Kuroshio-adjacent waters while farmed ones grow in calm bays, so firmness and fat content vary noticeably by where the fish was raised.",カンパチ,https://ja.wikipedia.org/wiki/カンパチ,Wikipedia,2026-09-06
hiramasa,ヒラマサ,Hiramasa,yellowtail amberjack — a summer fish valued above buri by many chefs,,,,,,ingredient,ブリに似た姿だが体高があり平たく、夏が旬の高級魚。回遊性が強く黒潮沿いの島嶼部で漁獲されることが多く、寿司職人の間ではその身質からブリより上とされることもある。,"Similar in shape to yellowtail but taller-bodied and flatter, at its best in summer. Strongly migratory, it is mostly taken around Kuroshio-adjacent islands, and some sushi chefs rank its texture above buri.",ヒラマサ,https://ja.wikipedia.org/wiki/ヒラマサ,Wikipedia,2026-09-06
tai-madai,マダイ,Madai,red seabream — the celebratory fish of Japan,,,,,,ingredient,祝いの席に欠かせない紅い魚で、淡白な白身は刺身・鯛めし・塩焼きと幅広く使われる。速い潮流にもまれて身が締まる天然物と、穏やかな湾で育てる養殖物とで、産地ごとに食感の評価が分かれる。,"The red fish central to Japanese celebrations. Its mild white flesh appears raw, in taimeshi rice, or salt-grilled — wild fish firmed by fast currents and farmed fish raised in calm bays earn distinct reputations by region.",マダイ,https://ja.wikipedia.org/wiki/マダイ,Wikipedia,2026-09-06
hirame,ヒラメ,Hirame,"olive flounder — a lean, prized winter flatfish",,,,,,ingredient,「左ヒラメに右カレイ」で見分ける平たい魚で、冬に脂がのる。荒波にもまれて育つ天然物はコリコリとした食感が強く、刺身では薄造りにして昆布締めにすると旨みが増すとされる高級魚。,"The flatfish distinguished from karei by 'eyes on the left', at its best in winter. Wild fish raised in rough surf develop a notably firm, chewy bite, and thin-sliced sashimi is often kombu-cured to deepen its flavor.",ヒラメ,https://ja.wikipedia.org/wiki/ヒラメ,Wikipedia,2026-09-06
karei,カレイ,Karei,flounder — a broad family of flatfish eaten simmered or fried,,,,,,ingredient,「左ヒラメに右カレイ」で見分ける平たい魚の総称で、煮付けや唐揚げで親しまれる。冷たい海域で育つ種類ほど脂がのりやすく、種類ごとに旬も産地も異なるため、選び方一つで食味が変わるとされる。,"A broad family of flatfish, distinguished from hirame by 'eyes on the right'. Enjoyed simmered or deep-fried — colder-water species tend to run fattier, and both season and source vary widely across the many types sold under this name.",カレイ,https://ja.wikipedia.org/wiki/カレイ,Wikipedia,2026-09-06
tara-madara,タラ,Madara,Pacific cod — a winter fish whose name means 'plenty',,,,,,ingredient,「たらふく食べる」の語源とされる冬の魚で、鍋の具、白子、たらこの親としても親しまれる。冷たい海峡に面した港では昆布〆にする文化が根付き、身の淡白さを引き立てる保存の知恵が伝わる。,"A winter fish said to give Japanese the phrase 'eat one's fill'. Its mild flesh goes into hot pots, and it yields both shirako milt and the roe for tarako — cold-strait ports developed kombu-curing to draw out flavor from its plain flesh.",マダラ,https://ja.wikipedia.org/wiki/マダラ,Wikipedia,2026-09-06
hokke,ホッケ,Hokke,Okhotsk atka mackerel — the grilled fish of Hokkaido izakaya,,,,,,ingredient,北海道の居酒屋で開きの塩焼きとして親しまれる魚で、冷たい親潮の海域で育つほど脂がのりやすい。鮮魚での流通が難しいため一夜干しの開き干しにする加工文化が発達し、旨みが凝縮されるとされる。,"The fish behind Hokkaido izakaya's split, salt-grilled classic. It fattens more in the cold Oyashio current, and because it travels poorly fresh, an overnight-dried himono tradition developed that is said to concentrate its flavor.",ホッケ,https://ja.wikipedia.org/wiki/ホッケ,Wikipedia,2026-09-06
nishin,ニシン,Nishin,herring — the fish that built Hokkaido's coastal fortunes,,,,,,ingredient,明治から昭和初期に大漁が続き、北海道沿岸に「鰊御殿」を建てた魚で、数の子はその卵にあたる。群れの産卵で海が白く染まるほどの豊漁だった歴史が、身欠きニシンなど保存加工の文化を今に残す。,"The fish behind Hokkaido's 'herring mansions', built on booming catches from the Meiji era into early Showa. Its roe is kazunoko, and a history of shoals so dense spawning turned the sea white lives on in dried mikaki-nishin preservation.",ニシン,https://ja.wikipedia.org/wiki/ニシン,Wikipedia,2026-09-06
shishamo,シシャモ,Shishamo,Japanese shishamo — a small autumn fish caught only off Hokkaido's Pacific coast,,,,,,ingredient,北海道太平洋沿岸のみに生息する小魚で、子持ちししゃもとして丸ごと焼いて食べる秋の味覚。生息域が限られるため漁期は河口への遡上時のみに限られ、本物は流通量が少なく別種の輸入品と区別される。,"A small fish found only off Hokkaido's Pacific coast. Grilled whole, roe and all, as an autumn specialty — its limited habitat confines the season to the river-mouth run, so the genuine article is scarce and distinct from imported look-alikes.",シシャモ,https://ja.wikipedia.org/wiki/シシャモ,Wikipedia,2026-09-06
unagi,ウナギ,Unagi,freshwater eel — grilled and glazed for a summer stamina meal,,,,,,ingredient,蒲焼として夏の土用の丑の日に食べられる魚で、関東は背開きで蒸してから焼き、関西は腹開きで直焼きにする。シラスウナギが豊富に獲れた汽水湖のほとりでは、養鰻業が発達し名物として定着した。,"Grilled and glazed as kabayaki, traditionally eaten on the midsummer Day of the Ox for stamina. Eastern Japan steams before grilling while the west grills straight through — towns by brackish lakes rich in glass eels built eel-farming into local fame.",ウナギ,https://ja.wikipedia.org/wiki/ウナギ,Wikipedia,2026-09-06
ayu,アユ,Ayu,sweetfish — a river fish with the scent of watermelon,,,,,,ingredient,清流の石についた苔を食む川魚で、西瓜に似た独特の香りを持つ。塩焼きや友釣りの対象として夏を代表し、水の透明度が高い川ほど香りが際立つとされ、清流の名を冠したブランド鮎も多い。,"A river fish that grazes algae off clean streambed stones, giving it a distinct watermelon-like scent. Salt-grilled and famously caught by tomo-zuri decoy fishing — the clearer the river, the more that scent is said to stand out.",アユ,https://ja.wikipedia.org/wiki/アユ,Wikipedia,2026-09-06
iwana,イワナ,Iwana,char — the trout of Japan's remotest mountain streams,,,,,,ingredient,渓流の最上流部に棲む川魚で、警戒心が強く岩陰に隠れることが名の由来ともされる。人里から離れた冷たい源流部ほど生息し、塩焼きにすると淡白な身に上品な脂がにじむ渓流釣りの人気魚。,"A river char living in the uppermost reaches of mountain streams, said to take its name from hiding wary among rocks. Found in the coldest, most remote headwaters, and salt-grilled to bring out a delicate fat within its mild flesh.",イワナ,https://ja.wikipedia.org/wiki/イワナ,Wikipedia,2026-09-06
yamame,ヤマメ,Yamame,red-spotted masu trout — the landlocked form of cherry salmon,,,,,,ingredient,サクラマスが川に残留した陸封型で、渓流釣りの人気対象。塩焼きにすると身の締まりと上品な脂が楽しめ、冷たく澄んだ源流に生息するほど体側の朱点が鮮やかになるとされる美しい川魚。,"The landlocked form of cherry salmon, a favorite of stream anglers. Salt-grilled, it offers firm flesh and delicate fat, and its trademark red spots are said to grow more vivid the colder and clearer the headwater stream.",ヤマメ,https://ja.wikipedia.org/wiki/ヤマメ,Wikipedia,2026-09-06
nijimasu,ニジマス,Nijimasu,rainbow trout — an introduced trout now farmed across Japan,,,,,,ingredient,北米原産で明治期に移入された川魚で、養殖が全国に広がった。湧水を使う養殖場では水温が安定するため一年を通して身が締まりやすく、塩焼きやフライのほか刺身でも食べられる。,"A trout native to North America, introduced to Japan in the Meiji era and now farmed nationwide. Spring-fed farms hold a steady temperature that keeps flesh firm year-round, and it is served salt-grilled, fried, or even raw.",ニジマス,https://ja.wikipedia.org/wiki/ニジマス,Wikipedia,2026-09-06
fugu-torafugu,トラフグ,Torafugu,"tiger pufferfish — the prized, licensed fish of winter",,,,,,ingredient,毒を持つため調理には専門免許が必要な高級魚で、薄造りの刺身「てっさ」や鍋で食べられる。速い海峡の潮流にもまれる海域で育つ個体は身の締まりが強く、市場が集まる港ほど処理の技術が磨かれてきた。,"A premium fish whose toxin requires a licensed chef to prepare. Sliced paper-thin as tessa sashimi or simmered in hot pot — fish raised in fast strait currents firm up notably, and ports with large markets refined the knife skill needed to serve it safely.",トラフグ,https://ja.wikipedia.org/wiki/トラフグ,Wikipedia,2026-09-06
hamo,ハモ,Hamo,pike conger — the summer fish of Kyoto's Gion Festival,,,,,,ingredient,小骨が多く骨切りの技術を要する魚で、梅雨の水を飲んで美味くなるとされる。京都の祇園祭に欠かせない夏の味とされ、京へ運びやすい近海の産地ほど需要が集まり、骨切りの技が磨かれてきた。,"A fish so fine-boned it demands the knife skill of hone-kiri, said to fatten on the rains of early summer. Essential to Kyoto's Gion Festival, nearby coastal grounds able to supply the city quickly saw demand concentrate and the craft sharpen.",ハモ,https://ja.wikipedia.org/wiki/ハモ,Wikipedia,2026-09-06
