slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
taishu-soba,対州そば,Taishu Soba,Taishu Soba — small-grained buckwheat from an isolated island,長崎県,対馬市,34.2036,129.2911,,dish,長崎県対馬に伝わる、小粒な在来種のそばという。離島ゆえに他品種との交雑が少なく原種の性質を保ち、打つと強いコシとほのかな苦みが出るとされる。2018年にはそばで日本初のGI登録を受けた。,"A small-grained heirloom buckwheat from Tsushima, Nagasaki. Isolation on the island is said to have kept crossbreeding low and preserved traits close to the wild ancestor, giving the noodle a firm bite and a faint bitterness. In 2018 it became the first soba registered under Japan's GI system.",対州そば,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/46_26_nagasaki.html,農林水産省,2026-09-07
niimi-kenchin-soba,けんちんそば,Niimi Kenchin Soba,Niimi Kenchin Soba — hot soba under a vegetable-and-tofu broth,岡山県,新見市,34.9833,133.4667,,dish,岡山県新見市に伝わる、鶏肉・豆腐・野菜を炒めて煮込んだけんちん汁を、茹でたそばにかける料理という。稲作に不向きな土地でそば栽培が盛んだった歴史を背景に持つとされる。,"From Niimi, Okayama: hot kenchin broth — chicken, tofu, and vegetables stir-fried then simmered — ladled over boiled soba. It's said to carry the history of soil unsuited to rice, where buckwheat was grown widely instead.",けんちんそば,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/41_15_okayama.html,農林水産省,2026-09-07
nishin-soba,ニシン蕎麦,Nishin Soba,"Nishin Soba — herring simmered sweet, laid over soba",北海道,江差町,41.8686,140.1283,,dish,身欠きニシンを甘露煮にしてそばにのせる料理で、京都発祥説もあるが、北海道ではニシン漁で栄えた江差町の網元家に伝わるレシピがルーツとされる。北海道版は濃口で汁がほのかに甘いという。,"Dried herring simmered sweet and laid over soba. A Kyoto origin is also claimed, but Hokkaido's version is said to trace to a recipe kept by a herring-fishing family in Esashi. The Hokkaido broth runs darker and faintly sweeter.",ニシン蕎麦,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/nishinsoba_hokkaido.html,農林水産省,2026-09-07
baniku-soba,馬肉蕎麦,Baniku Soba,Baniku Soba — soba topped with sweet-simmered horse meat,熊本県,阿蘇市,32.9564,131.0044,,dish,熊本県阿蘇地域に伝わる、馬肉の甘辛いしぐれ煮を温かいそばにのせる料理という。馬肉文化が根づいた土地で、けが人や病人への薬膳料理として食べられてきた歴史を持つとされる。,From the Aso area of Kumamoto: hot soba topped with horse meat simmered sweet and salty. It's said to carry the history of a region where horse meat took root as a restorative food for the injured and ill.,馬肉蕎麦,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/baniku_soba_kumamoto.html,農林水産省,2026-09-07
mikuriya-soba,御厨そば,Mikuriya Soba,"Mikuriya Soba — soba in a chicken broth, bound with wild yam",静岡県,御殿場市,35.3061,138.9347,,dish,静岡県御殿場市の御厨地域に伝わる、鶏がらだしのつゆに手打ちそばを入れる料理という。水を使わず山芋でそばをつないだことが起源とされ、喉ごしのよさが持ち味とされる。,"From the Mikuriya area of Gotemba, Shizuoka: hand-cut soba in a chicken-bone broth. It's said to have begun with binding the dough using wild yam instead of water, giving the noodle its easy, smooth swallow.",御厨そば,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/36_9_shizuoka.html,農林水産省,2026-09-07
kanuma-zairai-soba,鹿沼在来そば,Kanuma Zairai Soba,Kanuma Zairai Soba — a small-grained heirloom buckwheat from valleys south of Nikko,栃木県,鹿沼市,36.5606,139.7433,,dish,栃木県鹿沼市に伝わる在来種のそばという。一般的なそば実より小粒で殻が薄く、甘皮の割合が高いため香りが豊かで、麺にすると雑味のない甘さと良好な歯切れが出るとされる。地理的表示にも登録されている。,"An heirloom buckwheat from Kanuma, Tochigi. Smaller-grained and thinner-hulled than ordinary buckwheat, with a higher share of aromatic inner skin, it's said to mill into a noodle with a clean sweetness and a good bite.",第136号：鹿沼在来そば,https://www.maff.go.jp/j/shokusan/gi_act/register/0136/index.html,農林水産省,2026-09-07
ibuki-soba,伊吹そば,Ibuki Soba,Ibuki Soba — small-grained buckwheat from the slopes of Mount Ibuki,滋賀県,米原市,35.4181,136.4014,,dish,滋賀県米原市の伊吹山中腹で栽培されてきた在来種のそばという。直径4.5mm以下の小粒で、甘皮由来の緑の色調と強い香りを持ち、うま味と甘みが評価されているとされる。,"An heirloom buckwheat grown on the slopes of Mount Ibuki in Maibara, Shiga. Small-grained at 4.5 millimeters or under, its thick inner skin gives it a green tint and a strong aroma, and it's said to be prized for its umami and sweetness.",第85号：伊吹そば,https://www.maff.go.jp/j/shokusan/gi_act/register/0085/index.html,農林水産省,2026-09-07
sanbe-soba,三瓶そば,Sanbe Soba,Sanbe Soba — buckwheat from volcanic soil at the foot of Mount Sanbe,島根県,大田市,35.1372,132.6155,,dish,島根県大田市三瓶町・山口町で栽培されてきた在来種のそばという。小粒で引き締まり、苦味の強さに由来する深い味わいが特徴とされ、全国の製粉会社やそば屋から評価されている。,"An heirloom buckwheat grown in Sanbe-cho and Yamaguchi-cho, Oda, Shimane. Small-grained and tightly formed, it's known for a deep flavor rooted in pronounced bitterness, said to be prized by millers and soba shops nationwide.",第91号：三瓶そば,https://www.maff.go.jp/j/shokusan/gi_act/register/0091/index.html,農林水産省,2026-09-07
kate-soba,かてそば,Kate Soba,Kate Soba — soba stretched with daikon or garlic chives,栃木県,,36.5606,139.7433,,dish,栃木県鹿沼市周辺に伝わる、そばに大根やにらを加えてゆでる料理という。「かて」は増量材の意味で、食糧難の時代にそばのかさを増す工夫として広まったとされる。今も鹿沼と佐野で違う具に定着している。,"From around Kanuma, Tochigi: soba boiled together with daikon or garlic chives. Kate means a bulking agent, and the dish is said to have spread as a way to stretch soba further in leaner times.",かてそば,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/31_8_tochigi.html,農林水産省,2026-09-07
soba-dojo-nabe,そばどじょう鍋,Soba Dojo Nabe,Soba Dojo Nabe — buckwheat dough stretched loach-thin into a hotpot,岡山県,美作市,35.0333,134.2833,,dish,岡山県美作市・鏡野町に伝わる、そば粉をどじょうのような形に細長く延ばして鍋で煮る料理という。消化がよく体が温まるとされ、山間地の冬の食として親しまれてきたとされる。,"From Mimasaka and Kagamino, Okayama: buckwheat dough stretched loach-thin and simmered in a hotpot. Said to be easy on the stomach and warming, it's cherished as a winter dish in mountain country.",そばどじょう鍋,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/41_25_okayama.html,農林水産省,2026-09-07
