slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
tonkatsu,とんかつ,Tonkatsu,breaded deep-fried pork cutlet,東京都,中央区,35.6717,139.7622,,dish,豚肉に衣をつけて揚げ、キャベツを添えた一皿。明治期に銀座で開業した洋食店がカツレツを手がけ、キャベツの千切りを添えるなどの工夫を重ねたと伝わる、洋食由来の代表格。,"Breaded, deep-fried pork served with shredded cabbage. Said to trace to a Western-food restaurant that opened in Ginza in the Meiji era, which took up the cutlet and added touches like shredded cabbage on the side.",煉瓦亭｜GINZA OFFICIAL,https://www.ginza.jp/shop/894,銀座通連合会,2026-09-07
tempura,天ぷら,Tempura,battered and deep-fried seafood and vegetables,,,,,,dish,魚介や野菜に衣をつけて揚げた料理。16世紀にポルトガルから伝わった南蛮料理が原点とされ、江戸で発展した系統と長崎で根づいた系統とで、衣の作り方が大きく異なるとされる。,"Seafood and vegetables battered and deep-fried. Said to trace to a Portuguese-style fritter that arrived in the 16th century, with the style that developed in Edo and the one rooted in Nagasaki differing sharply in how the batter itself is made.",てんぷら 東京都｜うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/34_6_tokyo.html,農林水産省,2026-09-07
kushikatsu,串カツ,Kushikatsu,skewered and deep-fried cutlet,大阪府,大阪市,34.6524,135.5061,,dish,薄切り牛肉や野菜を串に刺し、衣をつけて揚げた大阪発祥の一品。新世界周辺で働く労働者の腹を手早く満たすため考案されたとされ、共有ソースの「二度づけ禁止」の作法でも知られる。,"Thin-sliced beef and vegetables skewered, breaded, and deep-fried, said to have originated in Osaka's Shinsekai district as a quick, filling meal for local laborers. Known for its shared-sauce 'no double-dipping' rule.",串カツ 大阪府｜うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/39_28_osaka.html,農林水産省,2026-09-07
korokke,コロッケ,Korokke,mashed potato and meat croquette,,,,,,dish,じゃがいもと挽き肉を混ぜて衣をつけて揚げた洋食。大正期、フランスのクロケットとイギリス由来のじゃがいも料理が合わさり、とんかつ・カレーライスと並んで家庭に定着した洋食の一つとされる。,"Mashed potato and ground meat, breaded and deep-fried. In the Taisho era, French croquette crossed with British potato cookery, and it was ranked with tonkatsu and curry rice among the 'three great yoshoku dishes.'",コロッケ 東京都｜うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/34_10_tokyo.html,農林水産省,2026-09-07
chikin-nanban,チキン南蛮,Chikin Nanban,fried chicken with sweet vinegar and tartar sauce,宮崎県,延岡市,32.5773,131.66,,dish,揚げた鶏肉を南蛮酢にくぐらせ、タルタルソースをかけた延岡発祥の一品。昭和30年代、洋食店のまかない料理として作られた甘酢漬けの唐揚げが元になったとされ、今や宮崎を代表する味として広く知られる。,"Fried chicken dipped in sweet vinegar and topped with tartar sauce, said to have originated in Nobeoka, Miyazaki. It's said to trace to a sweet-vinegar fried chicken devised as staff food at a Western-food restaurant in the 1950s.",チキン南蛮 宮崎県｜うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/chikin_nanban_miyazaki.html,農林水産省,2026-09-07
tori-ten,とり天,Tori-ten,tempura-style fried chicken,大分県,別府市,33.2846,131.4913,,dish,骨を外した鶏肉に天ぷら風の軽い衣をつけて揚げた別府発祥の一品。骨付きの唐揚げを女性でも食べやすいようアレンジしたのが始まりとされ、酢橘や辛子酢醤油を添えて食べる軽やかな一皿である。,"Boneless chicken in a light, tempura-style batter, fried, said to have originated in Beppu, Oita. It's said to have begun as an adaptation of bone-in karaage made easier for women to eat, served with sudachi citrus or a mustard-vinegar-soy sauce.",とり天 大分県｜うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/toriten_oita.html,農林水産省,2026-09-07
zangi,ザンギ,Zangi,Hokkaido-style marinated fried chicken,北海道,釧路市,42.9849,144.382,,dish,醤油ベースのタレに漬け込んだ鶏肉を揚げた釧路発祥の一品。昭和30年頃、末広の鶏料理店が考案したとされ、下味をしっかりつける点がから揚げとの違いとして知られる、味の濃い揚げ物である。,"Chicken marinated in a soy-based sauce and deep-fried, said to have originated in Kushiro, Hokkaido, around 1955 at a chicken restaurant in the Suehiro district. Marinating well before frying is cited as its key difference from plain karaage.",ザンギ 北海道｜うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/zangi_hokkaido.html,農林水産省,2026-09-07
tatsuta-age,竜田揚げ,Tatsuta-age,soy-marinated starch-fried chicken,奈良県,生駒郡三郷町,34.6072,135.6917,,dish,醤油で下味をつけた鶏肉に片栗粉をまとわせて揚げた一品。揚げ色と片栗粉の白いむらが、紅葉の名所として知られる奈良の竜田川に見立てられて名づけられたとされる、から揚げとは違う軽い食感の揚げ物である。,"Chicken seasoned in soy sauce, dusted in potato starch, and fried. Named for the way its color and starch flecks are likened to Nara's Tatsuta River, famous for its autumn maples.",県立竜田公園,https://www.pref.nara.lg.jp/site/aruku/1445.html,奈良県,2026-09-07
kakiage,かき揚げ,Kakiage,mixed tempura fritter,,,,,,dish,小さな魚介や野菜を衣でまとめて揚げた天ぷらの一種。旬の小魚や細切り野菜を無駄なく使い切る工夫から生まれたとみられ、うどんや天丼の定番の種物として広く親しまれている。,"Small seafood or vegetables bound in batter and fried as one, a form of tempura. Thought to have grown from using up seasonal small fish or julienned vegetables without waste, now a standard topping for udon and tendon.",しらうおのかき揚げ 島根県｜うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/shirauonokakiage_shimane.html,農林水産省,2026-09-07
satsuma-age,さつま揚げ,Satsuma-age,sweet fried fish cake,,,,,,dish,魚のすり身に豆腐や砂糖を混ぜて揚げた鹿児島の練り物。地元では「つけあげ」と呼ばれ、島津斉彬が保存性を高めるため揚げ物にしたという説と、琉球料理由来という説が伝わる、甘口が特徴の一品である。,"Fish paste mixed with tofu and sugar and fried, a Kagoshima fish cake known locally as tsuke-age. One account credits lord Nariakira Shimazu with frying it for better keeping quality; another traces it to Ryukyuan cooking.",つけあげ 鹿児島県｜うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/tsukeage_kagoshima.html,農林水産省,2026-09-07
jako-ten,じゃこ天,Jako-ten,fried whole-fish paste cake,愛媛県,宇和島市,33.2236,132.56,,dish,小魚のすり身を骨ごと揚げた愛媛の練り物。宇和島藩初代藩主が仙台から蒲鉾職人を連れてきて作らせたのが始まりとされ、雑多な小魚を余さず使う発想から名がついたと伝わる、南予地方の郷土食である。,"Whole small-fish paste, bones included, fried into an oval cake, an Ehime specialty. Said to trace to Uwajima's first domain lord bringing a kamaboko craftsman from Sendai, its name reflecting a habit of using odd, mixed catch fish without waste.",じゃこ天 愛媛県｜うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/jakoten_ehime.html,農林水産省,2026-09-07
