slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
ogikubo,荻窪ラーメン,Ogikubo Ramen,Ogikubo Ramen — a clear soy sauce ramen from a Tokyo shop row,東京都,杉並区荻窪,35.7043,139.6199,醤油,dish,鰹節や煮干しの和風だしに濃口醤油だれを合わせた、澄んだ琥珀色のスープが特徴。そば屋からの転業組が多かったといい、和風だしの技術がそのままラーメンに持ち込まれたと伝わる。中細のまっすぐな麺が軽やかにスープを持ち上げる。,"A clear amber broth built on bonito and dried-sardine dashi with dark soy sauce tare, said to trace back to soba shops that switched trades and carried their stock-making straight into ramen, lifted by straight, medium-thin noodles.",杉並区のラーメン店紹介,https://www.suginamigaku.org/corner/gourmet/ramen/,すぎなみ学倶楽部（杉並区公式情報サイト）,2026-09-15
aburasoba,油そば,Abura Soba,"Abura Soba — noodles tossed in oil and soy sauce, no broth",東京都,武蔵野市,35.7043,139.5703,その他,dish,スープを張らず、丼の底にためた醤油だれとごま油を麺にからめて食べる。武蔵野地区の店が昭和30年代に売り出したのが始まりと伝わり、酢とラー油を足して味を変えながら食べ進める。,"No broth is poured at all — noodles are tossed in a soy-and-sesame-oil tare pooled at the bottom of the bowl, said to have started at shops in the Musashino area in the late 1950s, with vinegar and chili oil stirred in partway through.",油そば,https://ja.wikipedia.org/wiki/油そば,Wikipedia（最終手段。自治体・組合等の一次資料が確認できず）,2026-09-13
tsukemen,つけ麺,Tsukemen,Tsukemen — thick noodles dipped in a concentrated broth,東京都,中野区,35.7075,139.665,醤油,dish,太く弾力のある麺を、酸味と甘みをきかせた濃い醤油だれのつけ汁にくぐらせて食べる。中野の大勝軒で賄い料理として生まれ、麺を大盛りにして見栄えよく出したのが始まりと伝わる。,"Thick, springy noodles are dipped into a concentrated soy sauce sauce built on sweetness and acidity, said to have started as staff-meal food at a shop in Nakano before being served to customers as an oversized, showy portion.",大勝軒の歴史,https://taisho-ken.tokyo/history/,お茶の水、大勝軒,2026-09-15
seabura-chatcha,背脂ラーメン,Seabura Ramen,Seabura Ramen — soy ramen finished with a shower of pork back fat,東京都,,,,醤油,dish,醤油ラーメンのスープに刻んだ豚の背脂を細かく振りかけ、丼を最後まで熱く保つ。1980年代後半の東京で広まったスタイルで、環状七号線沿いの店々が競い合う中で磨かれたと語られる。,"Soy sauce ramen finished with a shower of minced pork back fat that keeps the bowl steaming hot to the last bite, a style said to have taken hold in Tokyo around the turn of the millennium as shops along the Kan-nana ring road competed with each other.","環七ラーメン戦争を勝ち抜いた""背脂醤油とんこつ""の老舗 ラー博「あの銘店をもう一度""94年組""」第2弾は環七「野方ホープ1994」",https://www.raumen.co.jp/information/news_001622.html,新横浜ラーメン博物館,2026-09-15
iekei,家系ラーメン,Iekei Ramen,Iekei Ramen — Yokohama's pork-bone soy ramen finished with chicken fat,神奈川県,横浜市磯子区,35.3839,139.6303,豚骨,dish,豚骨と鶏ガラを長時間炊いたスープに濃口醤油だれと鶏油を合わせ、太くて短めの麺、ほうれん草と海苔をのせる。1974年に横浜・新杉田で創業した店が源流とされ、工場地帯の働き手の間で広まったと伝わる。,"Pork bone and chicken carcass simmered long and finished with a dark soy tare and chicken fat, paired with thick, short noodles, spinach, and nori — traced to a shop that opened in 1974 in Yokohama's Shinsugita district and is said to have spread among workers in the surrounding industrial zone.",「家系総本山」とは,http://ieke1.com/source/yosimuraya/toha.html,家系総本山 吉村家（公式サイト）,2026-09-13
hiratsuka-tanmen,平塚系タンメン,Hiratsuka-kei Tanmen,"Hiratsuka Tanmen — a clear, vinegar-edged vegetable noodle soup",神奈川県,平塚市,35.3229,139.3417,塩,dish,透き通った塩味のスープにほのかな酸味をきかせ、わかめと刻み玉ねぎをのせる。神奈川に一般的なとろみの強いタンメンとは違い、さらりとした汁が特徴で、平塚の中華店で親しまれてきたと伝わる。,"A clear, salt-based broth carries a faint edge of acidity, topped with wakame seaweed and chopped onion — a thinner, less thickened bowl than the typical Kanagawa tanmen, said to have taken root among Chinese-style diners in Hiratsuka.",ご当地ラーメン,https://ja.wikipedia.org/wiki/ご当地ラーメン,Wikipedia（最終手段。平塚市観光協会サイトに専用記事は未確認）,2026-09-13
odawara,小田原系ラーメン,Odawara-kei Ramen,"Odawara Ramen — dark soy ramen with flat, curly noodles and rolled wontons",神奈川県,小田原市,35.256,139.1522,醤油,dish,色の濃い醤油スープに、平打ちの縮れ麺を合わせる。具に細長く巻いたワンタンをのせる店が多いのが特徴で、城下町として栄えた小田原の中華食堂に、一軒ではなく街の味として根づいてきた一杯と伝わる。,"A dark, strongly seasoned soy sauce broth paired with flat, curly noodles, often topped with slim, rolled wontons — a bowl said to have taken root at Chinese-style diners in this old castle town.",ご当地ラーメン,https://ja.wikipedia.org/wiki/ご当地ラーメン,Wikipedia（最終手段。小田原市観光協会サイトに専用記事は未確認）,2026-09-13
misaki-maguro,三崎まぐろラーメン,Misaki Maguro Ramen,Misaki Tuna Ramen — soy ramen built on a maguro-based broth,神奈川県,三浦市三崎,35.1385,139.6114,醤油,dish,遠洋まぐろ漁の水揚げ基地である三崎港で、まぐろのアラや骨からとっただしを使ったスープを醤油で仕立てたラーメン。港の食堂で50年近く出され続けてきた一杯もあると伝わる。,"In Misaki Port, a landing base for offshore tuna boats, a soy sauce ramen is built on a broth drawn from tuna trimmings and bone — a bowl said to have been served for decades at diners along the port.",港楽亭,https://miura-info.ne.jp/gourmet-misaki/gourmet-18/,みうら観光ガイド（三浦市観光協会公式）,2026-09-13
odawara-tantan,小田原タンタン麺,Odawara Tantanmen,"Odawara Tantanmen — a thick, sweet-spicy ankake tantanmen",神奈川県,小田原市上曽我,35.2969,139.123,その他,dish,挽肉やザーサイ、にんにく、豆板醤を合わせた、とろみの強い甘辛あんかけスープの担々麺。1975年に小田原市上曽我で生まれたと伝わり、一般的な担々麺よりも濃く甘みのきいた味が特徴。,"A tantanmen with a thick, sweet-and-spicy ankake-style sauce built on ground pork, pickled mustard greens, garlic, and doubanjiang, said to have originated in 1975 in Kamisoga, Odawara, with a heavier, sweeter profile than standard tantanmen.",小田原タンタン麺 発祥の店 中華四川,https://shisenodawara.jimdofree.com/,中華四川（小田原タンタン麺発祥の店・公式サイト）,2026-09-15
kanagawa-tanrei,神奈川淡麗系,Kanagawa Tanrei-kei,"Kanagawa Tanrei-kei — a light, clear soy ramen built on thin noodles",神奈川県,,,,醤油,dish,あっさりとした醤油味の澄んだスープに、細めの麺を合わせる。脂を強く効かせた家系ラーメンとしばしば対比され、同じ神奈川で育った、濃さとは正反対の極として語られる系統。,"A light, clear soy sauce broth paired with thin noodles, often set up in contrast to the heavily fatted iekei style as the other pole of Kanagawa's ramen culture.",コラム#2 淡麗系ラーメンの系譜,https://note.com/ramenmuseum/n/n8a8d441edebe,新横浜ラーメン博物館（公式note）,2026-09-15
