slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
funankogui,ふなんこぐい,Funankogui,Funankogui — whole crucian carp wrapped in kelp and slow-simmered with root vegetables,佐賀県,鹿島市,33.1256,130.1096,,dish,昆布で巻いたフナをダイコンなどと大鍋でじっくり煮込み、姿のまま骨まで柔らかく仕上げる。有明海の漁が乏しい冬のたんぱく源として重宝され、鹿島市では恵比寿様への正月の供え物にもなるという。,"Crucian carp, wrapped whole in kelp, simmers for hours with daikon and other roots until even the bones turn soft — a winter protein source from the lean season on the Ariake Sea, and in Kashima, an offering to the god of good fortune at New Year.",ふなんこぐい 佐賀県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/45_1_saga.html,農林水産省,2026-09-08
ika-no-kakeae,いかのかけ和え,Ika no Kakeae,Ika no kakeae — squid and root vegetables tossed in a ground sesame and vinegar-miso dressing,佐賀県,,33.2494,130.2988,,dish,イカと大根、人参をすりごま入りの酢味噌で和える。魚介とダイコンを合わせるこの手の料理は各地にあるが、佐賀では「かけ和え」と呼び、秋祭りには脂ののったサバを使うこともあるという。,"Squid, daikon, and carrot are tossed in a vinegared miso dressing thick with ground sesame — a style of dish found across Japan, but called 'kakeae' in Saga, where fatty mackerel sometimes stands in for squid at autumn festivals.",いかのかけ和え 佐賀県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/45_2_saga.html,農林水産省,2026-09-08
niimoji,にいもじ,Niimoji,Niimoji — taro stem pickled tart and chilled for summer,佐賀県,,33.2494,130.2988,,dish,ミズイモの茎の皮をむき、二杯酢や三杯酢に漬けて食感を残すよう手早く煮る。夏の暑さで食欲が落ちる頃に冷やして食べられ、家庭ごとに酸味や甘みの加減が違う「我が家の味」だという。,"Peeled taro stem is briefly simmered in a two- or three-part vinegar mix, kept crisp, and chilled — eaten when summer heat dulls the appetite, with each household said to keep its own balance of sour and sweet.",にいもじ 佐賀県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/45_3_saga.html,農林水産省,2026-09-08
nigomi,煮ごみ,Nigomi,"Nigomi — chicken, chestnut, and red bean simmered with root vegetables for an autumn shrine festival",佐賀県,伊万里市,33.2669,129.8888,,dish,鶏肉やレンコン、ゴボウなどの根菜を小豆や栗とともに醤油と砂糖で煮含める。伊万里くんちの供日料理として「栗おこわ」と対で欠かせない一皿とされ、祭り前夜にまとめて仕込むという。,"Chicken and root vegetables — lotus root, burdock — simmer with red bean and chestnut in a sweet soy glaze. Paired with chestnut rice as an essential offering at the Imari-kunchi shrine festival, and said to be made in bulk the night before.",煮ごみ 佐賀県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/45_8_saga.html,農林水産省,2026-09-08
saga-gameni,がめ煮,Gameni,Gameni — chicken and root vegetables simmered together for festivals and New Year,佐賀県,,33.2494,130.2988,,dish,根菜と鶏肉を炒めてから醤油や砂糖で煮含める、佐賀のくんちや正月に欠かせない一皿。全国的には筑前煮とも呼ばれ、豊臣秀吉の朝鮮出兵の際にすっぽんを煮たことが起源と伝わる。,"Root vegetables and chicken are stir-fried, then simmered in soy and sugar for Saga's autumn shrine festivals and New Year. Known elsewhere as chikuzen-ni, its origin is traced to soldiers said to have simmered soft-shell turtle during a 16th-century invasion of Korea.",がめ煮 佐賀県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/45_9_saga.html,農林水産省,2026-09-08
oyogoshi,およごし,Oyogoshi,Oyogoshi — vegetables and mashed taro tossed together like a white-dressed salad,佐賀県,,33.2494,130.2988,,dish,サトイモをすりつぶし、ゴマや味噌とともに野菜と和える白和え風の一皿。約230年前の集落火災で焼け残った野草を和えて食べたことに由来すると伝わり、豆腐の代わりに里芋を使うようになったという。,"Mashed taro is mixed with sesame and miso, then tossed with vegetables like a tofu-based white salad, minus the tofu — said to trace back some 230 years to a village fire, when survivors ate whatever wild greens they could gather and dress.",およごし 佐賀県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/45_12_saga.html,農林水産省,2026-09-08
go-dofu,呉豆腐のごま醤油かけ,Go Dofu,"Go-dofu — a soft, glossy tofu set with kudzu starch instead of nigari, topped with sesame-soy",佐賀県,有田町,33.1997,129.8969,,dish,豆乳に葛やでんぷんを加えて固める、有田町に伝わる独特の豆腐。にがりで固める通常の豆腐よりも柔らかくつやがあり、ごま醤油をかけて副菜に、黒蜜やきな粉でスイーツにもなるという。,"Soy milk is set not with nigari but kudzu starch, giving this Arita specialty a softer, glossier bite than ordinary tofu — served with sesame-soy as a side, or with black sugar syrup and soybean flour as a dessert.",呉豆腐のごま醤油かけ 佐賀県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/45_14_saga.html,農林水産省,2026-09-08
saga-kuchizoko-nitsuke,くちぞこの煮つけ,Kuchizoko no Nitsuke,Kuchizoko no nitsuke — sole from the Ariake Sea simmered in a seasoned broth,佐賀県,,33.1509,130.1877,,dish,有明海の舌平目を「くちぞこ」と呼び、醤油や酒で甘辛く煮つける。靴底のような平たい姿から名がついたとされ、皮の黒い「クロシタ」の方が身が締まり値も高いとされるという。,"Sole from the Ariake Sea, called 'kuchizoko' for its flat, shoe-sole shape, is simmered sweet and salty in soy and sake — the darker-skinned variety said to have firmer flesh and fetch a higher price.",くちぞこの煮つけ 佐賀県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/45_16_saga.html,農林水産省,2026-09-08
shappa-no-nitsuke,しゃっぱの煮つけ,Shappa no Nitsuke,"Shappa no nitsuke — mantis shrimp simmered in soy, once dismissed as a nuisance catch",佐賀県,,33.1509,130.1877,,dish,有明海でとれるシャコを佐賀では「しゃっぱ」と呼び、醤油だしでじっくり炊く。クルマエビ漁の網にかかる邪魔者として扱われることもあったが、エビに似た旨みがあり夏の味覚として親しまれているという。,"Mantis shrimp from the Ariake Sea, called 'shappa' in Saga, are simmered slowly in a soy broth — once treated as a nuisance catch tangled in the prawn nets, but prized for a sweetness close to shrimp, and welcomed as a summer flavor.",しゃっぱの煮つけ 佐賀県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/45_20_saga.html,農林水産省,2026-09-08
ara-no-sugatani,あらの姿煮,Ara no Sugatani,"Ara no sugatani — a whole grouper, ten kilos or more, simmered for a shrine festival showpiece",佐賀県,唐津市,33.4497,129.9694,,dish,10kgほどにもなるアラ（クエ）を丸ごと大鍋で1日がかりで煮込む。唐津くんちで留守を守る女性たちが客をもてなす「くんち料理」の目玉とされ、戦後、見栄えを競って始まったと伝わる。,"A grouper weighing ten kilos or more is simmered whole in a giant pot over the better part of a day — the showpiece of the hospitality dishes women prepare for guests during the Karatsu-kunchi festival, said to have started as a postwar display of one-upmanship.",あらの姿煮 佐賀県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/45_22_saga.html,農林水産省,2026-09-08
