slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
isaza-mame,いさざ豆,Isaza Mame,Isaza mame — Lake Biwa's endemic isaza goby simmered sweet-savory with soybeans,滋賀県,,35.3833,136.2833,,dish,琵琶湖の固有種イサザを大豆とともに甘辛く炊き合わせた佃煮風の一皿。畑の肉と呼ばれる大豆の滋味と淡白なイサザの旨みが響き合い、湖北地域では冠婚葬祭の席にも並ぶと伝わる。,"Isaza mame simmers Lake Biwa's endemic isaza goby with soybeans in soy sauce and mirin. The bean's earthy richness meets the fish's mild flavor, and around Lake Biwa's northern shore the dish is said to appear at both everyday meals and formal gatherings.",いさざ豆 滋賀県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/isaza_mame_shiga.html,農林水産省,2026-09-08
gori-no-tsukudani,ごりの佃煮,Gori no Tsukudani,Gori no tsukudani — Lake Biwa goby simmered down with sansho pepper,滋賀県,,35.3833,136.2833,,dish,琵琶湖に棲むヨシノボリ（ゴリ）を粒山椒とともに醤油だれで煮詰めた佃煮。初夏から初秋のごく短い時期しか生の魚は出回らないが、加工品として通年親しまれ、土産にも選ばれると伝わる。,"Small Lake Biwa gobies known locally as gori are simmered down in soy sauce with whole sansho peppercorns. Fresh gori appear only briefly in early summer, but the preserved version is sold year-round and often bought as a souvenir.",ごりの佃煮 滋賀県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/gorino_tsukuda_ni_shiga.html,農林水産省,2026-09-08
shiga-itokoni,いとこ煮,Itoko Ni,Itoko ni — azuki beans simmered with taro or pumpkin,滋賀県,,35.3833,136.2833,,dish,小豆を里芋またはかぼちゃと甘辛く炊き合わせた煮物で、報恩講や冬至によくつくられると伝わる。かぼちゃ仕立ては湖東、里芋仕立ては湖北で好まれるなど、地域で具材が分かれるという。,"Azuki beans are simmered with taro or pumpkin in a slightly sweet broth, traditionally made for Buddhist memorial gatherings and the winter solstice. The pumpkin version is favored around Lake Biwa's east shore, the taro version in the north.",いとこ煮 滋賀県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/itokoni_shiga.html,農林水産省,2026-09-08
koayu-no-sansho-ni,小あゆの山椒煮,Koayu no Sansho Ni,Koayu no sansho ni — small Lake Biwa ayu simmered with sansho pepper,滋賀県,,35.0045,135.8686,,dish,琵琶湖でしか大きくなれない小あゆを、しょうがや山椒とともに甘辛く炊いた佃煮。川魚特有の匂いを消す工夫と、鍋返しをしない煮崩れ防止の技が各家庭で受け継がれてきたという。,"Koayu, small ayu that never grow large because of Lake Biwa's limited feed, are simmered sweet-savory with ginger and sansho pepper to tame the freshwater fish's aroma. Cooks avoid stirring too roughly so the delicate fish stay whole.",小あゆの山椒煮 滋賀県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/koayuno_sanshou_ni_shiga.html,農林水産省,2026-09-08
junjun,じゅんじゅん,Junjun,"Junjun — sukiyaki-style hot pot of beef, chicken, or lake fish",滋賀県,,35.0045,135.8686,,dish,牛肉や鶏肉、あるいは湖魚をすき焼き風に味付けする鍋料理。具材が煮える際の音が名の由来とされ、近江牛や湖魚のイサザなど旬の食材を通年で楽しめる工夫がされていると伝わる。,"A sukiyaki-style hot pot made with beef, chicken, or lake fish, its name said to echo the simmering sound of the pot. Local ingredients such as Omi beef or the lake's isaza goby rotate in with the seasons, making it a year-round dish.",じゅんじゅん 滋賀県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/junjun_shiga.html,農林水産省,2026-09-08
aka-konnyaku-ni,赤こんにゃく煮,Aka Konnyaku Ni,Aka konnyaku ni — Omi-Hachiman's iron-red konjac simmered in soy sauce,滋賀県,近江八幡市,35.1283,136.0989,,dish,近江八幡の名物である鉄分で赤く染めたこんにゃくを、花かつおと醤油で炒り煮にした一品。煮ても色が抜けないのが特徴で、冠婚葬祭や学校給食にも欠かせない一皿として親しまれている。,"Konjac dyed reddish with iron oxide, a specialty of Omi-Hachiman, is pan-simmered with bonito flakes and soy sauce. The color holds even after cooking, and the dish is a fixture at ceremonial meals and school lunches alike.",赤こんにゃく煮 滋賀県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/aka_konnyaku_ni_shiga.html,農林水産省,2026-09-08
ebimame,えび豆,Ebi Mame,Ebi mame — Lake Biwa river shrimp simmered sweet-savory with soybeans,滋賀県,,35.0045,135.8686,,dish,琵琶湖でとれるスジエビを大豆とともに甘辛く煮た郷土料理。安価で日持ちがし、日常食として食べられる一方、「エビのように腰が曲がるまで達者に暮らせるように」との長寿の願いを込めて正月にも供されると伝わる。,"Freshwater shrimp from Lake Biwa are simmered sweet-savory with soybeans. Inexpensive and long-keeping, the dish is eaten as everyday fare, but is also served at New Year's with a wish for long life — that one might live, like the bent-backed shrimp, into old age.",えび豆 滋賀県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/ebimame_shiga.html,農林水産省,2026-09-08
choji-fu-no-karashi-ae,丁字麩のからしあえ,Chojifu no Karashi Ae,Chojifu no karashi ae — square wheat gluten and cucumber in mustard miso,滋賀県,,35.0045,135.8686,,dish,滋賀のご当地麩である丁字麩をきゅうりと合わせ、辛子酢味噌で和えた定番料理。仏事の精進料理にも使われる麩を用い、もちもちとした食感とさっぱりとした後味が親戚の集まりで好まれると伝わる。,"Chojifu, a square baked wheat gluten unique to Shiga, is paired with cucumber and dressed in mustard-miso vinegar. The gluten also appears in Buddhist vegetarian meals, and its chewy texture with a refreshing tang makes the dish a staple at family gatherings.",丁字麩のからしあえ 滋賀県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/choujifu_no_karashi_ae_shiga.html,農林水産省,2026-09-08
shiga-tofu-dengaku,豆腐田楽,Tofu Dengaku,Tofu dengaku — skewered tofu grilled with sweet miso glaze,滋賀県,,35.0045,135.8686,,dish,水切りした豆腐を串に刺して焼き、木の芽味噌やねぎ味噌を塗って炙る料理。寺院の多い滋賀では精進料理として親しまれ、報恩講や冬至に食す湖北の風習や、東海道沿いの名物としても伝わってきたという。,"Firm tofu is skewered, grilled, brushed with a sweet miso glaze, and grilled again until lightly charred. Popular as a vegetarian dish in temple-dense Shiga, it is traditionally made for Buddhist memorial gatherings and the winter solstice, and was once a specialty along the old Tokaido road.",豆腐田楽 滋賀県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/toufu_dengaku_shiga.html,農林水産省,2026-09-08
kurumi-gobo,くるみごぼう,Kurumi Gobo,Kurumi gobo — burdock root bound in a sweet edamame paste,滋賀県,甲賀市,34.9639,136.2075,,dish,ゆでてすりつぶした枝豆に砂糖を加えた餡を、下ゆでしたごぼうに絡めた料理。甲賀市信楽町上朝宮の三所神社で行われる秋祭り「ごんぼ祭り」に供えられ、食べると健康に過ごせるといわれてきた。,"Boiled edamame is mashed into a sweetened paste and tossed with par-boiled burdock root. The dish is offered at the autumn ""gonbo festival"" held at Sansho Shrine in Koka's Shigaraki area, where it is said that eating it brings a year of good health.",くるみごぼう 滋賀県,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kurumi_gobou_shiga.html,農林水産省,2026-09-08
