slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
tokachi-wagyu,十勝和牛,Tokachi Wagyu,"Hokkaido's rangeland wagyu, calved and finished across the Tokachi plain",北海道,帯広市,42.9237,143.1961,,ingredient,北海道内で生まれ、畑作地帯として知られる十勝平野で長期肥育される黒毛和種。地域団体商標にも登録された銘柄で、まろやかな脂と赤身の旨みのバランスが特徴とされる。十勝産の飼料資源を積極的に活用している点も特色という。,"Born in Hokkaido and finished over a long span on the Tokachi plain, a farming district — registered as a regional collective trademark, and said to balance mellow fat with lean umami.",十勝和牛とは,http://www.tokachiwagyu.com/about.php,十勝和牛プロジェクト,2026-09-06
shiraoi-gyu,白老牛,Shiraoi Gyu,"raised on wheat, okara, and brewer's byproducts by the Pacific coast",北海道,白老町,42.5747,141.3553,,ingredient,太平洋に面した白老町で、昭和29年頃から飼育が続く黒毛和種。小麦やおから、ビール醸造の副産物を加えた飼料で育てられ、きめ細かな霜降りと深いコクを持つとされる。現在は繁殖・肥育を合わせ数千頭規模まで拡大したとされる。,"Japanese Black raised in Shiraoi, facing the Pacific, where breeding has continued since around 1954 — fed wheat, okara, and brewer's byproducts, said to yield fine marbling and a deep richness.",白老牛銘柄推進協議会,https://shiraoi-beef.jp/,白老牛銘柄推進協議会,2026-09-06
biratori-wagyu,びらとり和牛,Biratori Wagyu,descended from breeding stock brought from Shimane in 1962,北海道,平取町,42.5361,142.0308,,ingredient,日高地方・平取町で育つ黒毛和種。昭和37年に島根県から導入された繁殖牛を礎とし、冬の厳しい寒さの中でじっくりと肥育され、味の濃さに定評があるという。札幌をはじめ道内で広く親しまれる銘柄になったという。,"Japanese Black raised in Biratori, Hidaka, founded on breeding cattle brought from Shimane in 1962 — finished slowly through harsh winters, said to give the meat a notably deep flavor.",びらとり和牛｜びらとり農業協同組合,https://nishipa.or.jp/agri03/,びらとり農業協同組合,2026-09-06
iwate-tankaku-wagyu,いわて短角和牛,Iwate Tankaku Wagyu,"a lean, pasture-grazed breed apart from marbled Japanese Black",岩手県,久慈市,40.1892,141.7742,,ingredient,霜降りの黒毛和種とは異なる品種、日本短角種。岩手の山あいで春から秋にかけて放牧され、寒暖差の中で赤身に旨み成分のアミノ酸を蓄えるとされる、脂肪の少ない牛肉。全国の飼育頭数の約4割を岩手県が占めるとされる。,"A breed distinct from marbled Japanese Black — pastured across Iwate's hills from spring to autumn amid sharp temperature swings, said to build amino-acid umami in its lean, low-fat meat.",日本短角種（いわてお国自慢）,https://www.pref.iwate.jp/kensei/profile/1000655/1018314.html,岩手県,2026-09-06
aizu-gyu,会津牛,Aizu Gyu,fed local rice straw across the temperature swings of the Aizu basin,福島県,会津若松市,37.4956,139.9297,,ingredient,会津盆地で育つ黒毛和種の去勢・雌牛。地元産の稲わらを中心とした飼料を与えられ、盆地特有の寒暖差の大きい気候が肥育に適するとされる、福島県を代表する銘柄。首都圏での引き合いも増えているという。,"Steers and heifers of Japanese Black raised in the Aizu basin, fed mainly local rice straw — the basin's sharp seasonal swings are said to suit fattening, making it Fukushima's leading brand.",福島県ブランド牛肉,https://www.pref.fukushima.lg.jp/sec/32031c/brand-gyuniku.html,福島県,2026-09-06
yamagata-gyu,山形牛,Yamagata Gyu,the prefecture-wide umbrella brand behind Yonezawa Gyu,山形県,,38.2404,140.3633,,ingredient,山形県内で最も長く肥育・育成された黒毛和種の総称。米沢牛をはじめ各地域の銘柄を束ねる呼び名で、日本食肉格付協会の定める等級を満たしたものだけが名乗れるという。西川牛や天童牛など地域固有の呼び名も含む総称である。,"An umbrella term for Japanese Black cattle raised and fattened longest within Yamagata — encompassing area brands like Yonezawa Gyu, reserved for cattle meeting a national grading threshold.",山形県のブランド和牛総称（山形牛）について,https://www.yamagata-gyu.org/aboutus,山形肉牛協会,2026-09-06
hitachi-gyu,常陸牛,Hitachi Gyu,descended from black cattle first kept at a 19th-century domain pasture,茨城県,,36.3418,140.4468,,ingredient,茨城県内で指定生産者が育てる黒毛和種。江戸期に水戸藩が桜野牧で牛を飼育した記録が残る土地柄で、長期肥育によりきめ細かなサシと柔らかな肉質を持つとされる。近年は海外の高級店にも輸出されているという。,"Japanese Black raised by designated producers across Ibaraki, a region with records of the Mito domain keeping cattle at Sakurano pasture in the 1830s — long fattening is said to give fine marbling and tender meat.",【公式】常陸牛｜茨城県が誇る極上の霜降り牛肉,https://ibaraki.lin.gr.jp/hitachigyuu.html,茨城県常陸牛振興協会,2026-09-06
joshu-gyu,上州牛,Joshu Gyu,a cross of Japanese Black and dairy stock raised on clear mountain water,群馬県,,36.3906,139.0604,,ingredient,黒毛和種と乳用種を交配させた牛で、群馬の丘陵地で放牧気味に育つ。山から湧き出る清らかな水を与えられることで、赤身の締まった、うまみの強い肉質になるとされる。地域団体商標としても登録されている銘柄である。,"A cross of Japanese Black and dairy cattle, raised semi-free-range across Gunma's hills on clear mountain water — said to firm up the lean meat and deepen its umami.",銘柄牛肉,https://www.gunmanooniku.com/beef/,群馬県食肉品質向上対策協議会,2026-09-06
tochigi-wagyu,とちぎ和牛,Tochigi Wagyu,fattened for around 30 months on local rice and rice straw,栃木県,,36.5551,139.8828,,ingredient,栃木県内の指定生産者が育てる黒毛和種。地元産の稲わらや米を交えた飼料を与えながら、約30か月という長い期間をかけて肥育され、風味を引き出しているという。地元産の米を与える点も風味向上の一因とされる。,"Japanese Black raised by designated producers across Tochigi, fed local rice straw and rice and fattened over roughly 30 months, longer than many brands, said to draw out its flavor.",とちぎ和牛,https://www.pref.tochigi.lg.jp/c05/kensei/aramashi/sangyou/nouringyou/wagyuu.html,栃木県,2026-09-06
shinshu-premium-gyu,信州プレミアム牛,Shinshu Premium Gyu,graded on oleic-acid content rather than marbling alone,長野県,,36.6513,138.181,,ingredient,長野県が認定する農場で育つ黒毛和種のうち、脂肪交雑に加えてオレイン酸含有率という県独自の基準を満たした牛肉。口どけの良さと香りを重視した選抜だとされる。脂肪の質を重視した長野県独自の認定制度による。,"Japanese Black raised on Nagano-certified farms and selected by the prefecture's own standard — marbling plus oleic-acid content, chosen for how the fat melts and its aroma.",信州プレミアム牛肉の認定基準,https://www.oishii-shinshu.net/shokuiku/food/shinshu-beef/standard,長野県,2026-09-06
