slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
hinai-jidori,比内地鶏,Hinai-jidori,Hinai-jidori — Akita's native breed behind the region's chicken hot pot,秋田県,大館市,40.2727,140.5686,,ingredient,国の天然記念物「比内鶏」の雄とロードアイランドレッドの雌を交配して作られた一代雑種とされる。放し飼いで150日前後かけて育てるため、歯ごたえと出汁の出やすさが強いといわれる。,"Said to be a first-generation cross of the natural-monument Hinai breed and Rhode Island Red, free-ranged for around 150 days — a rearing length that reportedly gives it firm texture and strong stock-making properties.",比内地鶏って？,https://common3.pref.akita.lg.jp/hinaijidori/ouchigohan/about,秋田県,2026-09-06
nagoya-cochin,名古屋コーチン,Nagoya Cochin,Nagoya Cochin — Japan's first registered domestic chicken breed,愛知県,名古屋市,35.1815,136.9066,,ingredient,明治期に旧尾張藩士の兄弟が在来種を改良して作出し、日本で最初に実用品種として認定されたとされる地鶏。一般的なブロイラーの倍以上、120〜150日ほどかけて丁寧に育てられるという。,"Developed in the Meiji era by two former Owari-domain samurai brothers and reportedly Japan's first officially recognized practical chicken breed, said to be reared for 120–150 days — more than twice a standard broiler.",名古屋コーチン,https://www.pref.aichi.jp/soshiki/chikusan/0000001530.html,愛知県,2026-09-06
satsuma-jidori,薩摩地鶏,Satsuma Jidori,Satsuma Jidori — bred from a centuries-old fighting fowl of Kagoshima,鹿児島県,鹿児島市,31.5966,130.5571,,ingredient,国の天然記念物である薩摩鶏の血を引く地鶏で、薩摩藩の時代から観賞・闘鶏用に飼われてきたとされる系統をもとに作られたという。120〜150日ほどかけて育成される。,"Traces its blood to Satsuma, a natural-monument fowl said to have been kept for ornament and cockfighting since the domain era, and is reportedly reared for 120–150 days.",鹿児島の地鶏（さつま若しゃも，さつま地鶏，黒さつま鶏）について,http://www.pref.kagoshima.jp/ag07/sangyo-rodo/nogyo/tikusan/faq/satsumajidori.html,鹿児島県,2026-09-06
tokyo-shamo,東京しゃも,Tokyo Shamo,Tokyo Shamo — the fighting-fowl bloodline behind Edo's chicken hot pot,東京都,青梅市,35.7875,139.2757,,ingredient,江戸に伝わった軍鶏の血を引く東京の愛好家の系統をもとに、都の畜産試験場が交配様式を確立したとされる肉用鶏。飼育期間は120日以上とブロイラーの3倍近い長さになるという。,"Built from a lineage of Edo-era shamo fighting fowl kept by Tokyo enthusiasts, with the cross reportedly fixed by the metropolitan livestock experiment station; said to be reared 120 days or more, nearly triple a broiler.",東京しゃも,https://www.tokyo-aff.or.jp/site/ome/1197.html,東京都農林水産振興財団,2026-09-06
kawamata-shamo,川俣シャモ,Kawamata Shamo,Kawamata Shamo — a silk town's cockfighting fowl turned table bird,福島県,川俣町,37.6425,140.5978,,ingredient,絹問屋が栄えた福島県川俣で闘鶏用に親しまれてきたシャモを、食用としておいしく育てる研究を重ねて生まれたとされる。地理的表示（GI）にも登録されている福島の銘柄鶏。,"Said to descend from shamo fighting fowl favored by Kawamata's prosperous silk merchants, refined over years of research into raising them for the table; registered as a Geographical Indication product.",川俣シャモ（地理的表示保護制度）,https://www.maff.go.jp/j/shokusan/gi_act/register/0118/index.html,農林水産省,2026-09-06
awaodori-dori,阿波尾鶏,Awa Odori-dori,Awa Odori-dori — a Tokushima fighting-fowl cross bred for the table,徳島県,,34.0658,134.5593,,ingredient,徳島に古くからいた赤笹系の軍鶏を改良・固定し、白色プリマスロックと交雑して作られたとされる。JAS規格の基準どおり75日以上かけて育てられ、出荷羽数は全国有数という。,"Said to be developed by fixing a local red-and-black shamo fowl and crossing it with white Plymouth Rock; reared for the JAS-standard minimum of 75 days, with shipment volume reportedly among Japan's largest.",阿波尾鶏物語 -開発からブランド確立まで,https://www.pref.tokushima.lg.jp/tafftsc/chikusan/outline/business/awastory.html,徳島県,2026-09-06
tosa-jiro,土佐ジロー,Tosa Jiro,Tosa Jiro — offspring of a rare pheasant-like native fowl,高知県,高知市,33.5597,133.5311,,ingredient,国の天然記念物「土佐地鶏」の雄とロードアイランドレッドの雌を交配して生まれたとされる小柄な地鶏。1980年代から高知県内で飼育が広がり、120〜150日かけて育てられるという。,A compact breed said to come from crossing the natural-monument Tosa-jidori cockerel with a Rhode Island Red hen; spread through Kochi from the 1980s and reportedly reared for 120–150 days.,土佐ジローはいかが？,https://www.pref.kochi.lg.jp/doc/tosajirou/,高知県,2026-09-06
amakusa-daio,天草大王,Amakusa Daio,Amakusa Daio — a giant breed revived a century after it vanished,熊本県,天草市,32.4581,130.2028,,ingredient,明治・大正期に天草で飼われた大型の肉用鶏が昭和初期に途絶えたのち、熊本県が約10年かけて復元したとされる。120〜150日齢で出荷され、日本最大級の地鶏という。,"A large-bodied meat fowl once kept in Amakusa in the Meiji and Taisho eras, said to have died out in the early Showa period before Kumamoto prefecture spent roughly a decade recreating it; reportedly among the biggest jidori breeds, shipped at 120–150 days.",天草大王,https://www.pref.kumamoto.jp/soshiki/75/851.html,熊本県,2026-09-06
hakata-jidori,はかた地どり,Hakata Jidori,Hakata Jidori — bred to suit Fukuoka's mizutaki hot pot,福岡県,福岡市,33.5904,130.4017,,ingredient,郷土料理の水炊きやがめ煮に合う地鶏として、軍鶏をもとに福岡県の試験場が開発したとされる。飼育期間は80日以上と定められ、実際の出荷日齢は平均85日ほどになるという。,"Said to have been bred from shamo fowl by a Fukuoka prefectural research station specifically to suit local dishes like mizutaki hot pot; the standard sets a minimum 80 days, with average shipment reportedly around 85.",はかた地どり,https://zennoh-fukuren.jp/consumer/tikusan/jidori,JA全農ふくれん,2026-09-06
miyazaki-jitokko,みやざき地頭鶏,Miyazaki Jitokko,Miyazaki Jitokko — once reserved as a tribute to the local lord,宮崎県,川南町,32.531,131.515,,ingredient,霧島山麓で古くから飼われ、美味しさから地頭に献上されたことが名の由来とされる在来種「地頭鶏」をもとに開発された。オス4か月・メス5か月ほどかけて育てられるという。,"Developed from Jitokko, a native fowl long kept at the foot of Kirishima whose name is said to come from being offered to the local lord for its flavor; reportedly reared roughly four months for cockerels, five for hens.",みやざき地頭鶏(じとっこ)事業協同組合,https://www.mjitokko.jp/,みやざき地頭鶏事業協同組合,2026-09-06
okukuji-shamo,奥久慈しゃも,Okukuji Shamo,Okukuji Shamo — a fighting fowl's bloodline tamed for the table,茨城県,大子町,36.7681,140.3536,,ingredient,闘鶏用として気性が荒いシャモを、茨城県の試験場が繁殖力と肉質を高めるよう改良して生まれたとされる。雄で125日、雌で155日ほどかけて育てられ、鶏として初めて地理的表示（GI）に登録されたという。,"Said to be bred from the fierce shamo fighting fowl, tempered by an Ibaraki research station for better fertility and meat quality; reportedly reared around 125 days for cockerels and 155 for hens, and the first chicken registered as a Geographical Indication product.",奥久慈しゃも（地理的表示保護制度）,https://www.maff.go.jp/j/shokusan/gi_act/register/0071/index.html,農林水産省,2026-09-06
aizu-jidori,会津地鶏,Aizu Jidori,Aizu Jidori — a near-extinct heirloom breed brought back from the brink,福島県,会津若松市,37.495,139.9297,,ingredient,平家の落人が会津に持ち込んだと伝わる系統で、絶滅寸前だったところを福島県が保護し交配・改良を重ねて作出したとされる。90〜170日ほどかけて丁寧に肥育されるという。,"A lineage said to have been brought to Aizu by Heike clan refugees, saved from near-extinction and re-established through crossbreeding by Fukushima prefecture; reportedly fattened for 90 to 170 days.",会津地鶏（地理的表示保護制度）,https://www.maff.go.jp/j/shokusan/gi_act/register/0166/index.html,農林水産省,2026-09-06
shinshu-ogon-shamo,信州黄金シャモ,Shinshu Ogon Shamo,Shinshu Ogon Shamo — a pure native cross with no broiler blood,長野県,長野市,36.6513,138.181,,ingredient,シャモと名古屋種を掛け合わせ、ブロイラーの血を一切含まない在来種100%として長野県畜産試験場が開発したとされる。オス112日以上、メス120日以上かけて育てられるという。,"Said to be developed by Nagano's livestock experiment station from a cross of shamo and Nagoya breed, kept at 100% native blood with no broiler ancestry; reportedly reared at least 112 days for cockerels and 120 for hens.",信州黄金シャモ,https://www.pref.nagano.lg.jp/enchiku/sangyo/nogyo/chikusan/ogonshamo/index.html,長野県,2026-09-06
daisen-dori,大山どり,Daisen-dori,Daisen-dori — raised long and slow at the foot of Mount Daisen,鳥取県,米子市,35.4283,133.3306,,ingredient,大山の麓で種鶏の育成から処理まで一貫して手がける生産者による銘柄鶏とされる。抗生物質を用いない専用飼料で通常より長く平飼いされ、脂と旨みのバランスを狙うという。,"A branded chicken said to be raised end-to-end, from breeding stock to processing, by producers at the foot of Mount Daisen — free-ranged longer than usual on an antibiotic-free feed aimed at balancing fat and flavor.",大山どり,https://www.j-chicken.jp/anshin/sanchi5_31_02.html,一般社団法人 日本食鳥協会,2026-09-06
iyoji-shamo,伊予路しゃも,Iyoji Shamo,Iyoji Shamo — a hardy free-range bird from Ehime,愛媛県,松山市,33.8416,132.7658,,ingredient,輸入鶏肉の拡大と消費者の高品質志向を背景に、愛媛県養鶏研究所が開発したとされる高品質な肉用鶏。放し飼いに強く、120日ほどかけて育てるため歯ごたえが出るという。,"Said to be developed by Ehime's poultry research institute in response to growing imports and demand for quality, this hardy, free-range-suited bird is reportedly raised around 120 days for its firm bite.",全国地鶏銘柄鳥ガイド（愛媛県）,https://www.j-chicken.jp/anshin/sanchi5_38_01.html,一般社団法人 日本食鳥協会,2026-09-06
sanuki-cochin,讃岐コーチン,Sanuki Cochin,Sanuki Cochin — a Chinese-origin breed remade in Kagawa,香川県,高松市,34.3401,134.0434,,ingredient,中国原産のコーチン種をもとに、香川県畜産試験場が独自に改良して1993年に誕生したとされる地域ブランド鶏。ブロイラーの50日に対し、80〜90日ほどかけて育てられるという。,"Said to originate from the Chinese Cochin breed, independently improved by Kagawa's livestock experiment station and introduced in 1993; reportedly reared 80–90 days versus a broiler's 50.",讃岐コーチン,https://kagawa.lin.gr.jp/kentoku/kochin/chin2.htm,公益社団法人香川県畜産協会,2026-09-06
kumano-jidori,熊野地鶏,Kumano Jidori,Kumano Jidori — a high-end fowl fed on locally grown feed rice,三重県,熊野市,33.8894,136.0989,,ingredient,三重県原産のシャモ「八木戸」と銘柄鶏「伊勢赤どり」に名古屋コーチンを掛け合わせて作られたとされ、現在も熊野市周辺でのみ飼養されるという。平均115日ほど、低密度で育てられる。,"Said to be crossed from Yagito, a Mie-native shamo fowl, Ise Akadori and Nagoya Cochin, and still raised only around Kumano city; reportedly reared for an average of 115 days at low stocking density.",熊野地鶏,https://www.miebrand.jp/certified_product/8,三重ブランド（三重県）,2026-09-06
tanba-jidori,丹波地どり,Tanba Jidori,Tanba Jidori — raised on the wooded plateau spanning two provinces,兵庫県,丹波篠山市,35.0731,135.2178,,ingredient,京都・兵庫にまたがる丹波地域で飼育される地鶏で、フランス由来の種鶏をもとに改良されたとされる。地鶏JAS規格に沿い、通常のブロイラーの約1.5倍の期間をかけて育てられるという。,"A jidori breed raised across the Tanba plateau spanning Kyoto and Hyogo prefectures, said to be improved from French-origin breeding stock; reportedly reared to the jidori JAS standard, about 1.5 times a standard broiler's rearing period.",丹波地どり,https://www.j-chicken.jp/guide/brand_28hyogo_tanbajidori/,一般社団法人 日本食鳥協会,2026-09-06
kyo-jidori,京地どり,Kyo Jidori,Kyo Jidori — a Kyoto breed kept at 100% native blood,京都府,京丹後市,35.6141,135.0645,,ingredient,横斑プリマスロックと軍鶏を掛け合わせ、京都府が畜産技術センターと共同開発したとされる比較的新しい地鶏。JAS規格の在来種50%基準を上回る在来種100%にこだわるという。,"A comparatively new jidori said to be jointly developed by Kyoto prefecture and its livestock technology center from a Barred Plymouth Rock and shamo cross, reportedly kept at 100% native blood, above the JAS standard's 50% minimum.",ブランド畜産物「京地どり」,https://www.pref.kyoto.jp/chikusan/jidori.html,京都府,2026-09-06
