slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
junmai,純米酒,Junmai-shu,"Junmai — sake brewed from rice, koji, and water alone",,,,,,ingredient,米と米麹と水だけで造られ、醸造アルコールを加えない清酒。副原料に頼らない分、米そのものの旨みと重さがそのまま酒質に出るとされ、精米歩合の一律の基準は法律上は定められていない、特定名称の中でも最も原初的な区分とされる。,"Sake made from nothing but rice, koji, and water, with no added brewing alcohol. Without that extra ingredient to lean on, the rice's own richness and weight are said to come through directly, and the law sets no fixed milling requirement — the most rice-forward of the officially defined categories.",日本酒の分類,https://japansake.or.jp/sake/about-sake/classification-of-sake/,日本酒造組合中央会,2026-09-08
junmai-ginjo,純米吟醸酒,Junmai Ginjo-shu,Junmai ginjo — rice-only sake milled to 60% or less,,,,,,ingredient,精米歩合60%以下まで磨いた米だけで、醸造アルコールを加えずに造る清酒。吟醸造りと呼ばれる低温でゆっくり発酵させる仕込みにより、果物のような香りが立ちながらも、米の旨みは純米酒に近く残るとされる。,"Sake made purely from rice milled down to 60% or less, with no added alcohol. Fermented slowly at low temperature under what's called ginjo brewing, the style is said to bring out fruit-like aromas while keeping the rice sweetness close to that of junmai.",日本酒の分類,https://japansake.or.jp/sake/about-sake/classification-of-sake/,日本酒造組合中央会,2026-09-08
junmai-daiginjo,純米大吟醸酒,Junmai Daiginjo-shu,Junmai daiginjo — rice-only sake milled to 50% or less,,,,,,ingredient,精米歩合50%以下まで磨いた米だけで造る清酒。米粒の半分以上を削り落とすため雑味が少なく、吟醸造りの低温発酵と合わさって際立った香りが出るとされる、特定名称の中でも最も磨き込みの深い区分。,"Sake made from rice alone, milled down to 50% or less of its original size — over half the grain polished away, leaving little off-flavor and, combined with slow low-temperature fermentation, a pronounced aroma. Considered the deepest-milled of the officially defined categories.",日本酒の分類,https://japansake.or.jp/sake/about-sake/classification-of-sake/,日本酒造組合中央会,2026-09-08
honjozo,本醸造酒,Honjozo-shu,Honjozo — sake milled to 70% or less with a touch of added alcohol,,,,,,ingredient,精米歩合70%以下の米に、白米重量の10%以下という上限で醸造アルコールを少量加えて造る清酒。香りが軽くなり、すっきりとした後味になりやすいとされ、特定名称酒の中では最も精米基準がゆるい入り口の区分とされる。,"Sake made from rice milled to 70% or less, with a small, capped amount of brewing alcohol added — no more than 10% of the white rice's weight — said to lighten the aroma and leave a crisper finish. Considered the most accessible entry point among the officially defined categories.",日本酒の分類,https://japansake.or.jp/sake/about-sake/classification-of-sake/,日本酒造組合中央会,2026-09-08
ginjo,吟醸酒,Ginjo-shu,Ginjo — alcohol-added sake milled to 60% or less,,,,,,ingredient,精米歩合60%以下まで磨いた米に醸造アルコールを加え、低温でゆっくり発酵させる清酒。果実を思わせる香りが立ちやすく、軽やかな口当たりになるとされ、香りを競う品評会の中で磨かれてきた技法という側面も持つ。,"Sake made from rice milled to 60% or less, with brewing alcohol added and the mash fermented slowly at low temperature — said to bring out fruit-like aromas and a light body, a technique honed partly through competitions judged on fragrance.",日本酒の分類,https://japansake.or.jp/sake/about-sake/classification-of-sake/,日本酒造組合中央会,2026-09-08
daiginjo,大吟醸酒,Daiginjo-shu,Daiginjo — alcohol-added sake milled to 50% or less,,,,,,ingredient,精米歩合50%以下まで磨いた米に醸造アルコールを加えて造る清酒。特定名称酒の中でも最も磨き込みが深く、際立った香りと軽い口当たりを狙った、鑑評会向けの高度な仕込み技術から生まれた造りとされる。,"Sake made from rice milled to 50% or less with brewing alcohol added — among the officially defined categories, the deepest level of milling, aimed at a pronounced aroma and light body, born of elaborate brewing techniques honed for tasting competitions.",日本酒の分類,https://japansake.or.jp/sake/about-sake/classification-of-sake/,日本酒造組合中央会,2026-09-08
kimoto,生酛,Kimoto,Kimoto — sake starter built on wild lactic bacteria,,,,,,ingredient,乳酸を人工的に添加せず、蔵や周囲の自然にすむ天然の乳酸菌を取り込んで酒母を育てる、清酒で最も古いとされる造り方。米をすり潰す「山卸し」という重労働を伴い、力強く複雑な酸味を持つ酒に仕上がるとされる。,"The oldest surviving way of raising a sake starter mash, relying on wild lactic bacteria native to the brewery rather than adding lactic acid artificially. It involves a grueling task called yamaoroshi, pounding steamed rice by hand, and is said to yield a robust, complex acidity.",日本酒用語集,https://japansake.or.jp/sake/about-sake/glossary-of-sake/,日本酒造組合中央会,2026-09-08
yamahai,山廃,Yamahai,Yamahai — a kimoto starter with the pounding step dropped,,,,,,ingredient,生酛から「山卸し」という米をすり潰す重労働だけを省いた酒母造り。天然の乳酸菌に頼る点は生酛と同じで、山卸しを省いても糖化が十分に進むと分かったことで生まれたとされる、力強い酸と旨みを持つ酒。,"A kimoto starter with yamaoroshi — the grueling rice-pounding step — dropped. It still relies on wild lactic bacteria the way kimoto does, and is said to have emerged once brewers realized the mash would still saccharify properly without the pounding, yielding a robust, savory acidity.",日本酒用語集,https://japansake.or.jp/sake/about-sake/glossary-of-sake/,日本酒造組合中央会,2026-09-08
sokujo,速醸,Sokujo,Sokujo — a starter mash built on added lactic acid,,,,,,ingredient,天然の乳酸菌任せにせず、あらかじめ醸造された乳酸を仕込み水に加えて酒母を育てる造り方。雑菌の繁殖を早い段階で抑えられるため、生酛や山廃に比べて短い期間で安定して酒母を仕込めるとされる。,"A starter-mash method that skips waiting on wild lactic bacteria, instead adding pre-made lactic acid directly to the brewing water. Because contaminants are suppressed from the start, it's said to let brewers raise a stable starter in far less time than kimoto or yamahai.",日本酒用語集,https://japansake.or.jp/sake/about-sake/glossary-of-sake/,日本酒造組合中央会,2026-09-08
nigorizake,にごり酒,Nigorizake,Nigorizake — cloudy sake pressed through a coarse cloth,,,,,,ingredient,もろみを目の粗い布でざっと漉し、米の滓をあえて残した清酒。どぶろくとは違い漉す工程を経るため酒税法上は清酒に分類され、発酵が生きたまま瓶詰めされたものは発泡を伴うことがあるとされる。,"Sake pressed through a coarse cloth so that flecks of rice sediment are deliberately left behind. Because it does go through a pressing step, unlike doburoku, it's legally classed as sake, and bottled while fermentation is still active, it can carry a natural fizz.",日本酒の分類,https://japansake.or.jp/sake/about-sake/classification-of-sake/,日本酒造組合中央会,2026-09-08
namazake,生酒,Namazake,Namazake — sake bottled without any pasteurization,,,,,,ingredient,搾ったもろみに火入れという加熱処理を一切施さない清酒。酵素や酵母が生きたままの状態で瓶詰めされるため、搾りたてのフレッシュな香りが立つ一方、劣化が早く低温での保存と流通が必須とされ、開栓後も味が変わりやすく、購入後は早めに飲み切ることが望ましいとされる。,"Sake bottled without any heat pasteurization at all. With its enzymes and microbes still active, it carries a fresh, just-pressed aroma, but is said to spoil quickly and to demand cold storage and cold distribution throughout.",日本酒の分類,https://japansake.or.jp/sake/about-sake/classification-of-sake/,日本酒造組合中央会,2026-09-08
genshu,原酒,Genshu,"Genshu — undiluted, cask-strength sake",,,,,,ingredient,搾った清酒に水を加えず、そのまま瓶詰めした酒。通常の清酒はアルコール度数を15度前後に調整するため加水するが、原酒はこれを行わないためアルコール度数が18度から20度前後と高く、味も濃厚になるとされる。,"Sake bottled straight from the press without any water added. Ordinary sake is diluted down to around 15% alcohol, but genshu skips that step, coming in at roughly 18 to 20% and carrying a noticeably concentrated flavor as a result.",日本酒の分類,https://japansake.or.jp/sake/about-sake/classification-of-sake/,日本酒造組合中央会,2026-09-08
hiyaoroshi,ひやおろし,Hiyaoroshi,Hiyaoroshi — sake pasteurized once and released in autumn,,,,,,ingredient,冬から春にかけて搾った酒を、火入れを一度だけ施して夏の間蔵で寝かせ、外気温が下がる秋になってから出荷する清酒。夏を越す間に角が取れ、まろやかに熟成しているとされる。,"Sake pressed over winter and spring, pasteurized just once, then left to rest in the brewery through summer and shipped only once the outside air cools in autumn. The idea is that the rough edges soften over that summer rest, leaving a rounder, more settled sake.",日本酒用語集,https://japansake.or.jp/sake/about-sake/glossary-of-sake/,日本酒造組合中央会,2026-09-08
