slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
makonbu,真昆布,Makonbu,the kelp once presented to shoguns as tribute,,,,,,ingredient,上品な甘みと澄んだ黄金色の出汁が特徴の昆布。肉厚でだしを取った後も柔らかく煮物に使いやすいとされる。江戸期に松前藩が幕府や朝廷に献上したことから献上昆布とも呼ばれ、高級だし昆布の代表格とされる。,"A kelp known for refined sweetness and a clear, golden broth. Thick enough that the spent leaves stay soft for simmered dishes. Once presented by the Matsumae domain to the shogunate and imperial court, hence its nickname, tribute kelp.",マコンブ,https://ja.wikipedia.org/wiki/マコンブ,Wikipedia,2026-09-06
rausu-konbu,羅臼昆布,Rausu Konbu,a kelp grown in the nutrient-rich waters off a World Heritage peninsula,,,,,,ingredient,だし昆布の中でも特に濃厚な味と強い香りで知られる昆布。出汁の色は濁るが旨みが強く、身が柔らかいため昆布そのものを佃煮などで食べることも多い。高級料亭でも珍重される最高級品とされる。,"Among dashi kelps, known for an especially rich taste and strong aroma. The broth runs cloudy but intensely savory, and the leaf is soft enough that the kelp itself is often eaten, simmered in soy — a top-grade item prized in fine restaurants.",羅臼昆布,https://ja.wikipedia.org/wiki/羅臼昆布,Wikipedia,2026-09-06
rishiri-konbu,利尻昆布,Rishiri Konbu,the clear-broth kelp favored by Kyoto kaiseki cooking,,,,,,ingredient,澄んだ上品な出汁が取れることで知られる昆布。塩味を感じるほど濃いのに色が透き通るのが特徴で、京料理の懐石だしや千枚漬けに欠かせない食材として古くから重用されてきた。硬めで出汁専用に使われることが多い。,"Known for yielding a clear, refined broth that stays translucent even at strong concentration. Long favored in Kyoto kaiseki cooking, indispensable for both dashi and senmaizuke pickles, usually reserved for stock rather than eating.",利尻昆布,https://ja.wikipedia.org/wiki/利尻昆布,Wikipedia,2026-09-06
hidaka-konbu,日高昆布,Hidaka Konbu,a soft-cooking kelp eaten as much as it flavors,,,,,,ingredient,標準和名はミツイシコンブ。他の昆布よりやわらかく早く煮えるため「煮え昆布」とも呼ばれ、出汁を取った後の昆布自体も佃煮や煮物として食べやすい。出汁と食用を兼ねられる万能な昆布として家庭で重宝される。,"Formally called mitsuishi kelp. Softer and quicker-cooking than other kelps, sometimes called ""fast-boiling kelp""; the spent strands are easy to eat as a simmered side after making dashi, making it a household all-rounder.",日高昆布,https://ja.wikipedia.org/wiki/日高昆布,Wikipedia,2026-09-06
wakame,ワカメ,Wakame,a seaweed whose texture toughens against a strong tidal current,,,,,,ingredient,褐藻類の一種で味噌汁やサラダに広く使われる海藻。産地や潮流の強さによって肉厚さや歯ごたえに差が出るとされ、しゃぶしゃぶのように熱湯にくぐらせると鮮やかな緑色に変わる。春が旬の生わかめが特に香り高いとされる。,"A brown seaweed used widely in miso soup and salads. Its thickness and bite are said to vary with the strength of the local tidal current, turning bright green when briefly dipped in hot water; fresh spring wakame is said to be most aromatic.",ワカメ,https://ja.wikipedia.org/wiki/ワカメ,Wikipedia,2026-09-06
hijiki,ヒジキ,Hijiki,"a black, mineral-rich seaweed dried into small dark strands",,,,,,ingredient,岩場に生える褐藻類で、採取直後は褐色だが乾燥・加工すると黒く小さな粒や枝状になる。煮物にすると独特の磯の香りとミネラル分を感じるコリッとした食感が楽しめ、大豆や人参と炊き合わせるのが定番とされる。,"A brown seaweed that grows on rocky shores, brown when fresh but drying and processing into small black strands and pellets. Simmered, it carries a distinct briny aroma and a mineral-rich crunch, classically cooked with soybeans and carrot.",ヒジキ,https://ja.wikipedia.org/wiki/ヒジキ,Wikipedia,2026-09-06
nori,ノリ,Nori,a seaweed that dries and drenches between two daily tides,,,,,,ingredient,紙状に加工して食べる海藻の総称。支柱式の養殖では干満差の大きい遠浅の海で、満潮時に海水に浸り干潮時に日光を浴びることで旨みが凝縮される。焼くとパリッとした食感と磯の香りが立ち、初摘みほど柔らかく甘いとされる。,"A general term for seaweed dried into paper-thin sheets. Pole-and-net farming in shallow water with a big tidal range lets it soak at high tide and sun-dry at low tide, concentrating its umami; toasted, it turns crisp and fragrant, with the first harvest said to be softest and sweetest.",アマノリ,https://ja.wikipedia.org/wiki/アマノリ,Wikipedia,2026-09-06
mozuku,もずく,Mozuku,a slippery seaweed grown almost entirely in one prefecture,,,,,,ingredient,細く糸状で強いぬめりを持つ褐藻類。三杯酢で食べるのが定番で、つるりとした喉ごしと磯の香りが持ち味とされる。国内の養殖生産量のほぼ全てが沖縄県産とされ、天ぷらや雑炊の具材としても親しまれている。,"A thin, thread-like brown seaweed with a pronounced slipperiness, typically eaten in a light vinegar dressing for its smooth slide and briny aroma. Nearly all of Japan's farmed supply comes from a single prefecture, also used in tempura and rice porridge.",モズク,https://ja.wikipedia.org/wiki/モズク,Wikipedia,2026-09-06
aosa,アオサ,Aosa,a bright green seaweed that thrives where fresh water meets the sea,,,,,,ingredient,河口付近の汽水域に多く生育する緑藻類。乾燥させると濃い緑色になり、磯の香りを移す薬味として汁物や天ぷら、お好み焼きの仕上げに使われる。生のままだと苦みが強く、乾燥品として流通するのが一般的とされる。,"A green seaweed that thrives in brackish water near river mouths. Dried, it turns deep green and is used as a briny-aromatic garnish in soup, tempura, and to finish okonomiyaki; fresh it is quite bitter, so it typically circulates dried.",アオサ,https://ja.wikipedia.org/wiki/アオサ,Wikipedia,2026-09-06
tororo-konbu,とろろ昆布,Tororo Konbu,kelp shaved into threads after a vinegar cure,,,,,,ingredient,酢に浸して柔らかくした昆布を何枚も重ねて固め、表面を糸状に薄く削り出した加工品。ふわりとした食感と酸味を含んだ旨みが持ち味で、おにぎりに巻いたりお吸い物に浮かべたりして食べる。北前船の寄港地で発達した加工技術に由来するとされる。,"Kelp softened in vinegar, layered and pressed, then shaved thin off the surface into fine threads. Light and fluffy with a tangy savoriness, wrapped around rice balls or floated in clear soup. Its processing craft is said to have developed at a historic Kitamaebune trading port.",とろろ昆布（とろろこんぶ）｜にっぽん伝統食図鑑,https://www.maff.go.jp/j/keikaku/syokubunka/traditional-foods/menu/tororo_konbu.html,農林水産省,2026-09-06
