slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
oyakodon,親子丼,Oyakodon,chicken and egg rice bowl,東京都,中央区,35.687,139.7815,,dish,鶏もも肉と玉ねぎを甘辛い割り下で煮て卵でふんわりとじ、飯にのせた丼。日本橋人形町の軍鶏料理店で、鶏すきの締めに残った肉と割り下を客が卵でとじて食べていたのが始まりとされる。,"Chicken thigh and onion simmered in broth, bound with egg, and served over rice. Said to trace to a Nihonbashi Ningyocho game-fowl restaurant, where diners began binding leftover hot-pot meat and broth with egg.",親子丼 東京都｜うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/34_12_tokyo.html,農林水産省,2026-09-07
katsudon,カツ丼（卵とじ）,Katsudon,egg-bound pork cutlet rice bowl,,,,,,dish,揚げたてのとんかつを玉ねぎと出汁で煮て卵でとじた丼。発祥には複数の説があり単一の発祥地は定まっていないが、大正期の洋食受容の中で形になったとされ、今も定番の丼として広く親しまれている。,"A fried pork cutlet simmered with onion in dashi and bound with egg over rice. Its origin has several competing accounts with no single settled birthplace, though it took shape amid the Taisho-era embrace of Western food.",駒ヶ根ソースかつ丼とは？,http://www.komacci.or.jp/katsu/katsudon.html,駒ヶ根商工会議所,2026-09-07
fukui-katsudon,ソースカツ丼（福井）,Fukui Sōsu Katsudon,Fukui-style sauce-dipped pork cutlet rice bowl,福井県,福井市,36.0641,136.2194,,dish,薄切りのとんかつをウスターソースにくぐらせ、白飯にのせた福井の丼。ドイツ仕込みのソースを大正期の東京で発表した料理人が福井に持ち帰り、店の味として受け継いできたとされる。,"A thin pork cutlet dipped in Worcester sauce and set over plain rice, Fukui's take on katsudon. Said to descend from a Worcester sauce a Germany-trained cook unveiled in Taisho-era Tokyo before bringing it home to Fukui.",福井名物『ソースカツ丼』とは？｜福いろ,https://fuku-iro.jp/feature/katsudon,福井市公式観光サイト,2026-09-07
aizu-katsudon,ソースカツ丼（会津）,Aizu Sōsu Katsudon,Aizu-style sauce-dipped pork cutlet rice bowl,福島県,会津若松市,37.495,139.9291,,dish,とろみのある甘辛ソースをたっぷりかけた会津のソースカツ丼。由来は複数説あり定まっていないが、大正期の洋食文化を土台に、会津の日常の中で磨かれてきたとされる郷土の味である。,"Aizu's sauce katsudon, doused in a thick sweet-savory sauce. Its origin has several competing accounts, none settled, but all point to it being refined through everyday improvisation on Taisho-era Western food.",会津のソースカツ丼｜伝統会津ソースカツ丼の会,https://aizu-katudon.com/source_katsu/,伝統会津ソースカツ丼の会,2026-09-07
komagane-katsudon,ソースカツ丼（駒ヶ根）,Komagane Sōsu Katsudon,Komagane-style sauce-dipped pork cutlet rice bowl,長野県,駒ヶ根市,35.7377,137.9483,,dish,千切りキャベツの上に秘伝ソースをくぐらせたとんかつをのせる駒ヶ根の丼。昭和初期、喜楽の初代店主が当時流行り始めた洋食を見てソースかつ丼を考案したと地元で語り継がれている。,"Shredded cabbage topped with a secret-sauce-dipped cutlet, Komagane's local katsudon. Local testimony credits Kiraku's founding owner with devising it in the early Showa era after seeing Western food come into fashion.",駒ヶ根ソースかつ丼とは？,http://www.komacci.or.jp/katsu/katsudon.html,駒ヶ根商工会議所,2026-09-07
gyudon,牛丼,Gyudon,beef rice bowl,,,,,,dish,薄切りの牛肉と玉ねぎを甘辛い出汁で煮て、汁ごと飯にかけた丼。開港期の横浜で生まれた牛鍋が簡略化され、丼飯にかけられる形に変わっていったとみられており、今や全国区の日常食である。,"Thin-sliced beef and onion simmered in a sweet-savory broth and ladled, broth included, over rice. Thought to descend from gyunabe, a beef hot pot that arose in Yokohama after the port opened, simplified into a form poured over rice.",西洋文化の影響を受けた名物料理『牛鍋』｜観光かながわNOW,https://www.kanagawa-kankou.or.jp/features/301,神奈川県公式観光サイト,2026-09-07
obihiro-butadon,豚丼（帯広）,Obihiro Butadon,Obihiro-style grilled pork rice bowl,北海道,帯広市,42.9237,143.1963,,dish,炭火焼きの豚肉にうなぎの蒲焼き風のタレをからめて飯にのせた帯広の丼。当時高価だったうなぎの代わりに、養豚が盛んだった十勝で入手しやすい豚肉を使ったのが始まりとされる。,"Charcoal-grilled pork coated in an eel-kabayaki-style glaze and served over rice, Obihiro's local bowl. Said to have begun as a stand-in for eel, once too costly, using pork that was easy to get instead.",豚丼 北海道｜うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/butadon_hokkaido.html,農林水産省,2026-09-07
tendon,天丼,Tendon,tempura rice bowl,,,,,,dish,エビや魚介の天ぷらを甘辛いたれにくぐらせ、飯にのせた丼。江戸時代の都市経済の中で丼という形が本格化し、天ぷらという単体の料理と飯とが結びついて成り立ったと業界団体は位置づけている。,Shrimp and seafood tempura dipped in a sweet-savory sauce and set over rice. An industry association frames it as arising once the donburi form took hold in Edo-period urban life and tempura met rice in one bowl.,丼の歴史｜一般社団法人全国丼連盟,https://don.or.jp/text/history/,一般社団法人全国丼連盟,2026-09-07
unadon,うな丼,Unadon,grilled eel rice bowl,茨城県,龍ケ崎市,35.9058,140.1836,,dish,蒲焼きのうなぎをたれごと熱い飯にのせた丼。牛久沼の茶店で蒲焼きを丼飯にかぶせて船に持ち出した大久保今助の逸話が、今日の形につながったと龍ケ崎市に語り継がれている。,"Grilled eel, glaze included, set over hot rice. An anecdote about Konsuke Okubo capping a bowl of rice with grilled eel at a Ushiku Marsh teahouse is said to lead to the dish's present form.",うな丼発祥の地 龍ケ崎市の牛久沼｜龍ケ崎市公式ホームページ,https://www.city.ryugasaki.ibaraki.jp/kanko/kankokyokai/more-ryugasaki/kanko_yomimono/2013081500954.html,龍ケ崎市,2026-09-07
fukagawa-don,深川丼,Fukagawa-don,clam and miso rice bowl,東京都,江東区,35.6717,139.8175,,dish,生アサリとネギを味噌で煮て汁ごと飯にかけた深川の丼。江戸時代、アサリやハマグリの宝庫だった深川浦の漁師町で、忙しい漁師が手早く食べられる形として生まれたとされる。,"Fresh clams and leek simmered in miso and ladled over rice, broth included, from Tokyo's Fukagawa district. Thought to have arisen in an Edo-period fishing town rich in clams, as a dish busy fishermen could eat quickly.",深川めし／深川丼 東京都｜うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/34_1_tokyo.html,農林水産省,2026-09-07
shirasu-don,しらす丼,Shirasu-don,raw whitebait rice bowl,,,,,,dish,生のしらすを飯にのせ、卵黄や薬味を添えて食べる丼。相模湾の湘南地域と駿河湾の静岡がともに主要な産地とされ、冷蔵技術の発展とともに生のまま食べる形が根づいたとされる。,"Raw shirasu served over rice with egg yolk and condiments. Both Shonan on Sagami Bay and Shizuoka on Suruga Bay are cited as major sources, with eating it raw said to have taken hold only as refrigeration advanced.",生しらす丼 神奈川県｜うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/35_3_kanagawa.html,農林水産省,2026-09-07
ikura-don,いくら丼,Ikura-don,salmon roe rice bowl,,,,,,dish,醤油漬けにしたいくらをたっぷりと飯にのせた丼。いくらという呼び名は明治期にロシア語から伝わったとされ、大正時代から北海道を中心に日本各地で広く食べられるようになったとされる。,"Soy-cured salmon roe piled generously over rice. The word ikura is said to have entered Japanese from Russian in the Meiji era, and the dish is said to have spread widely from the Taisho era, centered on Hokkaido.",いくらの醤油漬け 北海道｜うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/ikuranoshoyuzuke_hokkaido.html,農林水産省,2026-09-07
